Feature,38281,38522,38523,38524,38525,38526,39543,40597,40815,41263,42763,42915,42916,45724
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,●,-,-,-,-,-
电动后备厢,-,-,-,-,-,●,-,○,●,○,-,-,○,○
电动可调踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国V,国VI,国VI,国VI
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国V,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,-,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,●,-,-,●,-,-,-,-,-
涉水感应系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),170,170,170,170,170,170,170,-,-,-,170,170,170,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),204,165,165,150,204,204,165,156,156,156,150,165,165,156
最大扭矩转速(rpm),1600-4000,1500-4000,1500-4000,2000-4500,1600-4000,1600-4000,1500-4000,1750-4600,1750-4600,1750-4600,2000-4500,1500-4000,1500-4000,1750-4600
最大扭矩(N·m)_y,280,260,260,200,280,280,260,230,230,230,200,260,260,230
最大扭矩(N·m)_x,280,260,260,200,280,280,260,230,230,230,200,260,260,230
最大功率转速(rpm),6000,5000,5000,5500,6000,6000,5000,5000,5000,5000,5500,5000,5000,5000
最大功率(kW)_y,150,121,121,110,150,150,121,115,115,115,110,121,121,115
最大功率(kW)_x,150,121,121,110,150,150,121,115,115,115,110,121,121,115
无钥匙启动系统,●,●,●,●,●,●,-,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
整备质量(kg),1660,1650,1650,1610,1660,1660,1650,-,-,-,1610,1660,1660,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1598,1796,1796,1499,1598,1598,1796,1468,1468,1468,1499,1796,1796,1468
挡位个数,7,6,6,无级变速,7,7,6,6,6,6,无级变速,6,6,6
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,●,-,-,-,-,-
座位数(个),7,7,7,7,7,7,7,7,7,5,7,7,7,7
并线辅助,-,-,-,-,-,●,-,-,●,-,-,-,-,-
工信部综合油耗(L/100km),7.9,7.5,7.5,7.6,7.9,7.9,7.5,7.9,7.9,7.8,7.6,-,-,-
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,●,-,●,●,●,●,-,●,●,●,●,-,●,●
宽度(mm),1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,-,●,●,●,●,-,●,●
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,-,●,●,●,●,-,●,●,●,●,-,●,●
后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
后轮胎规格,225/55 R19,225/60 R18,225/55 R19,225/55 R19,225/55 R19,225/55 R19,215/60 R17,225/55 R19,225/55 R19,215/55 R18,225/55 R19,225/60 R18,225/55 R19,225/55 R19
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅防下滑气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排安全带式气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,●,-,-,-,-,●,-,-,●,-,-,-,-,●
后排中央安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,双离合变速箱(DCT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),双离合变速箱(DCT),双离合变速箱(DCT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT)
变速箱,7挡双离合,6挡手动,6挡手动,CVT无级变速,7挡双离合,7挡双离合,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,CVT无级变速,6挡手动,6挡手动,6挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,DVVT、VVL,DVVT,DVVT,DVVT,DVVT、VVL,DVVT、VVL,DVVT,MIVEC,MIVEC,MIVEC,DVVT,DVVT,DVVT,MIVEC
发动机型号,CE16,DFMB18T-I,DFMB18T-I,4A91T,CE16,CE16,DFMB18T-I,4J15T,4J15T,4J15T,4A91T,DFMB18TQA,DFMB18TQA,4J15T
发动机启停技术,●,●,●,-,●,●,-,-,-,-,-,-,-,-
发动机,1.6T 204马力 L4,1.8T 165马力 L4,1.8T 165马力 L4,1.5T 150马力 L4,1.6T 204马力 L4,1.6T 204马力 L4,1.8T 165马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 150马力 L4,1.8T 165马力 L4,1.8T 165马力 L4,1.5T 156马力 L4
压缩比,10.5,11,11,9.5,10.5,10.5,11,9,9,9,9.5,11,11,9
厂商指导价(元),12.99万,8.99万,9.99万,10.79万,12.39万,14.99万,7.99万,11.29万,12.99万,10.99万,17.69万,8.99万,9.99万,17.69万
厂商,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶座垫式气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
前轮胎规格,225/55 R19,225/60 R18,225/55 R19,225/55 R19,225/55 R19,225/55 R19,215/60 R17,225/55 R19,225/55 R19,215/55 R18,225/55 R19,225/60 R18,225/55 R19,225/55 R19
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,前●&nbsp;/&nbsp;后●,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,-,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,●,-,-,●,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,●,-,-,●,-,-,-,-,-
倒车车侧预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,多点电喷,多点电喷,多点电喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动闭合式进气格栅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,●,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,-,-,-,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副●,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2019.04,2019.03,2019.03,2019.03,2019.03,2019.04,2019.05,2019.07,2019.08,2019.08,2019.11,2019.11,2019.11,2020.05
上坡辅助,●,●,●,●,●,●,-,●,●,●,●,●,●,●
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,-,●,●,●,●,-,●,●,●,●,-,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-
