Feature,1019266,1019267,1019268,1019269,1019270,1019271,1019272,1019273,1019274,1019275,1019276,1019277,1019278,1019279,1019280,1019281,1019282,1020801
快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
并线辅助,○,○,○,○,○,○,○,○,●,●,●,○,○,○,○,○,○,-
巡航系统,,,,,,,,,,,,,,,,,,
导航路况信息显示,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
宽度(mm),2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
官方0-50km/h加速(s),4.37,4.37,4.37,4.37,4.38,4.38,4.48,4.48,4.33,4.48,4.48,4.37,4.37,4.38,4.38,4.48,4.48,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756
后轮胎规格,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,-,-,-,-,-,-,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,○,○,○,○,○,○,○,○,●,●,●,-,-,-,-,-,-,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),17.88万,18.08万,22.18万,22.38万,23.18万,23.38万,23.98万,24.18万,24.48万,25.48万,25.68万,21.78万,21.98万,22.78万,22.98万,23.58万,23.78万,26.58万
厂商,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○
助力类型,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
前轮胎规格,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
前电动机最大功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
前排座椅功能,,,,,,,,,-,-,-,,,,,,,-
前悬架类型,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门形式,,,,,,,,,,,,,,,,,,
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,
上市时间,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2025.04
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,,,,,,,,,,,
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●
CLTC纯电续航里程(km)_y,284,284,416,416,372,372,426,426,450,426,426,300,295,300,285,350,330,510
CLTC纯电续航里程(km)_x,284,284,416,416,372,372,426,426,450,426,426,300,295,300,285,350,330,510
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
