Feature,58124,59028,59099,59569,59757,59758,59759,59761,59762,59763,62983,62984,62985,62986,62987,62988,62989,64560,64561,64562,64563,64564,67608,67609,67610,67611,67612
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,途昂X 2023款 530 V6 四驱尊崇豪华版,途昂X 2023款 380TSI 四驱豪华版,途昂X 2023款 380TSI 四驱青云限定版,途昂X 2023款 380TSI 四驱尊崇豪华版,途昂X 2023款 330TSI 两驱豪华版,途昂X 2023款 330TSI 两驱尊崇豪华版,途昂X 2023款 380TSI 四驱尊享豪华版,途昂X 2023款 380TSI 四驱尊崇旗舰版,途昂X 2023款 530 V6 四驱青云限定版,途昂X 2023款 530 V6 四驱尊崇旗舰版,途昂X 2023款 改款 330TSI 两驱豪华版,途昂X 2023款 改款 330TSI 两驱尊崇豪华版,途昂X 2023款 改款 380TSI 四驱豪华版,途昂X 2023款 改款 380TSI 四驱尊享豪华版,途昂X 2023款 改款 380TSI 四驱尊崇豪华版,途昂X 2023款 改款 380TSI 四驱青云限定版,途昂X 2023款 改款 380TSI 四驱尊崇旗舰版,途昂X 2024款 380TSI 四驱豪华版,途昂X 2024款 380TSI 四驱尊崇豪华版,途昂X 2024款 380TSI 四驱青云限定版,途昂X 2024款 380TSI 四驱尊崇旗舰版,途昂X 2024款 530 V6 四驱尊崇旗舰版,途昂X 2024款 380TSI 四驱龙腾版,途昂X 2024款 380TSI 四驱龙耀版,途昂X 2024款 380TSI 四驱青云龙耀版,途昂X 2024款 380TSI 四驱龙祥版,途昂X 2024款 530 V6 四驱龙祥版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,●,-,-,-,●,●,-,-,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,,,,,,,,,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,铸铁,铸铁,铸铁,铸铁,未知
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅功能,,-,,,-,,,,,,-,,-,,,,,-,,,,,-,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,22,22,22,22,22,22,22,22
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,,-,,,-,,,,,,-,,-,,,,,-,,,,,-,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
灯光特色功能,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,-,-,-,,,-,-,-,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),6,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6
气缸排列形式,V,L,L,L,L,L,L,L,V,V,L,L,L,L,L,L,L,L,L,L,L,V,L,L,L,L,V
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
最大马力(Ps),299,220,220,220,186,186,220,220,299,299,186,186,220,220,220,220,220,220,220,220,220,299,220,220,220,220,299
最大满载质量(kg),2700,2505,2615,2615,2515,2515,2615,2615,2700,2700,2515,2515,2505,2615,2615,2615,2615,2505,2615,2615,2615,2700,2505,2615,2615,2615,2700
最大扭矩转速(rpm),2750-3500,1500-4400,1500-4400,1500-4400,1500-4000,1500-4000,1500-4400,1500-4400,2750-3500,2750-3500,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,2750-3500,1600-4300,1600-4300,1600-4300,1600-4300,2750-3500
最大扭矩(N·m)_y,500,350,350,350,320,320,350,350,500,500,320,320,350,350,350,350,350,350,350,350,350,500,350,350,350,350,500
最大扭矩(N·m)_x,500,350,350,350,320,320,350,350,500,500,320,320,350,350,350,350,350,350,350,350,350,500,350,350,350,350,500
最大功率转速(rpm),6000,4500-6200,4500-6200,4500-6200,4100-6000,4100-6000,4500-6200,4500-6200,6000,6000,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,6000,4900-6700,4900-6700,4900-6700,4900-6700,6000
最大功率(kW)_y,220,162,162,162,137,137,162,162,220,220,137,137,162,162,162,162,162,162,162,162,162,220,162,162,162,162,220
最大功率(kW)_x,220,162,162,162,137,137,162,162,220,220,137,137,162,162,162,162,162,162,162,162,162,220,162,162,162,162,220
最大净功率(kW),220,162,162,162,137,137,162,162,220,220,137,137,162,162,162,162,162,162,162,162,162,220,162,162,162,162,220
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘离手检测,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,●
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2140,2040,2055,2055,1955,1955,2055,2055,2140,2140,1955,1955,2040,2055,2055,2055,2055,2040,2055,2055,2055,2140,2040,2055,2055,2055,2140
摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
接近角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20
排量(mL),2492,1984,1984,1984,1984,1984,1984,1984,2492,2492,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,2492,1984,1984,1984,1984,2492
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,-,-,-,,,-,-,-,,
手机无线充电功能,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,,-,-,-,,,-,-,-,,
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应后备厢,●,-,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
应用商店,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
并线辅助,●,-,●,●,-,●,○,●,●,●,-,●,-,○,●,●,●,-,●,●,●,●,-,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989
官方0-100km/h加速(s),7.2,8.4,8.4,8.4,9.9,9.9,8.4,8.4,7.2,7.2,9.9,9.9,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,7.2,8.4,8.4,8.4,8.4,7.2
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,-,,,-,,,,,,-,,-,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,-,,,-,,,,,,-,,-,,,,,-,,,,,-,,,,
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,,-,,,-,-,,,,,-,-,-,,,,,-,,,,,-,,,,
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎放置方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
四驱形式,,,,,-,-,,,,,-,-,,,,,,,,,,,,,,,
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,●,-,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,509-1719,540-1719,540-1719,540-1719,540-1719,540-1719,540-1719,540-1719,540-1719,540-1719,540-1719
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
可变悬架功能,,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA390-DME,EA888-DTJ/DKX,EA888-DTJ/DKX,EA888-DTJ/DKX,EA888-DTH,EA888-DTH,EA888-DTJ/DKX,EA888-DTJ/DKX,EA390-DME,EA390-DME,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA390-DME,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA390-DME
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.5T 299马力 V6,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.5T 299马力 V6,2.5T 299马力 V6,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.5T 299马力 V6,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.5T 299马力 V6
厂商指导价(元),36.50万,30.50万,34.60万,33.50万,28.50万,31.50万,33.15万,36.50万,37.60万,39.50万,28.50万,31.50万,30.50万,33.15万,33.50万,34.60万,36.50万,28.49万,30.59万,31.69万,32.59万,39.50万,26.90万,28.90万,30.00万,31.90万,37.90万
厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前方感知摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
前排座椅功能,,-,,,-,,,,,,-,,-,,,,,-,,,,,-,,,,
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
