Feature,1012164,1012165,1012166,1012167,1012168,1012169,1012170,1012171,1013547,1013548,1013549,1013550,1013551,1013552,1013553,1013554,1013555,1013556,1013557,1013558,1013787,1013788,1014024,1014834,1014835,1015055,1015056,1015531,1015532,1015533,1015534,1015838,1015839,1015840,1015841,1015842,1015843,1015844,1015845,1015846,1015847,1015848,1015849,1015850,1015851,1015933,1015934,1015935,1015936,1016918,1016990,1017032,1017033,1017034,1017035,1017036,1017037,1017038,1017039,1017040,1017041,1017042,1017043,1017044,1017045,1017046,1017047,1017048,1017049,1017050,1017051
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,中兴1986 2022款 2.0T猎装版手动柴油四驱旗舰型标双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油四驱旗舰型大双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油两驱旗舰型标双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油两驱旗舰型大双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油四驱超豪华型标双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油四驱超豪华型大双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油两驱超豪华型标双HY4D20M,中兴1986 2022款 2.0T猎装版手动柴油两驱超豪华型大双HY4D20M,中兴1986 2022款 2.0T改款猎装版手动柴油四驱豪华型标双HY4D20M,中兴1986 2022款 2.0T改款猎装版手动柴油四驱豪华型大双HY4D20M,中兴1986 2022款 2.0T改款猎装版手动柴油两驱豪华型标双HY4D20M,中兴1986 2022款 2.0T改款猎装版手动柴油两驱豪华型大双HY4D20M,中兴1986 2022款 2.4T商用版手动汽油四驱标双4K22D4T,中兴1986 2022款 2.4T商用版手动汽油四驱大双4K22D4T,中兴1986 2022款 2.4T商用版手动汽油两驱标双4K22D4T,中兴1986 2022款 2.4T商用版手动汽油两驱大双4K22D4T,中兴1986 2022款 2.8T重载版手动柴油四驱标双JE493ZLQ6E,中兴1986 2022款 2.8T重载版手动柴油四驱大双平底JE493ZLQ6E,中兴1986 2022款 2.8T重载版手动柴油两驱标双JE493ZLQ6E,中兴1986 2022款 2.8T重载版手动柴油两驱大双平底JE493ZLQ6E,中兴1986 2022款 2.4T乘用版手动汽油两驱行业版4K22D4T,中兴1986 2022款 2.0T猎装版手动柴油四驱行业版HY4D20M,中兴1986 2022款 2.0T手动柴油四驱竞技版,中兴1986 2022款 2.0T猎装版自动汽油两驱超豪华型标双HY4C20B,中兴1986 2022款 2.0T猎装版自动汽油四驱超豪华型标双HY4C20B,中兴1986 2023款 2.8T重载版手动柴油两驱大双JE493ZLQ6E,中兴1986 2023款 2.8T重载版手动柴油四驱大双JE493ZLQ6E,中兴1986 2023款 2.8T重载版手动柴油两驱标双JE493ZLQ6E,中兴1986 2023款 2.8T重载版手动柴油四驱标双JE493ZLQ6E,中兴1986 2023款 2.8T重载版手动柴油两驱大双平底JE493ZLQ6E,中兴1986 2023款 2.8T重载版手动柴油四驱大双平底JE493ZLQ6E,中兴1986 2023款 2.3T竞技版自动柴油四驱超豪华标双,中兴1986 2023款 2.0T竞技版自动汽油四驱超豪华标双,中兴1986 2023款 2.3T猎装版自动柴油两驱豪华型大双,中兴1986 2023款 2.3T猎装版自动柴油四驱豪华型大双,中兴1986 2023款 2.3T猎装版手动柴油两驱豪华型大双,中兴1986 2023款 2.3T猎装版手动柴油四驱豪华型大双,中兴1986 2023款 2.0T猎装版自动汽油两驱豪华型标双,中兴1986 2023款 2.0T猎装版自动汽油四驱豪华型标双,中兴1986 2023款 2.0T猎装版自动汽油两驱豪华型大双,中兴1986 2023款 2.0T猎装版自动汽油四驱豪华型大双,中兴1986 2023款 2.0T乘用版手动柴油两驱豪华型标双,中兴1986 2023款 2.0T乘用版手动柴油四驱豪华型标双,中兴1986 2023款 2.0T乘用版手动柴油两驱豪华型大双,中兴1986 2023款 2.0T乘用版手动柴油四驱豪华型大双,中兴1986 2023款 2.4T公务版手动汽油两驱豪华标双,中兴1986 2023款 2.4T公务版手动汽油四驱豪华标双,中兴1986 2023款 2.0T公务版自动汽油两驱超豪华标双,中兴1986 2023款 2.0T公务版自动汽油四驱超豪华标双,中兴1986 2023款 2.8T重载公务版手动柴油两驱标双,中兴1986 2023款 2.8T探索版手动柴油四驱大双平底,中兴1986 2024款 2.8T重装版柴油手动两驱精英型标箱,中兴1986 2024款 2.8T重装版柴油手动四驱精英型标箱,中兴1986 2024款 2.8T重装版柴油手动两驱精英型长箱平底,中兴1986 2024款 2.8T重装版柴油手动四驱精英型长箱平底,中兴1986 2024款 2.4T重装版汽油手动两驱精英型标箱,中兴1986 2024款 2.4T重装版汽油手动四驱精英型标箱,中兴1986 2024款 2.4T重装版汽油手动两驱精英型长箱,中兴1986 2024款 2.4T重装版汽油手动四驱精英型长箱,中兴1986 2024款 2.3T商乘版手动柴油两驱豪华型标箱,中兴1986 2024款 2.3T商乘版手动柴油四驱豪华型标箱,中兴1986 2024款 2.3T商乘版手动柴油两驱豪华型长箱,中兴1986 2024款 2.3T商乘版手动柴油四驱豪华型长箱,中兴1986 2024款 2.3T商乘版手动柴油两驱豪华型长箱平箱,中兴1986 2024款 2.3T商乘版手动柴油四驱豪华型长箱平箱,中兴1986 2024款 2.3T商乘版自动柴油两驱运动型标箱,中兴1986 2024款 2.3T商乘版自动柴油四驱运动型标箱,中兴1986 2024款 2.3T商乘版自动柴油两驱运动型长箱,中兴1986 2024款 2.3T商乘版自动柴油四驱运动型长箱,中兴1986 2024款 2.3T商乘版自动柴油两驱运动型长箱平箱,中兴1986 2024款 2.3T商乘版自动柴油四驱运动型长箱平箱
车前雾灯,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,,,,,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1810x1620x515,-,-,1530x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1530x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1810x1620x515,1810x1620x515,1530x1620x515,1530x1620x515,1810x1620x515,1810x1620x515,1810x1620x515,1810x1620x515
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁,未知,铸铁,铸铁,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,未知,未知,未知,未知,未知,未知,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,-,-,-,-
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
