Feature,62632,62697,62698,65944,65948,66018,66054,66277,66993,67037,68530,68531,68532,69282,70395,70446,70525,70547
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,,,,,,,,,,,,,,
空载最小离地间隙(mm),177,177,177,177,177,177,177,177,177,177,177,177,177,-,177,177,177,177
空调温度控制方式,,,,,,,,,,,,,,,,,,
离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
百公里耗电量(kWh/100km),18.9,18.3,18.9,18.3,18.3,18.9,-,18.3,18.3,18.3,18.3,18.3,-,18.3,18.3,18.3,18.3,18.9
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),2.14,2.07,2.14,2.07,2.07,2.14,2.14,2.07,2.07,2.07,2.07,2.07,2.14,2.07,2.07,2.07,2.07,2.14
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量(kWh),32.76,21.68,32.76,21.68,21.68,32.76,36.13,21.68,21.68,21.68,21.68,21.68,36.13,21.68,21.68,21.68,21.68,32.76
电池类型,,,,,,,,,,,,,,,,,,
电池慢充电量范围(%)_y,30-80,-,30-80,30-80,-,30-80,30-80,-,-,30-80,-,-,30-80,30-80,-,-,-,30-80
电池慢充电量范围(%)_x,30-80,-,30-80,30-80,-,30-80,30-80,-,-,30-80,-,-,30-80,30-80,-,-,-,30-80
电池慢充时间(小时)_y,3,1.8,3,1.8,1.8,3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,3
电池慢充时间(小时)_x,3,1.8,3,1.8,1.8,3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,3
电池快充电量范围(%)_y,30-80,-,30-80,30-80,-,30-80,30-80,-,-,-,-,-,30-80,-,-,-,-,30-80
电池快充电量范围(%)_x,30-80,-,30-80,30-80,-,30-80,30-80,-,-,-,-,-,30-80,-,-,-,-,30-80
电池快充时间(小时)_y,0.55,-,0.55,0.5,-,0.55,0.5,-,-,-,-,-,0.5,-,-,-,-,0.55
电池快充时间(小时)_x,0.55,-,0.55,0.5,-,0.55,0.5,-,-,-,-,-,0.5,-,-,-,-,0.55
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
电动机总扭矩(N·m),300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
电动机总功率(kW),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
电动机(Ps),177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
电动座椅记忆功能,,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-
电动后备厢位置记忆,●,-,-,●,-,●,-,-,●,-,-,-,-,●,●,●,●,-
电动后备厢,●,-,-,●,-,●,-,-,●,-,-,-,-,●,●,●,●,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
满载最小离地间隙(mm),149,149,149,149,149,149,149,149,149,149,149,149,149,146,149,146,146,149
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
最大马力(Ps),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
最大爬坡度(%),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
最大满载质量(kg),2310,2195,2310,2195,2195,2310,2310,2195,2195,2195,2195,2195,2310,2195,2195,2195,2195,2310
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
最大功率(kW)_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最低荷电状态油耗(L/100km),6.1,5.85,6.1,5.85,5.85,6.1,6.1,5.85,5.85,5.85,5.85,5.85,6.1,5.85,5.85,5.85,5.85,6.1
无钥匙进入功能,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,
整备质量(kg),1935,1820,1935,1820,1820,1935,1935,1820,1820,1820,1820,1820,1935,1820,1820,1820,1820,1935
摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-
接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,,,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,
慢充接口位置,车左前侧,-,车左前侧,车左前侧,-,车左前侧,车左前侧,-,-,车左前侧,-,-,车左前侧,车左前侧,-,-,-,车左前侧
感应雨刷功能,,-,-,,,,,,,-,,,,-,-,-,-,-
感应后备厢,●,-,-,●,-,●,-,-,-,-,-,-,-,●,●,●,●,-
快充接口位置,车右前侧,-,车右前侧,车右前侧,-,车右前侧,车右前侧,-,-,-,-,-,车右前侧,-,-,-,-,车右前侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,不支持,支持,不支持,-,支持
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
并线辅助,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908
官方0-100km/h加速(s),8.2,7.9,8.2,7.9,7.9,8.2,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.2
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,,-,-,,,,,-,-,-,,,,-,,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,-,-,●,-,-,-,●,●,-,-,-,●,-,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,
地图品牌,,,,,,,,,,,,,,,,,,
后雨刷,●,●,●,-,●,●,●,●,●,-,●,●,●,-,●,●,-,-
后轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
后轮胎规格,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-
后备厢容积(L),467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141
后制动器类型,,,,,,,,,,,,,,,,,,
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A,F31A
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4
压缩比,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
厂商指导价(元),29.98万,12.98万,15.98万,29.88万,23.68万,19.98万,31.68万,21.98万,25.98万,12.58万,23.88万,23.68万,31.68万,29.80万,13.98万,22.98万,23.98万,13.58万
厂商,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,●,-,-,-,-,●,●,-,●,-,●,-,●,●,-,●,●,-
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
前轮胎规格,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
前电动机最大功率(kW),130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
前方碰撞预警,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
前排座椅功能,,-,-,-,-,,,-,,-,-,-,,,-,,,-
前悬架类型,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,-,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,前●&nbsp;/&nbsp;后●,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,-,●,-,-,●,-,●,●,-,-,-,-,-,●,-,-,-
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,-,-,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,
上市时间,2023.09,2023.09,2023.09,2023.11,2023.11,2023.11,2023.11,2023.12,2024.03,2024.03,2024.05,2024.05,2024.05,2024.07,2024.10,2024.10,2024.10,2024.10
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,,,,,,,,,,,
Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),0.8,1.52,0.8,1.52,1.52,0.8,0.8,1.52,1.52,1.52,1.52,1.52,0.8,1.52,1.52,1.52,1.52,0.8
WLTC纯电续航里程(km)_y,145,81,145,81,81,145,165,81,81,81,81,81,165,81,81,81,81,145
WLTC纯电续航里程(km)_x,145,81,145,81,81,145,165,81,81,81,81,81,165,81,81,81,81,145
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
NEDC综合续航(km),1267,-,1267,-,-,1267,-,-,-,-,-,-,-,-,-,-,-,1267
NEDC纯电续航里程(km)_y,205,115,205,115,115,205,231,115,115,115,115,115,231,115,115,115,115,205
NEDC纯电续航里程(km)_x,205,115,205,115,115,205,231,115,115,115,115,115,231,115,115,115,115,205
LED日间行车灯,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,,,,,,
220V/230V电源,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
