Feature,39550,39641,39642,40067,40068,40069,40070,40071,41429,45416,45417,45418,45419,45420,45421
蓝牙/车载电话,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●
自适应远近光,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●
自动驻车,●,●,●,-,-,●,-,●,●,-,●,-,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,7挡双离合,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手动,6挡手动,6挡双离合,6挡手动,7挡双离合,CVT无级变速(模拟8挡),6挡手动,CVT无级变速(模拟8挡),6挡手动,CVT无级变速(模拟8挡),7挡双离合,7挡双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动可调踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,-,-,-,●,●,●,●,●,-,●,●,●
涉水感应系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),55,55,55,60,60,60,55,55,55,55,55,55,55,55,55
气缸数(个),3,4,4,4,4,4,4,3,4,4,4,4,4,3,3
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,185,185,180,180,185,185,190,185,185,185,185,185,190,190
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),177,141,141,133,133,133,141,177,141,141,141,141,141,177,177
最大扭矩转速(rpm),1500-4000,1600-4000,1600-4000,4400,4400,4400,1600-4000,1500-4000,1600-4000,1600-4000,1600-4000,1600-4000,1600-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,255,235,235,170,170,170,235,255,235,235,235,235,235,255,255
最大扭矩(N·m)_x,255,235,235,170,170,170,235,255,235,235,235,235,235,255,255
最大功率转速(rpm),5500,5200,5200,6000,6000,6000,5200,5500,5200,5200,5200,5200,5200,5500,5500
最大功率(kW)_y,130,104,104,98,98,98,104,130,104,104,104,104,104,130,130
最大功率(kW)_x,130,104,104,98,98,98,104,130,104,104,104,104,104,130,130
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1450,1465,1465,1320,1320,1360,1425,1450,1465,1365,1415,1365,1415,1405,1405
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1477,1398,1398,1799,1799,1799,1398,1477,1398,1398,1398,1398,1398,1477,1477
挡位个数,7,8,8,6,6,6,6,7,8,6,8,6,8,7,7
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.1,5.9,5.9,6.9,6.9,6.9,5.9,6.1,5.9,5.9,5.9,5.9,5.9,6.1,6.1
尾门玻璃独立开启,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●
宽度(mm),1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833
实测油耗(L/100km),8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),40.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),8.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562
后轮胎规格,225/45 R18,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/45 R18,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,225/45 R18
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,-,●,●,●,●,●,-,-,-,-,-,●
后排控制多媒体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅防下滑气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排安全带式气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排中央安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,双离合变速箱(DCT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),双离合变速箱(DCT),手动变速箱(MT),双离合变速箱(DCT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,7挡双离合,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),6挡手动,6挡手动,6挡双离合,6挡手动,7挡双离合,CVT无级变速(模拟8挡),6挡手动,CVT无级变速(模拟8挡),6挡手动,CVT无级变速(模拟8挡),7挡双离合,7挡双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机型号,JLH-3G15TD,JLB-4G14TB,JLB-4G14TB,-,-,-,JLB-4G14TB,JLH-3G15TD,JLB-4G14TB,JLB-4G14TB,JLB-4G14TB,JLB-4G14TB,JLB-4G14TB,JLH-3G15TD,JLH-3G15TD
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.5T 177马力 L3,1.4T 141马力 L4,1.4T 141马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.8L 133马力 L4,1.4T 141马力 L4,1.5T 177马力 L3,1.4T 141马力 L4,1.4T 141马力 L4,1.4T 141马力 L4,1.4T 141马力 L4,1.4T 141马力 L4,1.5T 177马力 L3,1.5T 177马力 L3
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),11.68万,10.18万,9.58万,7.78万,8.38万,9.38万,8.58万,10.58万,10.78万,8.58万,9.58万,7.78万,10.18万,10.58万,11.68万
厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶座垫式气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556
前轮胎规格,225/45 R18,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/50 R17,225/45 R18,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,225/45 R18
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,-,-,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车车侧预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动闭合式进气格栅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,●,-,-,-,-,-,-,-,●,-,-,-,-,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,-,-,-,-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.06,2019.09,2020.06,2020.06,2020.06,2020.06,2020.06,2020.06
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
