Feature,1011549,1011597,1011598,1011599,1011600,1011601,1011602,1011603,1011604,1011605,1011606,1011607,1014082,1014083,1014084,1014085,1014086,1014087,1014088,1014089,1014090,1014091,1014092,1014093,1015231,1015428,1015429,1015661,1015662,1015663,1015664,1015665,1015666,1015667,1015668,1015669,1015670,1015671,1015672,1015673,1015674,1015679,1015680,1015681,1015682,1015683,1015684,1015685,1015686,1015687,1015688,1015689,1015690,1015691,1015692,1015693,1015694,1015695,1015696,1015697,1015698,1015699,1015700,1015701,1015702,1015703,1015704,1015705,1015706,1015707,1015708,1015709,1015710,1015711,1015712,1015713,1015714,1015715,1015716,1015717,1015718,1015719,1015720,1015721,1016003,1016004,1016005,1016006,1016007
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,2,2,4,4,4,2,2,2,2,2,4,2,4,2,4,2,4,2,4,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,-,-,-,-,-,-,-,-,-,-,-,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,-,-,-,-,-,-,-,-,-,-,-,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安星卡 2021款 1.5L标准型长轴版双排JL473QH,长安星卡 2021款 1.5L标准型长轴版双排仓栅JL473QH,长安星卡 2021款 1.5L标准型长轴版双排钢板厢货JL473QH,长安星卡 2021款 1.5L标准型长轴版单排JL473QH,长安星卡 2021款 1.5L标准型长轴版单排仓栅JL473QH,长安星卡 2021款 1.5L基本型长轴版双排JL473QH,长安星卡 2021款 1.5L基本型长轴版双排仓栅JL473QH,长安星卡 2021款 1.5L基本型长轴版双排钢板厢货JL473QH,长安星卡 2021款 1.5L基本型长轴版单排仓栅JL473QH,长安星卡 2021款 1.5L基本型长轴版单排复合板厢货JL473QH,长安星卡 2021款 1.5L基本型长轴版单排钢板厢货JL473QH,长安星卡 2021款 1.5L基本型长轴版单排JL473QH,长安星卡 2021款 1.5L M标准型单排2.75米标准车DAM15KR,长安星卡 2021款 1.5L M标准型双排2.26米标准车DAM15KR,长安星卡 2021款 1.5L M标准型单排2.75米仓栅车DAM15KR,长安星卡 2021款 1.5L M标准型双排2.26米仓栅车DAM15KR,长安星卡 2021款 1.5L M标准型单排2.65米厢式运输车DAM15KR,长安星卡 2021款 1.5L M标准型双排2.15米厢式运输车DAM15KR,长安星卡 2021款 1.5L M基本型单排2.75米标准车DAM15KR,长安星卡 2021款 1.5L M基本型双排2.26米标准车DAM15KR,长安星卡 2021款 1.5L M基本型单排2.75米仓栅车DAM15KR,长安星卡 2021款 1.5L M基本型双排2.26米仓栅车DAM15KR,长安星卡 2021款 1.5L M基本型单排2.65米厢式运输车DAM15KR,长安星卡 2021款 1.5L M基本型双排2.15米厢式运输车DAM15KR,长安星卡 2023款 1.5L双排2.55米载货汽车舒适型,长安星卡 2023款 1.5L单排2.8米载货汽车豪华型,长安星卡 2023款 1.5L双排2.55米载货汽车豪华型,长安星卡 2023款 1.5L单排3.06米载货汽车标准型无空调,长安星卡 2023款 1.5L单排3.06米载货汽车标准型,长安星卡 2023款 1.5L单排3.06米载货汽车舒适型,长安星卡 2023款 1.5L单排3.06米载货汽车豪华型,长安星卡 2023款 1.5L单排2.8米载货汽车基本型,长安星卡 2023款 1.5L单排2.8米载货汽车标准型无空调,长安星卡 2023款 1.5L单排2.8米载货汽车标准型,长安星卡 2023款 1.5L单排2.8米载货汽车舒适型无空调,长安星卡 2023款 1.5L单排2.8米载货汽车舒适型,长安星卡 2023款 1.5L单排2.8米载货汽车豪华型无空调,长安星卡 2023款 1.5L双排2.55米载货汽车标准型无空调,长安星卡 2023款 1.5L双排2.55米载货汽车标准型,长安星卡 2023款 1.5L双排2.55米载货汽车舒适型无空调,长安星卡 2023款 1.5L双排2.55米载货汽车豪华型无空调,长安星卡 2023款 1.5L双排2.26米载货汽车基本型,长安星卡 2023款 1.5L双排2.26米载货汽车标准型无空调,长安星卡 2023款 1.5L双排2.26米载货汽车标准型,长安星卡 2023款 1.5L双排2.26米载货汽车舒适型无空调,长安星卡 2023款 1.5L双排2.26米载货汽车舒适型,长安星卡 2023款 1.5L双排2.26米载货汽车豪华型无空调,长安星卡 2023款 1.5L双排2.26米载货汽车豪华型,长安星卡 2023款 1.5L单排3.06米复合板厢货标准型无空调,长安星卡 2023款 1.5L单排3.06米复合板厢货标准型,长安星卡 2023款 1.5L单排3.06米复合板厢货舒适型,长安星卡 2023款 1.5L单排3.06米复合板厢货豪华型,长安星卡 2023款 1.5L单排2.8米复合板厢货标准型无空调,长安星卡 2023款 1.5L单排2.8米复合板厢货标准型,长安星卡 2023款 1.5L单排2.8米复合板厢货舒适型,长安星卡 2023款 1.5L单排2.8米复合板厢货豪华型,长安星卡 2023款 1.5L单排3.06米钢板厢货标准型无空调,长安星卡 2023款 1.5L单排3.06米钢板厢货标准型,长安星卡 2023款 1.5L单排3.06米钢板厢货舒适型,长安星卡 2023款 1.5L单排3.06米钢板厢货豪华型,长安星卡 2023款 1.5L单排2.8米钢板厢货标准型无空调,长安星卡 2023款 1.5L单排2.8米钢板厢货标准型,长安星卡 2023款 1.5L单排2.8米钢板厢货舒适型,长安星卡 2023款 1.5L单排2.8米钢板厢货豪华型,长安星卡 2023款 1.5L双排2.55米钢板厢货标准型,长安星卡 2023款 1.5L双排2.55米钢板厢货舒适型无空调,长安星卡 2023款 1.5L双排2.55米钢板厢货舒适型,长安星卡 2023款 1.5L双排2.55米钢板厢货豪华型无空调,长安星卡 2023款 1.5L双排2.55米钢板厢货豪华型,长安星卡 2023款 1.5L双排2.26米钢板厢货舒适型,长安星卡 2023款 1.5L双排2.26米钢板厢货豪华型,长安星卡 2023款 1.5L单排3.06米仓栅车标准型,长安星卡 2023款 1.5L单排3.06米仓栅车舒适型,长安星卡 2023款 1.5L单排3.06米仓栅车豪华型,长安星卡 2023款 1.5L单排2.8米仓栅车标准型无空调,长安星卡 2023款 1.5L单排2.8米仓栅车标准型,长安星卡 2023款 1.5L单排2.8米仓栅车舒适型,长安星卡 2023款 1.5L单排2.8米仓栅车豪华型,长安星卡 2023款 1.5L双排2.55米仓栅车标准型无空调,长安星卡 2023款 1.5L双排2.55米仓栅车标准型,长安星卡 2023款 1.5L双排2.55米仓栅车舒适型,长安星卡 2023款 1.5L双排2.55米仓栅车豪华型,长安星卡 2023款 1.5L双排2.26米仓栅车舒适型,长安星卡 2023款 1.5L双排2.26米仓栅车豪华型,长安星卡 2023款 1.5L单排2.8米载货汽车基本型非空调,长安星卡 2023款 1.5L单排2.8米载货汽车标准型非空调,长安星卡 2023款 1.5L单排2.8米载货汽车标准型空调,长安星卡 2023款 1.5L单排2.8米载货汽车舒适型空调,长安星卡 2023款 1.5L单排2.8米载货汽车豪华型空调
车前雾灯,,,,,,-,-,-,-,-,-,-,,,,,,,-,-,,,,,,,,-,-,,,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,,,-,-,-,,-,-,,,-,-,-,,-,,,,,-,,-,,,-,-,-,,-,-,,,-,,-,-,-,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,-,-,-,-,-,-,-,○,●,○,●,○,●,○,○,○,○,○,○,●,●,●,-,-,●,●,-,-,-,●,●,●,-,-,●,●,-,-,-,●,●,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,-,●,●,-,●,●,●,●,●,●,-,●,●,-,-,●,●,-,-,●,●,●,●,-,-,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,-,-,-,-,承载式,承载式,承载式,承载式,承载式,承载式,-,-,-,-,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2550x1520x370,2550x1520x370,2450x1525x1650,3000x1520x375,3050x1520x375,2550x1520x370,2550x1520x370,2450x1525x1650,3000x1520x375,2950x1500x1500,2950x1525x1650,3000x1520x375,2750x1520x370,2260x1520x370,2750x1520x375,2260x1520x370,2650x1525x1650,2150x1525x1650,2750x1520x370,2260x1520x370,2750x1520x375,2260x1520x370,2650x1525x1650,2150x1525x1650,2550x1515x370,2800x1515x370,2550x1515x370,3060x1515x370,3060x1515x370,3060x1515x370,3060x1515x370,2800x1515x370,2800x1515x370,2800x1515x370,2800x1515x370,2800x1515x370,2800x1515x370,2550x1515x370,2550x1515x370,2550x1515x370,2550x1515x370,2260x1515x370,2260x1515x370,2260x1515x370,2260x1515x370,2260x1515x370,2260x1515x370,2260x1515x370,2960x1500x1500,2960x1500x1500,2960x1500x1500,2960x1500x1500,2700x1500x1500,2700x1500x1500,2700x1500x1500,2700x1500x1500,2980x1535x1650,2980x1535x1650,2980x1535x1650,2980x1535x1650,2720x1535x1650,2720x1535x1650,2720x1535x1650,2720x1535x1650,2480x1525x1650,2480x1525x1650,2480x1525x1650,2480x1525x1650,2480x1525x1650,2170x1535x1650,2170x1535x1650,3060x1515x1610,3060x1515x1610,3060x1515x1610,2800x1515x1610,2800x1515x1610,2800x1515x1610,2800x1515x1610,2550x1515x1610,2550x1515x1610,2550x1515x1610,2550x1515x1610,2260x1515x1610,2260x1515x1610,2800x1515x370,2800x1515x370,2800x1515x370,2800x1515x370,2800x1515x370
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,●,-,-,-,●,-,-,-,●,●,-,●,-,-,●,-,-,-,●,-,-,-,●,-,●,-,-,-,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
