Feature,1012294,1012295,1012296,1012297,1019617,1019618,1019620,1019621,1019622,1019623,1019625,1019626,1019627,1019628,1019629,1019630,1019631,1019632,1019634,1019635,1019637
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,依维柯欧霸 2021款 2.8T底盘长轴单排,依维柯欧霸 2021款 2.8T底盘长轴双排,依维柯欧霸 2021款 2.8T客车短轴10座,依维柯欧霸 2021款 2.8T客车长轴14座,依维柯欧霸 2025款 山海 3.0T 越野乘用车 自动短轴,依维柯欧霸 2025款 山海 3.0T 越野乘用车 自动短轴侧门,依维柯欧霸 2025款 雷霆 3.0T 越野厢式运输车 手动长轴,依维柯欧霸 2025款 雷霆 3.0T 越野厢式运输车 手动长轴侧门,依维柯欧霸 2025款 雷霆 3.0T 越野厢式运输车 自动长轴,依维柯欧霸 2025款 雷霆 3.0T 越野厢式运输车 自动长轴侧门,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 手动4.5吨长轴单排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 手动4.5吨长轴双排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动4.5吨长轴单排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动4.5吨长轴双排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 手动5.5吨长轴单排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 手动5.5吨长轴双排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动5.5吨长轴单排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动5.5吨长轴双排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动7吨加长轴单排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 自动7吨加长轴双排底盘,依维柯欧霸 2025款 雷霆 3.0T 越野专业底盘 手动6.5吨加长轴单排底盘
车前雾灯,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,3535x1760x1920,3535x1760x1920,3535x1760x1920,3535x1760x1920,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,-,-,-,-,,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,,,,,,,,,,,,,,,,,
缸盖材料,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
纵向通过角(°),-,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动
第二排座椅调节,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,24,24,13,13,13,13,17,17,17,17,17,17,17,17,28,28,15
疲劳驾驶提示,-,-,-,-,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,,,,,,,,,,,,,,,,,
油箱容积(L),70,70,70,70,80,80,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
最小转弯半径(m),-,-,-,-,6.5,6.5,7,7,7,7,7,7,7,7,7,7,7,7,7.75,7.75,7.75
最小离地间隙(mm),-,-,-,-,215,215,215,215,215,215,215,215,215,215,215,215,215,215,225,225,225
最大马力(Ps),129,129,129,129,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
最大爬坡度(%),-,-,-,-,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大涉水深度(mm),-,-,-,-,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
最大扭矩转速(rpm),1600-2800,1600-2800,1600-2800,1600-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800
最大扭矩(N·m)_y,300,300,300,300,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
最大扭矩(N·m)_x,300,300,300,300,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
最大功率转速(rpm),3200,3200,3200,3200,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
最大功率(kW)_y,95,95,95,95,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
最大功率(kW)_x,95,95,95,95,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),-,-,-,-,-,-,3100,3100,3100,3100,2480,2660,2480,2660,2480,2660,2480,2660,2730,2910,2780
接近角(°),-,-,-,-,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
排量(mL),2798,2798,2798,2798,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998
换挡形式,-,-,-,-,,,,,,,,,,,,,,,,,
挡位个数,5,5,5,5,8,8,6,6,8,8,6,6,8,8,6,6,8,8,8,8,6
拖挂钩,-,-,-,-,,,,,,,,,,,,,,,,,
扬声器数量,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),2000,2000,2080,2080,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090,2090
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,-,-,-,-,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,-,-,-,-,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,-,-,-,-,,,,,,,,,,,,,,,,,
备胎规格,-,-,-,-,,,,,,,,,,,,,,,,,
备胎放置方式,-,-,-,-,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
后轮胎规格,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动
发动机电子防盗,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机型号,-,-,-,-,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C,F1C
发动机,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4,3.0T 179马力 L4
厂商指导价(元),29.01万,32.72万,33.96万,36.89万,29.99万,29.99万,36.99万,36.99万,39.99万,39.99万,31.99万,32.49万,33.99万,34.49万,33.49万,33.99万,36.49万,36.99万,37.99万,38.49万,35.99万
厂商,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯,南京依维柯
卫星导航系统,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,-,-,,-,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
前轮胎规格,,,,,,,,,,,,,,,,,,,,,
前方碰撞预警,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
内后视镜功能,-,-,-,-,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
侧滑门形式,-,-,-,-,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,-,-,-,,,,,,,,,,,,,,,,,
中控屏幕尺寸,-,-,-,-,,,,,,,,,,,,,,,,,
中央差速器锁止功能,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
上市时间,2021.10,2021.10,2021.10,2021.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
上坡辅助,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
USB/Type-C接口数量,-,-,-,-,,,,,,,,,,,,,,,,,
OTA升级,-,-,-,-,●,●,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○
NEDC综合油耗(L/100km),-,-,-,-,-,-,12.5,12.5,12.5,12.5,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
