Feature,1019642,1019959,1019960,1019961,1019962,1019963,1019964,1019965,1019966,1019967,1019968,1019969,1019970,1019971,1019972,1019973,1019974,1019975,1019976,1019977,1019978,1019979,1019980,1019981
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,E顺达 2025款 49.45kwh 单排栏板 3.5T,E顺达 2025款 49.45kwh 双排栏板 3.5T,E顺达 2025款 49.45kwh 单排货柜 3.5T,E顺达 2025款 49.45kwh 双排货柜 3.5T,E顺达 2025款 49.45kwh 单排仓栅 3.5T,E顺达 2025款 49.45kwh 双排仓栅 3.5T,E顺达 2025款 63.75kwh 单排栏板 3.5T,E顺达 2025款 63.75kwh 双排栏板 3.5T,E顺达 2025款 63.75kwh 单排货柜 3.5T,E顺达 2025款 63.75kwh 双排货柜 3.5T,E顺达 2025款 63.75kwh 单排仓栅 3.5T,E顺达 2025款 63.75kwh 双排仓栅 3.5T,E顺达 2025款 63.75kwh 单排栏板 4.5T,E顺达 2025款 63.75kwh 双排栏板 4.5T,E顺达 2025款 63.75kwh 单排货柜 4.5T,E顺达 2025款 63.75kwh 双排货柜 4.5T,E顺达 2025款 63.75kwh 单排仓栅 4.5T,E顺达 2025款 63.75kwh 双排仓栅 4.5T,E顺达 2025款 50.38kwh 单排栏板 3.5T,E顺达 2025款 50.38kwh 双排栏板 3.5T,E顺达 2025款 50.38kwh 单排货柜 3.5T,E顺达 2025款 50.38kwh 双排货柜 3.5T,E顺达 2025款 50.38kwh 单排仓栅 3.5T,E顺达 2025款 50.38kwh 双排仓栅 3.5T
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3800*1800*380,2800*1800*380,3800*1800*1730,2800*1800*1730,3800*1800*380,2800*1800*380,3800*1800*380,2800*1800*380,3800*1800*1730,2800*1800*1730,3800*1800*380,2800*1800*380,4200*1800*380,3200*1800*380,4200*1800*1730,3200*1800*1730,4200*1800*380,3200*1800*380,3800*1800*380,2800*1800*380,3800*1800*1730,2800*1800*1730,3800*1800*380,2800*1800*380
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡,轻卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,
电池能量(kWh),49.45,49.45,49.45,49.45,49.45,49.45,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,50.38,50.38,50.38,50.38,50.38,50.38
电池类型,,,,,,,,,,,,,,,,,,,,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),122,122,122,122,122,122,122,122,122,122,122,122,143,143,143,143,143,143,122,122,122,122,122,122
电动机总扭矩(N·m),240,240,240,240,240,240,240,240,240,240,240,240,300,300,300,300,300,300,240,240,240,240,240,240
电动机总功率(kW),90,90,90,90,90,90,90,90,90,90,90,90,105,105,105,105,105,105,90,90,90,90,90,90
电动机(Ps),122,122,122,122,122,122,122,122,122,122,122,122,143,143,143,143,143,143,122,122,122,122,122,122
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
最大爬坡度(%),32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
最大满载质量(kg),3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,4495,4495,4495,4495,4495,4495,3495,3495,3495,3495,3495,3495
最大扭矩(N·m),240,240,240,240,240,240,240,240,240,240,240,240,300,300,300,300,300,300,240,240,240,240,240,240
最大功率(kW),90,90,90,90,90,90,90,90,90,90,90,90,105,105,105,105,105,105,90,90,90,90,90,90
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1780,1940,2150,2210,2080,2180,1860,2015,2220,2260,2160,2260,2200,2275,2500,2560,2420,2480,1780,1940,2150,2210,2080,2180
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1880,1880,1880,1880,1945,1945,1880,1880,1880,1880,1945,1945,1880,1880,1880,1880,1945,1945,1880,1880,1880,1880,1945,1945
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,
后电动机最大扭矩(N·m),240,240,240,240,240,240,240,240,240,240,240,240,300,300,300,300,300,300,240,240,240,240,240,240
后电动机最大功率(kW),90,90,90,90,90,90,90,90,90,90,90,90,105,105,105,105,105,105,90,90,90,90,90,90
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),9.95万,9.95万,10.45万,10.45万,10.45万,10.45万,10.85万,10.85万,11.35万,11.35万,11.35万,11.35万,11.55万,11.55万,12.05万,12.05万,12.05万,12.05万,9.62万,9.62万,10.15万,10.15万,10.15万,10.15万
厂商,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车,江铃汽车
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
LED日间行车灯,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CLTC纯电续航里程(km)_y,235,235,235,235,235,235,300,300,300,300,300,300,-,-,-,-,-,-,235,235,235,235,235,235
CLTC纯电续航里程(km)_x,235,235,235,235,235,235,300,300,300,300,300,300,-,-,-,-,-,-,235,235,235,235,235,235
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
