Feature,60330,60357,60358,60520,60521,60522,60523,60524,60525,60526,60527,60528,60529,60530,60531,60532,60533,60534,60725,60726,60727,60728,60729,60730,60731,60732,60822,60823,61669,62145,62146,62147,62148,62149,62150,62151,62152,62153,62824,62825,63271,63272,63273,63885,64363,64364,64365,64755,64757,64758,65114,66529,66598,66599,66600,66601
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,●,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,货车,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门9座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门2座货车,4门7座MPV,4门2座货车,4门7座MPV,4门9座MPV,4门2座货车,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门5座MPV,4门2座货车,4门9座MPV,4门6座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,-,●,-,●,●,-,-,-,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,-,●,-,-,●,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,,-,-,-,-
车型名称,王牌M7 2022款 2.0L 长轴商务型 9座,王牌M7 2023款 2.0L 长轴创享型 7座,王牌M7 2023款 1.6L 长轴商务型 7座,王牌M7 2023款 1.6L 标轴创享型 7座,王牌M7 2023款 1.6L 标轴商务型 7座,王牌M7 2023款 1.6L 标轴营运版 7座,王牌M7 2023款 1.6L 长轴创享型 7座,王牌M7 2023款 1.6L 长轴创享型 9座,王牌M7 2023款 2.0L 长轴创享型 9座,王牌M7 2023款 1.6L 长轴商务型 9座,王牌M7 2023款 2.0L 长轴商务型 7座,王牌M7 2023款 1.6L 长轴营运版 7座,王牌M7 2023款 1.6L 长轴营运版 9座,王牌M7 2023款 2.0L 长轴营运版 7座,王牌M7 2023款 2.0L 长轴营运版 9座,王牌M7 2023款 2.0L CNG长轴豪华版 7座,王牌M7 2023款 2.0L CNG长轴营运版 7座,王牌M7 2023款 2.0L CNG长轴营运版 9座,王牌M7 2023款 1.6L 标轴创业版 2座,王牌M7 2023款 1.6L 标轴创富型 7座,王牌M7 2023款 1.6L 长轴创业版 2座,王牌M7 2023款 1.6L 长轴创富型 7座,王牌M7 2023款 1.6L 长轴创富型 9座,王牌M7 2023款 2.0L 长轴创业版 2座,王牌M7 2023款 2.0L 长轴创富型 7座,王牌M7 2023款 2.0L 长轴创富型 9座,王牌M7 2023款 1.6L 长轴网约车定制版 7座,王牌M7 2023款 2.0L 长轴网约车定制版 7座,王牌M7 2023款 1.6L 标轴创富型 5座,王牌M7 2023款 1.6L 标轴豪华营运版 7座,王牌M7 2023款 1.6L 长轴豪华营运版 7座,王牌M7 2023款 1.6L 长轴豪华营运版 9座,王牌M7 2023款 2.0L 长轴豪华营运版 7座,王牌M7 2023款 2.0L 长轴豪华营运版 9座,王牌M7 2023款 2.0L CNG长轴创享版 7座,王牌M7 2023款 2.0L CNG长轴商务版 7座,王牌M7 2023款 2.0L CNG长轴豪华营运版 7座,王牌M7 2023款 2.0L CNG长轴豪华营运版 9座独立座椅,王牌M7 2023款 2.0L 长轴行政版 7座,王牌M7 2023款 2.0L 长轴行政版 9座,王牌M7 2023款 2.0L 自动长轴创享型 7座,王牌M7 2023款 2.0L 自动长轴创享型 9座,王牌M7 2023款 2.0L 自动长轴商务型 7座,王牌M7 2023款 2.0L 自动长轴商务型 9座,王牌M7 2023款 2.0L CNG长轴创富版 7座,王牌M7 2023款 2.0L CNG长轴创享版 9座,王牌M7 2023款 2.0L CNG长轴商务版 9座,王牌M7 2023款 1.6L 长轴创富型 5座,王牌M7 2023款 2.0L CNG长轴创业版 2座,王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅,王牌M7 2023款 2.0L CNG长轴创富版 6座,锐胜王牌M7 2023款 2.0L 长轴旗舰型 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座
车前雾灯,,-,,-,,-,-,-,-,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,,,,-,-,,,-,-,,-,-,,-,,-,-,,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,-,,-,,-,-,-,-,,,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,-,-,-,-,-,,-,,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,,-,,-,-,-,-,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,,,,-,-,,,-,-,,-,-,,-,,-,-,,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,-,●,●,●,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,●,-,●,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,-,-,-,-
自动头灯,●,-,●,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铸铁,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铝合金,铸铁,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,8挡自动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,8挡自动,5挡手动,5挡手动,5挡手动,5挡手动
第二排独立座椅,●,●,●,●,●,-,●,●,●,●,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,-,-,●,-,-,○,-
第二排座椅调节,,,,,,-,,,,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,,,-,,,,,,,,,,,,,-,,,-,,,-,-,,-,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),19,19,19,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,●,-,●,●,-,-,-,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,-,●,-,-,●,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,-,,-,,-,-,-,-,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,,,,,,,,-,-,,-,-,,-,,-,-,,-
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15,15,15,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15,15,15,15,58,58,58,58,58,58,15,15,15,58,15,15,15,58,58,58,58,58
气罐容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180,180,180,-,-,-,-,-,-,180,180,180,-,179,180,180,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,100,100,100,100,100,140,140,100,100,140,140,160,160,160,160,140,100,100,140,140,100,140,160,140,140,100,140
最大马力(Ps),144,144,124,124,124,124,124,124,144,124,144,124,124,144,144,122,122,122,124,124,124,124,124,144,144,144,124,144,124,124,124,124,144,144,122,122,122,122,144,144,144,144,144,144,122,122,122,124,122,122,122,144,124,124,124,144
最大满载质量(kg),2390,2390,2315,2160,2160,2160,2315,2315,2390,2315,2390,2315,2315,2390,2390,2445,2445,2445,2160,2160,2255,2315,2315,2390,2390,2390,2315,2390,2160,2060,2315,2315,2390,2390,2415,2415,2585,2585,2390,2390,2430,2430,2430,2430,2415,2585,2585,2315,2415,2585,2415,2415,2160,2315,2315,2390
最大扭矩转速(rpm),3600-4400,3600-4400,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3750-4250,3600-4400,3750-4250,3750-4250,3600-4400,3600-4400,-,-,-,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3750-4250,3600-4400,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3750-4250,3600-4400,3600-4400,3600-4400,3600-4400,3750-4250,3750-4250,3750-4250,3600-4400
最大扭矩(N·m)_y,200,200,161,161,161,161,161,161,200,161,200,161,161,200,200,175,175,175,161,161,161,161,161,200,200,200,161,200,161,161,161,161,200,200,175,175,175,175,200,200,200,200,200,200,175,175,175,161,175,175,175,200,161,161,161,200
最大扭矩(N·m)_x,200,200,161,161,161,161,161,161,200,161,200,161,161,200,200,175,175,175,161,161,161,161,161,200,200,200,161,200,161,161,161,161,200,200,175,175,175,175,200,200,200,200,200,200,175,175,175,161,175,175,175,200,161,161,161,200
最大功率转速(rpm),5600,5600,6000,6000,6000,6000,6000,6000,5600,6000,5600,6000,6000,5600,5600,-,-,-,6000,6000,6000,6000,6000,5600,5600,5600,6000,5600,6000,6000,6000,6000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,6000,5600,5600,5600,5600,6000,6000,6000,5600
最大功率(kW)_y,106,106,91,91,91,91,91,91,106,91,106,91,91,106,106,90,90,90,91,91,91,91,91,106,106,106,91,106,91,91,91,91,106,106,90,90,90,90,106,106,106,106,106,106,90,90,90,91,90,90,90,106,91,91,91,106
最大功率(kW)_x,106,106,91,91,91,91,91,91,106,91,106,91,91,106,106,90,90,90,91,91,91,91,91,106,106,106,91,106,91,91,91,91,106,106,90,90,90,90,106,106,106,106,106,106,90,90,90,91,90,90,90,106,91,91,91,106
