Feature,61259,63242,64818,64819,64820,64821,64822,64823,64824,64825,64826,67521,67522,69830,69831,70551,70552
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,
整备质量(kg),1250,1250,1295,1295,1295,1295,1345,1345,1345,1345,1345,1250,1250,1250,1250,1250,1250
摄像头数量,,-,,,-,,,,,,,-,,-,,-,
接近角(°),16,16,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16
排量(mL),1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,-,-,-,-
感应雨刷功能,,-,,,,,,,,,,-,,-,,-,
座椅材质,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-
巡航系统,,,,,-,,,,,,,,,,,,
导航路况信息显示,-,-,●,●,-,-,-,●,-,●,●,-,-,-,-,-,-
宽度(mm),1740,1740,1806,1806,1806,1806,1806,1806,1806,1806,1806,1740,1740,1740,1740,1740,1740
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,
天窗类型,,-,,,-,,,,,,,-,,-,,-,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-
外后视镜功能,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,
备胎放置方式,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1496,1496,1520,1520,1520,1520,1520,1520,1520,1520,1520,1496,1496,1496,1496,1496,1496
后轮胎规格,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,
后座出风口,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
后备厢容积(L),498,498,510,510,510,510,510,510,510,510,510,498,498,498,498,498,498
后制动器类型,,,,,,,,,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DSV,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ,EA211-DRZ
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5T 160马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4
厂商指导价(元),10.999万,9.999万,13.09万,13.09万,12.09万,12.79万,13.89万,15.19万,13.89万,14.39万,15.19万,7.999万,8.799万,7.999万,8.799万,9.999万,10.999万
厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
卫星导航系统,-,-,●,●,-,-,-,●,-,●,●,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,
前轮距(mm),1516,1516,1546,1546,1546,1546,1546,1546,1546,1546,1546,1516,1516,1516,1516,1516,1516
前轮胎规格,,,,,,,,,,,,,,,,,
前方碰撞预警,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●
前排座椅功能,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,-,-,-,●,-,●,●,●,●,●,●,●,●
倒车车侧预警系统,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,-,-,-,-,-,-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,
上市时间,2023.06,2023.06,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2023.09,2024.04,2024.04,2024.10,2024.10,2024.10,2024.10
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,○,○,●,●,●,●,●,●,●,●,●,○,○,-,-,-,-
WLTC综合油耗(L/100km),5.98,5.98,5.92,5.92,5.92,5.92,5.40,5.40,5.40,5.40,5.40,5.98,5.98,5.98,5.98,5.98,5.98
USB/Type-C接口数量,,,,,,,,,,,,,,,,,
OTA升级,-,-,●,●,-,-,-,●,-,●,●,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,,-,-,-,-
