Feature,64997,65144,65369,67732,69730,69760,69842,69848,69849,69850,69851,69852,69853,69854,69855,69856,72549,72550
膝部气囊,-,-,-,,,,,-,-,-,-,-,-,-,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合
第二排座椅调节,-,-,-,,-,,-,-,-,-,-,-,-,-,,,-,-
第二排座椅电动调节,-,-,-,●,-,○,-,-,-,-,-,-,-,-,○,●,-,-
第二排座椅功能,-,-,-,,-,,-,-,-,-,-,-,-,-,,,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,
空气质量监测,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
离去角(°),14,14,14,15,15,15,15,14,14,14,14,14,14,14,15,15,15,15
疲劳驾驶提示,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
电动座椅记忆功能,,,-,,,,,,,-,,,,,,,,
电动后备厢,-,-,-,●,○,●,○,-,●,-,-,-,-,●,●,●,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,92号,92号
灯光特色功能,-,-,-,,,,,-,,-,-,-,-,,,,-,-
温度分区控制,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,
油箱容积(L),68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,,,,,,,-,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
最大马力(Ps),186,186,150,220,220,220,220,220,220,150,186,186,220,220,220,220,160,160
最大满载质量(kg),2060,2060,1960,2140,2140,2140,2140,2080,2080,1960,2060,2060,2080,2080,2140,2140,2040,2040
最大扭矩转速(rpm),1500-4050,1500-4050,1550-3200,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1600-4300,1550-3200,1500-4050,1500-4050,1600-4300,1600-4300,1600-4300,1600-4300,1750-4000,1750-4000
最大扭矩(N·m)_y,320,320,250,350,350,350,350,350,350,250,320,320,350,350,350,350,250,250
最大扭矩(N·m)_x,320,320,250,350,350,350,350,350,350,250,320,320,350,350,350,350,250,250
最大功率转速(rpm),4150-6000,4150-6000,4800-5200,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4900-6700,4800-5200,4150-6000,4150-6000,4900-6700,4900-6700,4900-6700,4900-6700,5500,5500
最大功率(kW)_y,137,137,110,162,162,162,162,162,162,110,137,137,162,162,162,162,118,118
最大功率(kW)_x,137,137,110,162,162,162,162,162,162,110,137,137,162,162,162,162,118,118
最大净功率(kW),137,137,110,162,162,162,162,162,162,110,137,137,162,162,162,162,118,118
无钥匙进入功能,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘离手检测,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,●,-,●,-,-,-,-,-,-,-,-,●,●,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,
整备质量(kg),1600,1600,1500,1680,1680,1680,1680,1620,1620,1500,1600,1600,1620,1620,1680,1680,1580,1580
摄像头数量,-,-,-,,,,,,,-,,,,,,,,
接近角(°),14,14,14,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13
排量(mL),1984,1984,1395,1984,1984,1984,1984,1984,1984,1395,1984,1984,1984,1984,1984,1984,1498,1498
换挡形式,,,,,,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,,-,,-,-,-,-,-,-,-,-,,,-,-
手机无线充电功能,-,-,-,,,,,-,,-,-,-,-,,,,,
手机无线充电功率,-,-,-,,,,,-,-,-,-,-,-,-,,,,
手机互联/映射,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,-,-,-,,,,,,
手势控制,-,-,-,●,-,●,-,-,-,-,-,-,-,-,●,●,-,-
感应雨刷功能,,,-,,,,,,,-,,,,,,,,
感应后备厢,-,-,-,●,○,●,○,-,●,-,-,-,-,●,●,●,-,-
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
应用商店,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
并线辅助,○,○,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
巡航系统,,,-,,,,,,,-,,,,,,,,
导航路况信息显示,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
宽度(mm),1836,1836,1836,1850,1850,1850,1850,1836,1836,1836,1836,1836,1836,1836,1850,1850,1850,1850
官方0-100km/h加速(s),8.4,8.4,9.1,7.6,7.6,7.6,7.6,7.4,7.4,9.1,8.4,8.4,7.4,7.4,7.6,7.6,9.5,9.5
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,-,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,
地图品牌,-,-,-,,,,,-,-,-,-,-,-,-,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1570,1570,1570,1572,1572,1572,1572,1570,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572
后轮胎规格,,,,,,,,,,,,,,,,,,
后排独立空调,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,
后排侧窗遮阳帘,-,-,-,,-,-,-,-,,-,-,-,-,,-,,-,-
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),521,521,521,506,506,506,506,521,521,521,521,521,521,521,506,506,506,506
后制动器类型,,,,,,,,,,,,,,,,,,
可见即可说,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),干式双离合变速箱(DCT),干式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,米勒循环,米勒循环
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA888-DTH,EA888-DTH,EA211-DLE,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA211-DLE,EA888-DTH,EA888-DTH,EA888-DTJ,EA888-DTJ,EA888-DTJ,EA888-DTJ,DSV,DSV
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 186马力 L4,2.0T 186马力 L4,1.4T 150马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,1.4T 150马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,1.5T 160马力 L4,1.5T 160马力 L4
厂商指导价(元),20.59万,20.59万,18.19万,23.99万,19.99万,21.99万,19.99万,17.69万,19.29万,16.45万,18.85万,18.85万,17.69万,19.29万,21.99万,23.99万,17.99万,17.99万
厂商,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众,上汽大众
卫星导航系统,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
副驾娱乐屏尺寸,-,-,-,,-,,-,-,-,-,-,-,-,-,,,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1584,1584,1584,1586,1586,1586,1586,1584,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586
前轮胎规格,,,,,,,,,,,,,,,,,,
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前方感知摄像头,-,-,-,,,,,-,,-,-,-,-,,,,,
前排座椅功能,,,-,,,,,,,-,,,,,,,,
前排中间气囊,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
前悬架类型,,,,,,,,,,,,,,,,,,
前大灯雨雾模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
倒车车侧预警系统,○,○,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,
中控屏幕分辨率,-,-,-,,-,,-,-,-,-,-,-,-,-,,,-,-
上市时间,2023.10,2023.10,2023.10,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2025.04,2025.04
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
WLTC综合油耗(L/100km),6.41,6.41,6.1,6.87,6.87,6.87,6.87,6.94,6.94,6.1,6.41,6.41,6.94,6.94,6.87,6.87,5.93,5.93
V2X通讯,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
USB/Type-C最大充电功率,-,-,-,,,,,-,-,-,-,-,-,-,,,,
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,
OTA升级,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
NEDC综合油耗(L/100km),6.3,6.3,5.8,-,-,-,-,6.7,6.7,5.8,6.3,6.3,6.7,6.7,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
DOW开门预警,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
AR实景导航,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,-,-,-,-,-,-,-,,,,
