Feature,65213,65214,65215,65216,65217,65218,65219,65220,65221,65222,65223,65224,65225,65226,65227,65228,65229,65230,65231,65232,65233,66405,66406,66407,66408,66409,66410,67484,69365,69366,69367
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
轴距(mm),2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
车载KTV,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
车窗防夹手功能,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,江淮X8 PLUS 2024款 1.5TGDI 手动智行版 5座,江淮X8 PLUS 2024款 1.5TGDI 手动智行版 6座,江淮X8 PLUS 2024款 1.5TGDI 手动智行版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智家版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智家版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智家版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智享版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智享版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智享版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智旅版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智旅版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智旅版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智尚版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智尚版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智尚版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智尊版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智尊版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智尊版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT旗舰版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT旗舰版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT旗舰版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT尊贵版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT尊贵版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT尊贵版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT尊享版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT尊享版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT尊享版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT献礼版 7座,江淮X8 PLUS 2024款 1.5TGDI DCT智享+版 5座,江淮X8 PLUS 2024款 1.5TGDI DCT智享+版 6座,江淮X8 PLUS 2024款 1.5TGDI DCT智享+版 7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,,,,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
语音免唤醒词,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手动,6挡手动,6挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,-,●,-
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空载最小离地间隙(mm),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,-,●,●,●
电动后备厢,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
最大马力(Ps),184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
最大满载质量(kg),2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,-,-,-,-,-,-,2215,2215,2215,2215
最大扭矩转速(rpm),1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500,1800-3500
最大扭矩(N·m)_y,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
最大扭矩(N·m)_x,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
最大功率(kW)_x,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
最大净功率(kW),128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
无钥匙进入功能,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1645,1660,1675,1675,1645,1660,1675
摄像头数量,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,-,●,●,●
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,,-,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
大灯高度可调,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎放置方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地图品牌,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,-,-,-,●,●,-,-,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153,418-2153
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,6挡手动,6挡手动,6挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E,HFC4GC1.6E
发动机,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4
厂商指导价(元),9.68万,9.98万,9.98万,10.98万,11.38万,11.38万,11.68万,11.98万,11.98万,12.98万,13.28万,13.28万,13.68万,13.98万,13.98万,15.68万,15.98万,15.98万,17.68万,17.98万,17.98万,13.18万,13.58万,13.58万,14.68万,14.98万,14.98万,8.98万,12.68万,12.98万,12.98万
厂商,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团,江汽集团
卫星导航系统,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
