Feature,1015043,1015276,1015277,1015278,1015279,1015280,1015281,1015282,1015283,1015284,1015285,1015286,1015287,1015288,1015289,1015290,1015291,1015292,1015293,1015294,1015295,1015296,1015297,1015298,1015299,1015300,1015301,1015302,1015303,1015304,1015305,1015306,1015307,1015308,1015309,1015310,1015311,1015312,1015313,1015442,1015443,1015444,1015445,1017507,1018017,1018018,1018019,1018034
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,全顺 2023款 2.0T柴油自动多功能商用车短轴中顶5/6座,全顺 2023款 2.0T柴油手动厢式货车短轴低顶2/3座,全顺 2023款 2.0T汽油手动厢式货车短轴低顶2/3座,全顺 2023款 2.0T柴油手动厢式货车短轴中顶2/3座,全顺 2023款 2.0T汽油手动厢式货车短轴中顶2/3座,全顺 2023款 2.0T柴油手动厢式货车中轴低顶2/3座,全顺 2023款 2.0T汽油手动厢式货车中轴低顶2/3座,全顺 2023款 2.0T柴油手动厢式货车中轴中顶2/3座,全顺 2023款 2.0T汽油手动厢式货车中轴中顶2/3座,全顺 2023款 2.0T柴油手动多功能商用车短轴低顶5/6座,全顺 2023款 2.0T汽油手动多功能商用车短轴低顶5/6座,全顺 2023款 2.0T柴油手动多功能商用车短轴中顶5/6座,全顺 2023款 2.0T汽油手动多功能商用车短轴中顶5/6座,全顺 2023款 2.0T柴油手动多功能商用车中轴低顶5/6座,全顺 2023款 2.0T汽油手动多功能商用车中轴低顶5/6座,全顺 2023款 2.0T柴油手动多功能商用车中轴中顶5/6座,全顺 2023款 2.0T汽油手动多功能商用车中轴中顶5/6座,全顺 2023款 2.0T柴油手动商旅型短轴低顶7/8/9座,全顺 2023款 2.0T柴油手动商旅型中轴低顶7/8/9座,全顺 2023款 2.0T汽油手动商旅型中轴低顶7/8/9座,全顺 2023款 2.0T柴油手动商旅型中轴中顶7/8/9座,全顺 2023款 2.0T汽油手动商旅型中轴中顶7/8/9座,全顺 2023款 2.0T柴油自动厢式货车短轴低顶2/3座,全顺 2023款 2.0T柴油自动厢式货车短轴中顶2/3座,全顺 2023款 2.0T柴油自动厢式货车中轴低顶2/3座,全顺 2023款 2.0T柴油自动厢式货车中轴中顶2/3座,全顺 2023款 2.0T柴油自动多功能商用车短轴低顶5/6座,全顺 2023款 2.0T汽油自动多功能商用车短轴低顶5/6座,全顺 2023款 2.0T汽油自动多功能商用车短轴中顶5/6座,全顺 2023款 2.0T柴油自动多功能商用车中轴低顶5/6座,全顺 2023款 2.0T汽油自动多功能商用车中轴低顶5/6座,全顺 2023款 2.0T柴油自动多功能商用车中轴中顶5/6座,全顺 2023款 2.0T汽油自动多功能商用车中轴中顶5/6座,全顺 2023款 2.0T柴油自动商旅型短轴低顶7/8/9座,全顺 2023款 2.0T汽油自动商旅型短轴低顶7/8/9座,全顺 2023款 2.0T柴油自动商旅型中轴低顶7/8/9座,全顺 2023款 2.0T汽油自动商旅型中轴低顶7/8/9座,全顺 2023款 2.0T柴油自动商旅型中轴中顶7/8/9座,全顺 2023款 2.0T汽油自动商旅型中轴中顶7/8/9座,全顺 2023款 2.0T柴油手动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T柴油自动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T汽油手动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T汽油自动商旅型中轴中顶10/11/12座,全顺 2023款 2.0T汽油自动商旅型中轴中顶10座,2024款 2.0T 汽油自动中轴中顶商旅定制版7/8/9座,全顺 2024款 2.0T 汽油手动短轴低顶手动挡定制版6座,全顺 2024款 2.0T 汽油自动短轴低顶自动挡定制版6座,全顺 2024款 2.0T 汽油自动中轴中顶商旅型Bus豪华版7/8/9座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
自适应远近光,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,-,-
自动驻车,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,柴油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,9挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,9挡自动,5挡手动,9挡自动,5挡手动,9挡自动,9挡自动,9挡自动,5挡手动,9挡自动,9挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,92号,0号,92号,0号,0号,0号,0号,0号,92号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,92号,0号,0号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
油箱容积(L),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,170,160,170,160,170,160,170,160,170,160,170,160,170,160,170,160,160,170,160,170,160,160,160,160,160,170,170,160,170,160,170,160,170,160,170,160,170,160,160,170,170,170,170,170,170,170
最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,6.5,6.5,6.5,6.5,5.8,5.8,5.8,5.8,6.5,6.5,6.5,6.5,5.8,6.5,6.5,6.5,6.5,5.8,5.8,6.5,6.5,5.8,5.8,5.8,6.5,6.5,6.5,6.5,5.8,5.8,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,5.8,5.8,6.5
最小离地间隙(mm),187,187,170,187,170,187,170,187,170,187,170,187,170,187,170,187,170,187,187,170,187,170,187,187,187,187,187,170,170,187,170,187,170,187,170,187,170,187,170,187,187,170,170,170,170,170,170,170
最大马力(Ps),143,143,220,143,220,143,220,143,220,143,220,143,220,143,220,143,220,143,143,220,143,220,143,143,143,143,143,220,220,143,220,143,220,143,220,143,220,143,220,143,143,220,220,220,220,220,220,220
最大满载质量(kg),3510,3510,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3510,3300,3510,3300,3510,3510,3510,3510,3510,3300,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3300,3510,3510,3300,3300,3300,3300,3300,3300,3300
最大扭矩转速(rpm),1600-2400,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,2000-3500,1400-3200,1400-3200,2000-3500,1400-3200,2000-3500,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,2000-3500,2000-3500,1600-2400,2000-3500,1600-2400,2000-3500,1600-2400,2000-3500,1600-2400,2000-3500,1600-2400,2000-3500,1400-3200,1600-2400,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500
最大扭矩(N·m)_y,355,355,350,355,350,355,350,355,350,355,350,355,350,355,350,355,350,355,355,350,355,350,355,355,355,355,355,350,350,355,350,355,350,355,350,355,350,355,350,355,355,350,350,350,350,350,350,350
最大扭矩(N·m)_x,355,355,350,355,350,355,350,355,350,355,350,355,350,355,350,355,350,355,355,350,355,350,355,355,355,355,355,350,350,355,350,355,350,355,350,355,350,355,350,355,355,350,350,350,350,350,350,350
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,105,105,162,105,162,105,162,105,162,105,162,105,162,105,162,105,162,105,105,162,105,162,105,105,105,105,105,162,162,105,162,105,162,105,162,105,162,105,162,105,105,162,162,162,162,162,162,162
最大功率(kW)_x,105,105,162,105,162,105,162,105,162,105,162,105,162,105,162,105,162,105,105,162,105,162,105,105,105,105,105,162,162,105,162,105,162,105,162,105,162,105,162,105,105,162,162,162,162,162,162,162
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,-,,-,,,-,-,-,
无钥匙启动系统,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,○,-,○,○,-,-,-,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2100,2020,1915,2020,1915,2070,1965,2070,1965,2100,2000,2100,2000,2160,2060,2160,2060,2265,2320,2225,2380,2225,2020,2020,2070,2070,2100,2000,2000,2160,2060,2160,2060,2265,2060,2320,2225,2380,2225,2380,2380,2225,2225,2225,2225,2000,2000,2225
排量(mL),1998,1998,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1998,1997,1998,1997,1998,1998,1998,1998,1998,1997,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1997,1998,1998,1997,1997,1997,1997,1997,1997,1997
挡位个数,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,5,9,9,9,5,9,9
扬声器数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,2040,2040,2040,2040,2040,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,1986,1986,2040
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
