Feature,57293,57294,61404,61405,61406,61407,61408,61494,62225,63075,63076,63077,63078,63079,63080,64331,68045,68046,70869,70870
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,
移动物体预警系统,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21
百公里耗电量(kWh/100km),12.9,12.9,-,-,-,-,-,-,12.9,-,-,-,-,-,-,-,12.9,12.9,12.4,12.4
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,-,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,1.5,-,-,-,-,-,-,1.5,-,-,-,-,-,-,-,-,1.5,1.44,1.45
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175.48,180.59
电池能量(kWh),49,60,49,60,60,63,63,60,60,43.929,43.929,60.2,60.2,43.929,60.2,43.929,49,63,49,63
电池类型,,,,,,,,,,,,,,,,,,,,
电池慢充时间(小时)_y,10,10,8,10,10,10,10,10,10,8,8,10,10,-,-,-,10,10,10,10
电池慢充时间(小时)_x,10,10,8,10,10,10,10,10,10,8,8,10,10,-,-,-,10,10,10,10
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80,80,80,80,80,80,30-80,30-80,30-80,80,80,30-80,30-80
电池快充电量范围(%)_x,80,80,80,80,80,80,80,80,80,80,80,80,80,30-80,30-80,30-80,80,80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置+后置,前置+后置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),150,150,150,150,150,231,231,150,150,150,150,150,150,150,150,150,150,150,150,150
电动机总扭矩(N·m),225,225,225,225,225,395,395,225,225,225,225,225,225,225,225,225,225,225,225,225
电动机总功率(kW),110,110,110,110,110,170,170,110,110,110,110,110,110,110,110,110,110,110,110,110
电动机(Ps),150,150,150,150,150,231,231,150,150,150,150,150,150,150,150,150,150,150,150,150
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
热泵空调,-,-,-,●,●,●,●,●,●,-,-,●,●,-,-,-,○,○,-,○
灯光特色功能,-,-,-,,,,,,,-,-,,,-,-,-,-,-,,
满载最小离地间隙(mm),145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,
毫米波雷达数量,-,-,-,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
最小转弯半径(m),-,-,-,-,-,-,5.6,-,-,5.6,5.6,5.6,5.6,-,-,-,-,-,-,-
最大爬坡度(%),-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),1845,1945,1845,1945,1945,2055,2055,1945,1945,1845,1845,1945,1945,1910,1945,1910,1845,1945,1845,1945
最大扭矩(N·m),225,225,225,225,225,395,395,225,225,225,225,225,225,225,225,225,225,225,225,225
最大功率(kW),110,110,110,110,110,170,170,110,110,110,110,110,110,110,110,110,110,110,110,110
无钥匙进入功能,-,-,,,,,,,,-,,,,-,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1470,1570,1470,1570,1570,1680,1680,1570,1570,1470,1470,1570,1570,1535,1570,1535,1470,1570,1470,1570
摄像头数量,-,-,,,,,,,,-,,,,-,-,,-,-,-,-
接近角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
换挡形式,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,,-,,-,-,-,-,-,,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,-,-,-,-
慢充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车右前侧,车右前侧
感应雨刷功能,-,-,-,,,,,,,-,-,-,,-,-,-,-,-,-,-
快充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车右前侧,车右前侧
快充功能,支持,支持,-,-,-,-,支持,-,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,○,-,○,-,●,-,-,-,○,-,-,-,-,-,-,-
巡航系统,-,-,,,,,,,,-,,,,-,-,-,,,,
导航路况信息显示,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-
宽度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
官方0-50km/h加速(s),3.9,3.9,3.9,3.9,3.9,2.5,2.5,3.9,4.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,-,-
官方0-100km/h加速(s),10.2,10.2,10.2,10.2,10.2,5.8,5.8,10.2,9.5,9.5,9.5,10.2,10.2,9.5,10.2,9.5,10.2,10.2,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,,,,,,-,-,-,,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
后轮胎规格,,,,,,,,,,,,,,,,,,,,
后电动机最大扭矩(N·m),-,-,-,-,-,170,170,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-
后方碰撞预警,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,●,-,●,●,●,-,-,-,●,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,,,,,,,,-,,,,-,-,,-,-,,
后悬架类型,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,●,-,●,●,●,-,-,-,●,-,-,-,●,●,●,●
后备厢容积(L),410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
后制动器类型,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),17.58万,19.28万,14.28万,15.98万,17.98万,16.98万,19.98万,18.98万,18.38万,11.88万,12.88万,14.58万,15.98万,16.98万,18.68万,19.58万,16.98万,18.68万,16.98万,18.68万
厂商,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团,雷诺 江铃集团
卫星导航系统,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
前轮胎规格,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),225,225,225,225,225,255,255,225,225,225,225,225,225,225,225,225,225,225,225,225
前电动机最大功率(kW),110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
前电动机型号,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,-,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2,TZ160XSJE2
前电动机品牌,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,-,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力,合肥巨一动力
前方碰撞预警,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
前方感知摄像头,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,-
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
内后视镜功能,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,●,-,-,-,-
倒车车侧预警系统,-,-,-,-,○,-,○,-,●,-,-,-,○,-,-,-,-,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,●,-,●,-,●,-,-,-,●,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,-,-,-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,-,,,,,,,,-,,,,-,-,,-,-,-,-
中控屏幕尺寸,-,-,,,,,,,,-,,,,-,-,,-,-,-,-
上市时间,2022.05,2022.05,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.08,2024.04,2024.04,2024.11,2024.11
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,,,,,,,,,,,,-,-
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
NEDC纯电续航里程(km)_y,-,-,-,-,-,-,-,-,500,-,-,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_x,-,-,-,-,-,-,-,-,500,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
DOW开门预警,-,-,-,-,○,-,○,-,●,-,-,-,○,-,-,-,-,-,-,-
CLTC纯电续航里程(km)_y,430,520,430,520,520,470,470,520,-,401,401,520,520,401,520,401,430,550,430,550
CLTC纯电续航里程(km)_x,430,520,430,520,520,470,470,520,-,401,401,520,520,401,520,401,430,550,430,550
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,-,-,-,-,-,-,,-,-,-,,,,-,-,-,-,-,-,-
