Feature,1004832,1004833,1004834,1004835,1004837,1004838,1004839,1004840,1005901,1005951,1005952,1005953,1005955,1005957,1005958,1006078,1006081,1006082,1006083,1006084,1006087,1006088,1006090,1006091,1006092,1006093,1006094,1007641,1007642
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车,货车,货车,货车,货车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,依维柯褒迪 2017款 3.0T尊享A42客车高顶16-17座F1CE34818,依维柯褒迪 2017款 3.0T尊享A50客车高顶19-20座F1CE34818,依维柯褒迪 2017款 3.0T尊享A42L客车高顶17-20座F1CE34818,依维柯褒迪 2017款 3.0T尊享V52箱货高顶3/6座F1CE34818,依维柯褒迪 2017款 3.0T尊享X52载货车单排后双短轴F1CE34818,依维柯褒迪 2017款 3.0T尊享X52载货车单排后双长轴F1CE34818,依维柯褒迪 2017款 3.0T尊享X46载货车单排后双短轴F1CE34818,依维柯褒迪 2017款 3.0T尊享X46载货车双排后双长轴F1CE34818,依维柯褒迪 2017款 3.0T尊享A32客车中顶6-7座F1CE34818,依维柯褒迪 2017款 3.0T尊享A39客车14座中顶F1CE34818,依维柯褒迪 2017款 3.0T尊享A39客车14座高顶F1CE34818,依维柯褒迪 2017款 3.0T尊享V39厢货中顶F1CE34818,依维柯褒迪 2017款 2.8T尊享V39厢货中顶43S5,依维柯褒迪 2017款 3.0T尊享V36厢货中顶F1CE34818,依维柯褒迪 2017款 2.8T尊享V36厢货中顶43S5,依维柯褒迪 2017款 2.5T尊享A32客车中顶5-7座47Z5,依维柯褒迪 2017款 2.5T尊享A37客车中顶6-7座47Z5,依维柯褒迪 2017款 3.0T尊享A36客车中顶11座F1CE34818,依维柯褒迪 2017款 3.0T尊享A42客车中顶16-17座F1CE34818,依维柯褒迪 2017款 3.0T尊享A37客车高顶6-7座F1CE34818,依维柯褒迪 2017款 3.0T尊享V46箱货高顶F1CE34818,依维柯褒迪 2017款 2.8T尊享V46箱货中顶43S5,依维柯褒迪 2017款 2.8T尊享V52箱货高顶3/6座43S5,依维柯褒迪 2017款 2.8T尊享X52载货车单排后双短轴43S5,依维柯褒迪 2017款 2.8T尊享X52载货车单排后双长轴43S5,依维柯褒迪 2017款 2.8T尊享X46载货车单排后双短轴43S5,依维柯褒迪 2017款 2.8T尊享X46载货车双排后双长轴43S5,依维柯褒迪 2017款 2.8T尊享X52载货车双排后双短轴43S5,依维柯褒迪 2017款 3.0T尊享X52载货车双排后双短轴F1CE34818
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测装置,○,○,○,-,-,-,-,-,○,○,○,-,-,-,-,○,○,○,○,○,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铝,未知,铝,未知,未知,未知,未知,未知,未知,铝,铝,铝,铝,铝,铝,铝,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铁,未知,铁,未知,未知,未知,未知,未知,未知,铁,铁,铁,铁,铁,铁,铁,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),93,93,93,93,93,93,93,93,70,93,93,93,93,93,93,70,70,93,93,70,93,93,93,93,93,93,93,93,93
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,2,未知,2,2,2,未知,未知,未知,未知,2,2,2,2,2,2,2,未知
最高车速(km/h),140,135,135,130,115,130,135,135,130,140,140,135,135,135,135,130,120,130,140,120,135,135,130,130,130,135,135,130,130
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),146,146,146,146,146,146,146,146,146,146,146,146,129,146,129,122,122,146,146,146,146,129,129,129,129,129,129,129,146
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1400-2800,1800,1400-2800,1800,1800,1800,1400-2800,1400-2800,1400-2800,1400-2800,1800,1800,1800,1800,1800,1800,1800,1400-2800
最大扭矩(N·m)_y,370,370,370,370,370,370,370,370,370,370,370,370,300,370,300,285,285,370,370,370,370,300,300,300,300,300,300,300,370
最大扭矩(N·m)_x,370,370,370,370,370,370,370,370,370,370,370,370,300,370,300,285,285,370,370,370,370,300,300,300,300,300,300,300,370
最大功率转速(rpm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3600,3500,3600,3600,3600,3500,3500,3500,3500,3600,3600,3600,3600,3600,3600,3600,3500
最大功率(kW)_y,107,107,107,107,107,107,107,107,107,107,107,107,95,107,95,90,90,107,107,107,107,95,95,95,95,95,95,95,107
最大功率(kW)_x,107,107,107,107,107,107,107,107,107,107,107,107,95,107,95,90,90,107,107,107,107,95,95,95,95,95,95,95,107
无钥匙进入系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里,两年或10万公里
整备质量(kg),2950,3350,3150,2740,2490,2460,2320,2430,2470,2750,2750,2400,2400,2310,2210,2470,2650,2435,2845,2650,2450,2450,2700,2395,2460,2320,2350,2395,2490
排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,2798,-,2798,2499,2499,-,-,-,-,2798,2798,2798,2798,2798,2798,2798,-
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,5,5,5,5,5,5,5,6
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物,织物
座位数(个),16-17,19-20,17-20,3-6,3,3,3,6,6-7,14,14,3,3,3,3,5-7,6-7,11,16-17,6-7,3,3,3-6,3,3,3,6,6,6
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),12.4,13.4,12.4,13.5,13.5,13.5,12.9,12.9,11.5,12.4,12.4,12,12,12,12,11.5,12.4,11.5,12.4,12.4,12.9,12.9,13.5,13.5,13.5,12.9,12.9,13.5,13.5
宽度(mm),2000,2000,2000,2000,2020,2020,2020,2020,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2020,2020,2020,2020,2020,2020
定速巡航,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,○,○,○,-,-,-,-,-,○,○,○,-,-,-,-,○,○,○,○,○,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,195/75 R16,195/75 R16,215/75 R16,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,215/75 R16,215/75 R16,215/75 R16,6.50 R16LT,215/75 R16,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,6.50 R16LT,195/75 R16,195/75 R16,6.50 R16LT,6.50 R16LT
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜加热,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,-,-,-,-,-,-,-,-,-,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,●,●,●,-,-,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●,-,-,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,6挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,F1CE34818,43S5,F1CE34818,43S5,47Z5,47Z5,F1CE34818,F1CE34818,F1CE34818,F1CE34818,43S5,43S5,43S5,43S5,43S5,43S5,43S5,F1CE34818
发动机启停技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,2.8T 129马力 L4,3.0T 146马力 L4,2.8T 129马力 L4,2.5T 122马力 L4,2.5T 122马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,3.0T 146马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,2.8T 129马力 L4,3.0T 146马力 L4
压缩比,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,-,17.5,-,17,17,17.5,17.5,17.5,17.5,-,-,-,-,-,-,-,17.5
厂商指导价(元),26.59万,32.49万,29.69万,25.80万,17.87万,18.37万,16.67万,17.27万,15.44万,19.64万,19.74万,17.39万,16.49万,15.29万,14.39万,14.54万,16.64万,17.54万,26.49万,17.54万,23.60万,22.60万,24.90万,16.97万,17.47万,15.77万,16.37万,17.47万,18.37万
