Feature,43182,43183,43184,43185,43186,43187,43188,43189,46521,46522,56464,56541,56683,57034,57035,57036,57037,57038,57039,62201,63931,63938,63939,66090,66098,67218,67219,69211,69212
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,○,○,-,-,○,○,○,○,●,●,●,●,●,●,●,●,●,-,●,-,-,●,●,●,●,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,mu-X牧游侠 2020款 1.9T 柴油自动两驱劲悦版 5座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动两驱劲悦版 7座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动两驱劲享版 5座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动两驱劲享版 7座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱劲悦版 5座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱劲悦版 7座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱劲享版 5座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱劲享版 7座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱X-POWER版 5座 国VI,mu-X牧游侠 2020款 1.9T 柴油自动四驱X-POWER版 7座 国VI,mu-X牧游侠 2022款 2.0T 汽油自动四驱至臻版 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲享型 5座,mu-X牧游侠 2022款 2.0T 汽油自动两驱劲悦型 5座,mu-X牧游侠 2022款 2.0T 汽油自动两驱劲悦型 7座,mu-X牧游侠 2022款 2.0T 汽油自动两驱劲享型 5座,mu-X牧游侠 2022款 2.0T 汽油自动两驱劲享型 7座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲悦型 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲悦型 7座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲享型 7座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲悦型豪华版 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱铃享型 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲悦型超豪华版 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲悦型至尊版 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱劲享S型 5座,mu-X牧游侠 2022款 2.0T 汽油自动四驱豪华版 5座,mu-X牧游侠 2024款 2.0T 汽油自动四驱劲耀版 5座,mu-X牧游侠 2024款 2.0T 汽油自动四驱劲尊版 7座,mu-X牧游侠 2024款 2.0T 汽油自动两驱精英版 5座,mu-X牧游侠 2024款 2.0T 汽油自动四驱精英版 5座
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,●,●,-,-,●,●,●,●,●,●,-,-,●,●,-,-,●,-,●,-,●,●,●,-,●,-,-
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
满载最小离地间隙(mm),225,225,225,225,225,225,225,225,225,225,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),65,65,65,65,65,65,65,65,65,65,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
最大马力(Ps),166,166,166,166,166,166,166,166,166,166,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
最大满载质量(kg),2600,2650,2600,2650,2700,2750,2700,2750,2700,2750,2650,2650,2550,2550,2550,2550,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2550,2650
最大扭矩转速(rpm),2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-2500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500
最大扭矩(N·m)_y,360,360,360,360,360,360,360,360,360,360,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大扭矩(N·m)_x,360,360,360,360,360,360,360,360,360,360,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,122,122,122,122,122,122,122,122,122,122,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
最大功率(kW)_x,122,122,122,122,122,122,122,122,122,122,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
最大净功率(kW),120,120,120,120,120,120,120,120,120,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
无钥匙进入功能,-,-,,,-,-,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2005,2030,2005,2030,2105,2130,2105,2130,2105,2130,2000,2000,1905,1925,1905,1925,2000,2030,2030,2000,2000,2000,2000,2000,2000,2000,2030,1905,2030
接近角(°),26,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
排量(mL),1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
手机互联/映射,-,-,,,-,-,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-
感应雨刷功能,-,-,,,-,-,,,,,,,-,-,,,-,-,,-,,-,,,,-,,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,-,,-,,-,,-,,-,,-,-,-,,-,,-,,,-,-,-,-,-,-,-,-,-,-
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,●,●,-,-,●,●,●,●,●,●,-,-,●,●,-,-,●,-,-,-,-,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,,,,,,,,,-,-,-,-,,,,,,,,,,,,-,
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,RZ4E,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L,JX4G20A6L
发动机启停技术,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,1.9T 166马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4,2.0T 220马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,-,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
厂商指导价(元),18.18万,18.78万,19.88万,20.48万,21.28万,21.88万,22.98万,23.58万,24.78万,25.38万,27.98万,21.48万,16.68万,17.28万,18.38万,18.98万,19.78万,20.38万,22.08万,20.58万,25.58万,21.88万,22.88万,22.48万,23.48万,21.58万,23.28万,17.38万,20.48万
厂商,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃,江西五十铃
卫星导航系统,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
前排座椅功能,-,-,,,-,-,,,,,,,-,-,,,-,-,,-,-,,,,,-,,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
