Feature,52322,53074,53873,56463,57233,57234,62186,62409,63635,64361,64362,64388,64389,64390,64391,64392,64828
满载最小离地间隙(mm),120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
最小转弯半径(m),-,4,4,4,-,-,4,4,4,4,4,4,4,4,4,4,4
最大满载质量(kg),1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043
最大扭矩(N·m),85,85,85,85,85,85,85,85,85,90,90,85,85,85,85,85,85
最大功率(kW),20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,20,20
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),743,743,715,699,715,743,743,728,699,778,778,699,699,699,715,715,715
接近角(°),23,26,26,26,23,23,26,26,26,23,23,26,26,26,26,26,26
换挡形式,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,
慢充时间(小时)_y,8,8,6,6,6,8,8,8,6,11,11,6.5,6.5,6.5,9,9,9
慢充时间(小时)_x,8,8,6,6,6,8,8,8,6,11,11,6.5,6.5,6.5,9,9,9
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-,-,-,-,-,30-80,-,-,-,-,-,30-80
快充电量(%),-,-,-,-,-,-,-,-,-,-,30-80,-,-,-,-,-,30-80
快充时间(小时)_y,-,-,-,-,-,-,-,-,-,-,1.25,-,-,-,-,-,1.25
快充时间(小时)_x,-,-,-,-,-,-,-,-,-,-,1.25,-,-,-,-,-,1.25
快充功能,不支持,选装,不支持,不支持,不支持,不支持,选装,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,支持
座椅材质,,,,,,,,,,,,,,,,,
座位数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,●,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,-,●,●,●,-,-,●,●,-,-,●,-,●,●
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
地图品牌,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
后轮胎规格,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12
后电动机最大扭矩(N·m),85,85,85,85,85,85,85,85,85,90,90,85,85,85,85,85,85
后电动机最大功率(kW),20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,20,20
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,
后悬架类型,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架,三连杆非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),5.752万,4.59万,3.99万,3.59万,4.752万,5.452万,4.59万,3.99万,2.99万,4.99万,5.29万,2.99万,3.59万,3.99万,4.19万,4.59万,4.89万
厂商,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源,奇瑞新能源
卫星导航系统,●,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,
前轮距(mm),1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
前轮胎规格,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12,145/70 R12
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,-,●,●,●,-,-,●,●,-,-,●,-,●,●
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
中控彩色屏幕,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
中控屏幕尺寸,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2022.06,2021.12,2021.12,2022.04,2022.06,2022.06,2021.12,2023.04,2023.07,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.09
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_y,170,170,120,120,120,170,170,170,120,205,205,120,120,120,170,170,170
NEDC纯电续航里程(km)_x,170,170,120,120,120,170,170,170,120,205,205,120,120,120,170,170,170
LED日间行车灯,●,●,●,○,●,●,●,○,○,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
