Feature,66925,66926,66927,66928,66929,66930,67380,67381,67382,67383,67384,69345,69392,69393,69394,71663,71664,71665,71666
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,
车型名称,海豹 2024款 荣耀版 DM-i 1.5L 121km 精英型,海豹 2024款 荣耀版 DM-i 1.5L 121km 豪华型,海豹 2024款 荣耀版 DM-i 1.5L 121km 尊贵型,海豹 2024款 荣耀版 DM-i 1.5T 121km 尊荣型,海豹 2024款 荣耀版 DM-i 1.5T 121km 旗舰型,海豹 2024款 荣耀版 DM-i 1.5T 200km 旗舰型,海豹 2024款 荣耀版 550km 精英型,海豹 2024款 荣耀版 550km 尊贵型,海豹 2024款 荣耀版 700km 尊贵型,海豹 2024款 荣耀版 700km 性能版,海豹 2024款 荣耀版 650km 四驱性能版,海豹 2025款 650长续航版,海豹 2025款 510标准版,海豹 2025款 650智驾版,海豹 2025款 600四驱智驾版,海豹 2025款 510智航版,海豹 2025款 650智航版,海豹 2025款 改款 650智驾版,海豹 2025款 改款 600四驱智驾版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●
车内环境氛围灯,-,-,,,,,-,,,,,,-,,,-,,,
车内摄像头数量,-,-,-,-,-,-,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,,
语音助手唤醒词,,,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,,,,,,,,
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,
空气质量监测,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
离去角(°),15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14
百公里耗电量(kWh/100km),-,-,-,-,-,-,12.6,12.6,13,13,14.6,13.4,13,13.4,14.9,13,13.4,13.4,14.9
疲劳驾驶提示,-,-,-,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,-,-,-,1.43,1.43,1.47,1.47,1.65,1.56,1.51,1.56,1.73,1.51,1.56,1.56,1.73
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量(kWh),17.6,17.6,17.6,17.6,17.6,30.7,61.4,61.4,82.5,82.5,82.5,80.64,61.44,80.64,80.64,61.44,80.64,80.64,80.64
电池类型,,,,,,,,,,,,,,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,-,-,-,-,-,-,80,80,80,80,80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,-,-,-,-,-,-,80,80,80,80,80,10-80,10-80,10-80,10-80,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,-,-,-,-,-,-,0.5,0.5,0.5,0.5,0.5,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
电池快充时间(小时)_x,-,-,-,-,-,-,0.5,0.5,0.5,0.5,0.5,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
电池冷却方式,-,-,-,-,-,-,-,-,-,-,-,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,后置,后置,后置,后置,前置+后置,后置,后置,后置,前置+后置,后置,后置,后置,前置+后置
电动机总马力(Ps),197,197,197,218,218,218,204,204,231,313,530,313,231,313,530,231,313,313,530
电动机总扭矩(N·m),325,325,325,325,325,325,310,310,330,360,670,380,380,380,690,380,380,380,690
电动机总功率(kW),145,145,145,160,160,160,150,150,170,230,390,230,170,230,390,170,230,230,390
电动机(Ps),197,197,197,218,218,218,204,204,231,313,530,313,231,313,530,231,313,313,530
电动座椅记忆功能,-,-,-,-,,,-,-,-,,,,-,,,-,,,
电动后备厢位置记忆,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-
电动后备厢,-,-,●,●,●,●,-,-,-,●,●,●,-,●,●,-,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-,-,-,-
热泵空调,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
灯光特色功能,-,-,-,-,-,-,,,,,,,,,,,,,
激光雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,
油箱容积(L),50,50,50,50,50,45,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸排列形式,L,L,L,L,L,L,-,-,-,-,-,-,-,-,-,-,-,-,-
毫米波雷达数量,-,-,,,,,,,,,,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-
模拟声浪,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●,●
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,240,220,240,240,220,240,240,240
最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
最大马力(Ps),110,110,110,139,139,139,204,204,231,313,530,313,231,313,530,231,313,313,530
最大满载质量(kg),2205,2205,2205,2265,2265,2395,2260,2260,2390,2390,2525,2490,2360,2490,2620,2360,2490,2490,2620
最大扭矩转速(rpm),4500,4500,4500,1350-4000,1350-4000,1350-4000,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,135,135,135,231,231,231,310,310,330,360,670,380,380,380,690,380,380,380,690
最大扭矩(N·m)_x,-,-,-,-,-,-,310,310,330,360,670,380,380,380,690,380,380,380,690
最大功率转速(rpm),6000,6000,6000,5200,5200,5200,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,81,81,81,102,102,102,150,150,170,230,390,230,170,230,390,170,230,230,390
最大功率(kW)_x,-,-,-,-,-,-,150,150,170,230,390,230,170,230,390,170,230,230,390
最大净功率(kW),78,78,78,96,96,96,-,-,-,-,-,-,-,-,-,-,-,-,-
最低荷电状态油耗(L/100km),4.8,4.8,4.8,5.1,5.1,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,●,●
方向盘位置调节,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,
整备质量(kg),1830,1830,1830,1890,1890,2020,1885,1885,2015,2015,2150,2080,1950,2080,2210,1950,2080,2080,2210
摄像头数量,,,,,,,,,,,,,,,,,,,
接近角(°),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
排量(mL),1498,1498,1498,1497,1497,1497,-,-,-,-,-,-,-,-,-,-,-,-,-
换挡形式,,,,,,,,,,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,,,,-,,,,,,-,,,-,,,
手机无线充电功能,-,,,,,,,,,,,,,,,,,,
手机无线充电功率,-,,,,,,-,-,-,-,-,,,,,,,,
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-,-,-,-,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,,,,,,,,,,,,,,,,
感应后备厢,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,-,-,-,-,-,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),38,38,38,38,38,69,110,110,150,150,150,230,180,230,230,180,230,230,230
座椅材质,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,
应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
并线辅助,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,6,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1890,1890,1890,1890,1890,1890,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875
官方0-100km/h加速(s),8.2,8.2,8.2,7.9,7.9,7.9,7.5,7.5,7.2,5.9,3.8,5.9,6.5,5.9,3.8,6.5,5.9,5.9,3.8
安全带未系提醒,,,,,,,,,,,,,,,,,,,
天窗类型,-,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,
地图品牌,,,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,
哨兵模式/千里眼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1650,1650,1650,1650,1650,1650,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
后轮胎规格,,,,,,,,,,,,,,,,,,,
后电动机最大扭矩(N·m),-,-,-,-,-,-,310,310,330,360,360,380,380,380,380,380,380,380,380
后电动机最大功率(kW),-,-,-,-,-,-,150,150,170,230,230,230,170,230,230,170,230,230,230
后电动机型号,-,-,-,-,-,-,TZ200XYL,TZ200XYL,TZ200XYN,TZ200XYC,TZ200XYC,TZ200XYC,TZ200XYN,TZ200XYC,TZ200XYC,TZ200XYN,TZ200XYC,TZ200XYC,TZ200XYC
后电动机品牌,-,-,-,-,-,-,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
后方碰撞预警,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,-,●,●,●,●,●,-,●,●,●,●,●,-,●,●,-,●,●,●
后悬架类型,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,
可变悬架功能,-,-,-,-,-,,-,-,-,-,,,,,,,,,
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机特有技术,阿特金森循环,阿特金森循环,阿特金森循环,米勒循环,米勒循环,米勒循环,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机布局,横置,横置,横置,横置,横置,横置,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,BYD472QA,BYD472QA,BYD472QA,BYD476ZQC,BYD476ZQC,BYD476ZQC,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5T 139马力 L4,1.5T 139马力 L4,1.5T 139马力 L4,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
压缩比,15.5,15.5,15.5,12.5,12.5,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),14.98万,15.98万,16.98万,17.98万,19.28万,21.98万,17.98万,19.28万,20.28万,21.98万,24.98万,18.98万,17.58万,21.68万,23.98万,17.58万,18.98万,21.68万,23.98万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,
前轮距(mm),1640,1640,1640,1640,1640,1640,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
前轮胎规格,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),325,325,325,325,325,325,-,-,-,-,310,-,-,-,310,-,-,-,310
前电动机最大功率(kW),145,145,145,160,160,160,-,-,-,-,160,-,-,-,160,-,-,-,160
前电动机型号,TZ220XYE,TZ220XYE,TZ220XYE,TZ220XYE,TZ220XYE,TZ220XYE,-,-,-,-,YS210XYA,-,-,-,YS210XYA,-,-,-,YS210XYA
前电动机品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,-,-,-,-,比亚迪,-,-,-,比亚迪,-,-,-,比亚迪
前方碰撞预警,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前方感知摄像头,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
前排座椅功能,-,,,,,,-,,,,,,,,,,,,
前排中间气囊,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
前悬架类型,,,,,,,,,,,,,,,,,,,
前大灯雨雾模式,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
前制动器类型,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
