Feature,1018138,1018139,1018140,1018141,1018142,1018143,1018144,1018145,1018146,1018147,1018148,1018149,1018150,1018151,1018152,1018153,1018154,1018155,1018156,1018157,1018167,1018168,1018169,1018170,1018171,1018172,1018173,1018174,1018175,1018176,1018177,1018178,1018179,1018180,1018181,1018182,1018183,1018184,1018185,1018186
车型名称,开瑞X6 2024款 1.6L单排二类舒适型,开瑞X6 2024款 1.6L单排二类豪华型,开瑞X6 2024款 1.6L单排二类致富版,开瑞X6 2024款 1.6L单排二类创富版,开瑞X6 2024款 1.6L单排二类财富版,开瑞X6 2024款 1.6L双排二类舒适型,开瑞X6 2024款 1.6L双排二类豪华型,开瑞X6 2024款 1.6L双排二类致富版,开瑞X6 2024款 1.6L双排二类创富版,开瑞X6 2024款 1.6L双排二类财富版,开瑞X6 2024款 1.6L单排栏板舒适型,开瑞X6 2024款 1.6L单排栏板豪华型,开瑞X6 2024款 1.6L单排栏板致富版,开瑞X6 2024款 1.6L单排栏板创富版,开瑞X6 2024款 1.6L单排栏板财富版,开瑞X6 2024款 1.6L双排栏板舒适型,开瑞X6 2024款 1.6L双排栏板豪华型,开瑞X6 2024款 1.6L双排栏板致富版,开瑞X6 2024款 1.6L双排栏板创富版,开瑞X6 2024款 1.6L双排栏板财富版,开瑞X6 2024款 1.6L单排仓栅舒适型,开瑞X6 2024款 1.6L单排仓栅豪华型,开瑞X6 2024款 1.6L单排仓栅致富版,开瑞X6 2024款 1.6L单排仓栅创富版,开瑞X6 2024款 1.6L单排仓栅财富版,开瑞X6 2024款 1.6L双排仓栅舒适型,开瑞X6 2024款 1.6L双排仓栅豪华型,开瑞X6 2024款 1.6L双排仓栅致富版,开瑞X6 2024款 1.6L双排仓栅创富版,开瑞X6 2024款 1.6L双排仓栅财富版,开瑞X6 2024款 1.6L单排厢货舒适型,开瑞X6 2024款 1.6L单排厢货豪华型,开瑞X6 2024款 1.6L单排厢货致富版,开瑞X6 2024款 1.6L单排厢货创富版,开瑞X6 2024款 1.6L单排厢货财富版,开瑞X6 2024款 1.6L双排厢货舒适型,开瑞X6 2024款 1.6L双排厢货豪华型,开瑞X6 2024款 1.6L双排厢货致富版,开瑞X6 2024款 1.6L双排厢货创富版,开瑞X6 2024款 1.6L双排厢货财富版
车前雾灯,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,,,,-,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,3400×1730×380,3400×1730×380,3400×1730×380,3400×1730×380,3400×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,3400×1730×380,3400×1730×380,3400×1730×380,3400×1730×380,3400×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,2700×1730×380,3400×1760×1800,3400×1760×1800,3400×1760×1800,3400×1760×1800,3400×1760×1800,2700×1760×1800,2700×1760×1800,2700×1760×1800,2700×1760×1800,2700×1760×1800
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
最小转弯半径(m),6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
最小离地间隙(mm),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
最大马力(Ps),122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,995,995,995,995,995,1495,1495,1495,1495,1495,1735,1735,1735,1735,1735,1495,1495,1495,1495,1495,1735,1735,1735,1735,1735,1455,1455,1455,1455,1455
最大满载质量(kg),3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3380,3380,3380,3380,3380,3495,3495,3495,3495,3495,3490,3490,3490,3490,3490,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
最大扭矩(N·m)_y,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
最大扭矩(N·m)_x,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
最大功率(kW)_x,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1260,1260,1260,1260,1260,1385,1385,1385,1385,1385,1475,1475,1475,1475,1475,1560,1560,1560,1560,1560,1460,1460,1460,1460,1460,1670,1670,1670,1670,1670,1630,1630,1630,1630,1630,1550,1550,1550,1550,1550
推荐燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
排量(mL),1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,,-,,,-,,-,,,-,,-,,,-,,-,,,-,,-,,,-,,-,,,-,,-,,,-,,-,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,-,●
外后视镜功能,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,,-,,-,-,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
