Feature,60330,60357,60358,60520,60521,60522,60523,60524,60525,60526,60527,60528,60529,60530,60531,60532,60533,60534,60725,60726,60727,60728,60729,60730,60731,60732,60822,60823,61669,62145,62146,62147,62148,62149,62150,62151,62152,62153,62824,62825,63271,63272,63273,63885
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,●,-,●,●,-,-,-,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+天然气,汽油+天然气,汽油+天然气,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,-,,-,,-,-,-,-,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,,,,,,,,
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15,15,15,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,15,15,15,15,58,58,58,58,58,58
气罐容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,180,180,180,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,100,100,100,100,100,140,140,100,100,140,140,160,160,160,160
最大马力(Ps),144,144,124,124,124,124,124,124,144,124,144,124,124,144,144,122,122,122,124,124,124,124,124,144,144,144,124,144,124,124,124,124,144,144,122,122,122,122,144,144,144,144,144,144
最大满载质量(kg),2390,2390,2315,2160,2160,2160,2315,2315,2390,2315,2390,2315,2315,2390,2390,2445,2445,2445,2160,2160,2255,2315,2315,2390,2390,2390,2315,2390,2160,2060,2315,2315,2390,2390,2415,2415,2585,2585,2390,2390,2430,2430,2430,2430
最大扭矩转速(rpm),3600-4400,3600-4400,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3750-4250,3600-4400,3750-4250,3750-4250,3600-4400,3600-4400,-,-,-,3750-4250,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3750-4250,3600-4400,3750-4250,3750-4250,3750-4250,3750-4250,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400,3600-4400
最大扭矩(N·m)_y,200,200,161,161,161,161,161,161,200,161,200,161,161,200,200,175,175,175,161,161,161,161,161,200,200,200,161,200,161,161,161,161,200,200,175,175,175,175,200,200,200,200,200,200
最大扭矩(N·m)_x,200,200,161,161,161,161,161,161,200,161,200,161,161,200,200,175,175,175,161,161,161,161,161,200,200,200,161,200,161,161,161,161,200,200,175,175,175,175,200,200,200,200,200,200
最大功率转速(rpm),5600,5600,6000,6000,6000,6000,6000,6000,5600,6000,5600,6000,6000,5600,5600,-,-,-,6000,6000,6000,6000,6000,5600,5600,5600,6000,5600,6000,6000,6000,6000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
最大功率(kW)_y,106,106,91,91,91,91,91,91,106,91,106,91,91,106,106,90,90,90,91,91,91,91,91,106,106,106,91,106,91,91,91,91,106,106,90,90,90,90,106,106,106,106,106,106
最大功率(kW)_x,106,106,91,91,91,91,91,91,106,91,106,91,91,106,106,90,90,90,91,91,91,91,91,106,106,106,91,106,91,91,91,91,106,106,90,90,90,90,106,106,106,106,106,106
最大净功率(kW),98,98,82,82,82,82,82,82,98,82,98,82,82,98,98,85,85,85,82,82,82,82,82,98,98,98,82,98,82,82,82,82,98,98,85,85,85,85,98,98,98,98,98,98
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1700,1640,1640,1520,1520,1520,1605,1605,1640,1640,1700,1640,1640,1700,1700,1770,1770,1770,1430,1520,1475,1575,1575,1520,1640,1640,1605,1640,1520,1555,1630,1630,1710,1710,1890,1890,1910,1910,1700,1700,1740,1740,1740,1740
接近角(°),22,22,22,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22
排量(mL),1962,1962,1590,1590,1590,1590,1590,1590,1962,1590,1962,1590,1590,1962,1962,1962,1962,1962,1590,1590,1590,1590,1590,1962,1962,1962,1590,1962,1590,1590,1590,1590,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
