Feature,1015469,1015470,1015471,1015472,1015473,1015474,1015475,1015476,1015477,1015478,1015479,1015480,1015481,1015482,1015483,1015484,1015485,1015486,1015487,1015488,1015489,1015490,1015491,1015492,1015493,1015494,1015495,1015496,1016197,1016931,1018616,1018617,1018618,1018619,1018620,1018621,1018622,1018623,1018624,1018625,1018626,1018627,1018628,1018629,1018630,1018631,1018632,1018633,1018634,1019672,1019673,1019674,1019675
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,未知,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3150,3150,3150,3150,3150,3150,3400,3400,3400,3400,3400,3400,3150,3150,3150,3150,3400,3400,3400,3400,3150,3150,3150,3150,3150,3150,3150,3150,3150,3400,3150,3150,3150,3150,3150,3150,3400,3400,3400,3400,3400,3150,3150,3150,3150,3400,3400,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,●,-,●,●,●,-,●,-,●,●,●,-,●,●,●,-,●,●,●,●,●,-,-,●,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,
车型名称,锐骐6 2023款 2.4L 手动两驱汽油标准型,锐骐6 2023款 2.4L 手动四驱汽油标准型,锐骐6 2023款 2.3T 手动两驱柴油标准型,锐骐6 2023款 2.3T 自动两驱柴油标准型,锐骐6 2023款 2.3T 手动四驱柴油标准型,锐骐6 2023款 2.3T 自动四驱柴油标准型,锐骐6 2023款 2.4L 手动两驱汽油标准型长货箱,锐骐6 2023款 2.4L 手动四驱汽油标准型长货箱,锐骐6 2023款 2.3T 手动两驱柴油标准型长货箱,锐骐6 2023款 2.3T 自动两驱柴油标准型长货箱,锐骐6 2023款 2.3T 手动四驱柴油标准型长货箱,锐骐6 2023款 2.3T 自动四驱柴油标准型长货箱,锐骐6 2023款 2.3T 手动两驱柴油标准型平底货箱,锐骐6 2023款 2.3T 自动两驱柴油标准型平底货箱,锐骐6 2023款 2.3T 手动四驱柴油标准型平底货箱,锐骐6 2023款 2.3T 自动四驱柴油标准型平底货箱,锐骐6 2023款 2.3T 手动两驱柴油标准型平底长货箱,锐骐6 2023款 2.3T 自动两驱柴油标准型平底长货箱,锐骐6 2023款 2.3T 手动四驱柴油标准型平底长货箱,锐骐6 2023款 2.3T 自动四驱柴油标准型平底长货箱,锐骐6 2023款 2.3T 越野版 手动四驱柴油标准型,锐骐6 2023款 2.3T 越野版 自动四驱柴油标准型,锐骐6 2023款 2.4L 都市版 手动两驱汽油标准型,锐骐6 2023款 2.3T 都市版 手动两驱柴油标准型,锐骐6 2023款 2.3T 都市版 自动两驱柴油精英型,锐骐6 2023款 2.4L 都市版 手动四驱汽油标准型,锐骐6 2023款 2.3T 都市版 手动四驱柴油标准型,锐骐6 2023款 2.3T 都市版 自动四驱柴油精英型,锐骐6 2023款 2.3T 自动四驱柴油智尊型,2023款 2.4L 手动四驱汽油智尊型长货箱2TZH,锐骐6 2023款 改款 2.4L 手动两驱汽油标准型,锐骐6 2023款 改款 2.4L 手动四驱汽油标准型,锐骐6 2023款 改款 2.3T 手动两驱柴油标准型,锐骐6 2023款 改款 2.3T 自动两驱柴油标准型,锐骐6 2023款 改款 2.3T 手动四驱柴油标准型,锐骐6 2023款 改款 2.3T 自动四驱柴油标准型,锐骐6 2023款 改款 2.4L 手动四驱汽油标准型长货箱,锐骐6 2023款 改款 2.3T 手动两驱柴油标准型长货箱,锐骐6 2023款 改款 2.3T 自动两驱柴油标准型长货箱,锐骐6 2023款 改款 2.3T 手动四驱柴油标准型长货箱,锐骐6 2023款 改款 2.3T 自动四驱柴油标准型长货箱,锐骐6 2023款 改款 2.3T 手动两驱柴油标准型平底货箱,锐骐6 2023款 改款 2.3T 自动两驱柴油标准型平底货箱,锐骐6 2023款 改款 2.3T 手动四驱柴油标准型平底货箱,锐骐6 2023款 改款 2.3T 自动四驱柴油标准型平底货箱,锐骐6 2023款 改款 2.3T 手动两驱柴油标准型平底长货箱,锐骐6 2023款 改款 2.3T 自动两驱柴油标准型平底长货箱,锐骐6 2023款 改款 2.3T 手动四驱柴油标准型平底长货箱,锐骐6 2023款 改款 2.3T 自动四驱柴油标准型平底长货箱,锐骐6 2024款 2.3T 手动柴油长货箱沙区穿越版,锐骐6 2024款 2.3T 手动柴油长货箱平底沙区穿越版,锐骐6 2024款 2.3T 自动柴油长货箱沙区穿越版,锐骐6 2024款 2.3T 自动柴油长货箱平底沙区穿越版
车前雾灯,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1760x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1850x1562x475,1850x1562x475,1850x1562x475,1850x1562x475,1850x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1510x1562x475,1850x1562x475,1850x1562x475,1850x1562x475,1850x1562x475,1850*1562*475,1850*1562*475,1850*1562*475,1850*1562*475
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),86,86,92,92,92,92,86,86,92,92,92,92,92,92,92,92,92,92,92,92,92,92,86,92,92,86,92,92,92,86,86,86,92,92,92,92,86,92,92,92,92,92,92,92,92,92,92,92,92,-,-,-,-
蓝牙/车载电话,-,○,-,○,○,○,-,○,-,○,○,○,-,-,○,○,-,○,○,-,●,●,-,-,●,●,●,●,●,○,-,○,-,○,○,○,○,-,○,○,○,-,-,○,○,-,○,○,-,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
能源类型_y,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,,-,,-,-,-,,-,,-,,-,,-,,-,,-,,-,-,,-,-,,,,-,-,-,,-,,-,-,,-,,-,,-,,-,,-,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),95,95,85,85,85,85,95,95,85,85,85,85,85,85,85,85,85,85,85,85,85,85,95,85,85,95,85,85,85,95,95,95,85,85,85,85,95,85,85,85,85,85,85,85,85,85,85,85,85,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,6挡手动,8挡自动,6挡手动,8挡自动,5挡手动,5挡手动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,5挡手动,6挡手动,8挡自动,5挡手动,6挡手动,8挡自动,8挡自动,5挡手动,5挡手动,5挡手动,6挡手动,8挡自动,6挡手动,8挡自动,5挡手动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,-,26,26,26,26,26,26,25,25,25,25,25,28,28,28,28,27.5,27.5,27.5,27.5,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
燃油标号,92号,92号,0号,0号,0号,0号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,0号,0号,92号,0号,0号,0号,92号,92号,92号,0号,0号,0号,0号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,
油箱容积(L),73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),150,150,160,160,160,160,150,150,160,160,160,160,160,160,160,160,160,160,160,160,160,160,150,160,160,150,160,160,160,150,150,150,160,160,160,160,150,160,160,160,160,160,160,160,160,160,160,160,160,170,170,170,170
最小转弯半径(m),6.4,6.4,6.4,6.4,6.4,6.4,6.9,6.9,6.9,6.9,6.9,6.9,6.4,6.4,6.4,6.4,6.9,6.9,6.9,6.9,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.9,6.4,6.4,6.4,6.4,6.4,6.4,6.9,6.9,6.9,6.9,6.9,6.4,6.4,6.4,6.4,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
最小离地间隙(mm),207,207,207,207,207,207,207,207,207,207,207,207,213,213,213,213,213,213,213,213,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,213,213,213,213,213,213,213,213,207,213,207,213
最大马力(Ps),158,158,163,163,163,163,158,158,163,163,163,163,163,163,163,163,163,163,163,163,163,163,158,163,163,158,163,163,163,158,158,158,163,163,163,163,158,163,163,163,163,163,163,163,163,163,163,163,163,147,147,147,147
最大载重质量(kg),490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,460,460,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,730,730,730,730
最大爬坡角度(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大爬坡度(%),30,30,40,40,40,40,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,30,40,40,30,40,40,40,-,30,30,40,40,40,40,30,40,40,40,40,40,40,40,40,40,40,40,40,45,45,45,45
最大满载质量(kg),2530,2630,2655,2670,2760,2775,2580,2680,2705,2720,2810,2825,2655,2670,2760,2775,2705,2720,2810,2825,2760,2775,2530,2655,2670,2630,2760,2775,2775,2680,2530,2630,2655,2670,2760,2775,2680,2705,2720,2810,2825,2655,2670,2760,2775,2705,2720,2810,2825,3050,3050,3065,3065
最大扭矩转速(rpm),2600-3600,2600-3600,1500-2500,1500-2500,1500-2500,1500-2500,2600-3600,2600-3600,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,2600-3600,1500-2500,1500-2500,2600-3600,1500-2500,1500-2500,1500-2500,2600-3600,2600-3600,2600-3600,1500-2500,1500-2500,1500-2500,1500-2500,2600-3600,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,1500-2500,-,-,-,-
最大扭矩(N·m)_y,235,235,380,380,380,380,235,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,235,380,380,235,380,380,380,235,235,235,380,380,380,380,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
最大扭矩(N·m)_x,235,235,380,380,380,380,235,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,235,380,380,235,380,380,380,235,235,235,380,380,380,380,235,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
最大功率转速(rpm),4600-5000,4600-5000,3500,3500,3500,3500,4600-5000,4600-5000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,4600-5000,3500,3500,4600-5000,3500,3500,3500,4600-5000,4600-5000,4600-5000,3500,3500,3500,3500,4600-5000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,-,-,-,-
