Feature,56306,56307,56308,56309,56310,56314,56315,56319,56321,56323,56327,56328,59401,59402,59410,59411,59413,59414,59415,59419,64220,64221,64222,64223,64224,64225,65676,65677,65678,65679,65680,65681
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,●,-,-,-,-,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门5座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门5座MPV,5门5座MPV,5门6座MPV,5门5座MPV,5门4座MPV,5门6座MPV,5门6座MPV,5门5座MPV,5门6座MPV,5门4座MPV,5门5座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,-,●,-,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,远志M1 2022款 7座450标准版,远志M1 2022款 6座450标准版,远志M1 2022款 7座450精英版,远志M1 2022款 6座450精英版,远志M1 2022款 7座450豪华版,远志M1 2022款 5座450标准版,远志M1 2022款 5座450精英版,远志M1 2022款 7座550标准版,远志M1 2022款 7座550精英版,远志M1 2022款 7座550豪华版,远志M1 2022款 5座550标准版,远志M1 2022款 5座550精英版,远志M1 2022款 改款 6座450豪华版,远志M1 2022款 改款 5座450豪华版,远志M1 2022款 改款 4座450头等舱,远志M1 2022款 改款 6座550标准版,远志M1 2022款 改款 6座550精英版,远志M1 2022款 改款 5座550豪华版,远志M1 2022款 改款 6座550豪华版,远志M1 2022款 改款 4座550头等舱,远志M1 2022款 5座450旗舰版,远志M1 2022款 6座450旗舰版,远志M1 2022款 7座450旗舰版,远志M1 2022款 5座550旗舰版,远志M1 2022款 6座550旗舰版,远志M1 2022款 7座550旗舰版,远志M1 2023款 5座450标准版,远志M1 2023款 6座450标准版,远志M1 2023款 7座450标准版,远志M1 2023款 5座550标准版,远志M1 2023款 6座550标准版,远志M1 2023款 7座550标准版
车前雾灯,-,-,-,-,,-,-,-,-,,-,-,,,,-,-,,,,,,,,,,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
语音识别控制系统,-,-,,,,-,,-,,,-,,,,,-,,,,,,,,,,,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●,●,-,-,●,●,●,-,-,●,-,●,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,○,-,-,-,-,○,-,-,○,-,●,-,-,-,○,●,-,●,●,-,●,●,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
百公里耗电量(kWh/100km),16.9,16.9,16.9,16.9,16.9,16.9,16.9,17.1,17.1,17.1,17.1,17.1,16.9,16.9,16.9,17.1,17.1,17.1,17.1,17.1,-,-,-,-,-,-,16.9,16.9,16.9,17.1,17.1,17.1
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,-,-,-,-,-,-,-,,,,,,-,-,-,,,,,,-,-,-,,,,-,-,-,,,
电能当量燃料消耗量(L/100km),1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,-,-,-,-,-,-,1.93,1.93,1.93,1.93,1.93,1.93
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),141.7,141.7,141.7,141.7,141.7,141.7,141.7,167.74,167.74,167.74,167.74,167.74,141.7,141.7,141.7,167.74,167.74,167.74,167.74,167.74,-,-,-,167.74,167.74,167.74,141.7,141.7,141.7,167.74,167.74,167.74
电池能量(kWh),72.27,72.27,72.27,72.27,72.27,72.27,72.27,90.58,90.58,90.58,90.58,90.58,72.27,72.27,72.27,90.58,90.58,90.58,90.58,90.58,72.27,72.27,72.27,90.58,90.58,90.58,72.27,72.27,72.27,90.58,90.58,90.58
电池类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
电池快充电量范围(%)_x,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
电池快充时间(小时)_y,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电池快充时间(小时)_x,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),225,225,225,225,225,225,225,320,320,320,320,320,225,225,225,320,320,320,320,320,225,225,225,320,320,320,225,225,225,320,320,320
电动机总功率(kW),145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
电动机总功率(Ps),197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
电动机(Ps),197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毫米波雷达数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-
最高车速(km/h),170,170,170,170,170,170,170,185,185,185,185,185,170,170,170,185,185,185,185,185,170,170,170,185,185,185,170,170,170,185,185,185
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2385,2460,2535,2425,2500,2575,-,-,-,-,-,-
最大扭矩(N·m),225,225,225,225,225,225,225,320,320,320,320,320,225,225,225,320,320,320,320,320,225,225,225,320,320,320,225,225,225,320,320,320
最大功率(kW),145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
无钥匙进入功能,-,-,-,-,,-,-,-,-,,-,-,,,,-,-,,,,,,,,,,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2010,2010,2010,2010,2010,2010,2010,2050,2050,2050,2050,2050,2010,2010,2150,2050,2050,2050,2050,2150,2010,2010,2010,2050,2050,2050,2010,2010,2010,2050,2050,2050
摄像头数量,-,-,,,,-,,-,,,-,,,,,-,,,,,,,,,,,-,-,-,-,-,-
接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,-,,,,,,,,-,-,-,-,-,-
手机互联/映射,,,-,-,-,,-,,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,,,,,
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慢充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车正前,车正前,车正前,车正前,车正前,车正前,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,,,,,,-,-,-,-,-,-
快充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车正前,车正前,车正前,车正前,车正前,车正前,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,,,,,,-,-,,,,-,-,,-,-,,,-,,-,-,,,-,,,-,,,-,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,●,●,●,-,●,-,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
官方0-50km/h加速(s),4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.3,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.3,4.3,4.3,4.5,4.5,4.5,4.3,4.3,4.3,4.5,4.5,4.5
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,,-,-,-,-,,-,-,,,,-,-,,,,,,,,,,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,●,●,●,-,●,-,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,●,-,-,-,-,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
后轮距(mm),1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,●,●,●,●,●,-,-,●,●,●,-,-,●,-,●,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,
后排小桌板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),300-1300,300-1300,300-1300,300-1300,300-1300,1100-2100,1100-2100,300-1300,300-1300,300-1300,1100-2100,1100-2100,300-1300,1100-2100,1000,300-1300,300-1300,1100-2100,300-1300,1000,1100-2100,300-1300,300-1300,1100-2100,300-1300,300-1300,1100-2100,300-1300,300-1300,1100-2100,300-1300,300-1300
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),17.88万,17.88万,18.28万,18.28万,18.68万,17.78万,18.18万,22.88万,23.28万,23.38万,22.78万,23.18万,18.68万,18.98万,26.88万,22.88万,23.28万,23.68万,23.38万,28.88万,25.58万,25.68万,25.68万,27.90万,28.00万,28.00万,17.88万,17.98万,17.98万,22.88万,22.98万,22.98万
厂商,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车,大运汽车
卫星导航系统,-,-,●,●,●,-,●,-,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599
前轮胎规格,,,,,,,,,,-,,,,,,,,-,-,-,,,,,,,-,-,-,,,
前电动机最大扭矩(N·m),225,225,225,225,225,225,225,320,320,320,320,320,225,225,225,320,320,320,320,320,225,225,225,320,320,320,225,225,225,320,320,320
前电动机最大功率(kW),145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
前方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
