Feature,1015255,1015256,1015257,1015893,1015894,1015895,1015896,1015897,1015898,1015899,1015900,1015901,1015902,1015903,1015904,1015905,1015906,1015907,1015908,1015909,1015910,1015911,1015912,1015913,1016882,1016883,1017593,1017594,1017595,1017596,1017597,1017608,1017609,1017610,1017611,1017612,1017613,1017614,1017615,1017616,1018333,1018334,1018335,1018336,1018337,1018338,1018339,1018340,1018341,1018342,1018343,1018344,1019106,1019107,1019108,1019109,1019715,1019716
透明底盘/540度影像,○,●,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,-,○,○,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3505,3355,3355,3505,3505,3355,3505,3355,3505,3355,3505,3355,3505,3355,3505,3355,3505,3355,3505,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3505,3355,3505,3355,3355,3355,3355,3355,3355,3505,3355,3505,3355,3505,3355,3505,3355,3355,3355,3355,3355,3505,3355,3505,3505,3355
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,-,○,○,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,●,●
车联网,●,●,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,●,○,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车窗防夹手功能,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,-,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,
车型名称,福田火星 2023款 火星7 2.0T柴油自动四驱长轴豪华型,福田火星 2023款 火星9 2.0T柴油自动四驱标轴至尊型,福田火星 2023款 火星9 2.0T柴油自动两驱标轴尊享型,福田火星 2023款 火星7 2.0T柴油手动两驱长轴乐享型,福田火星 2023款 火星7 2.0T柴油手动四驱长轴乐享型,福田火星 2023款 火星7 2.0T柴油手动两驱标轴精英型,福田火星 2023款 火星7 2.0T柴油手动两驱长轴精英型,福田火星 2023款 火星7 2.0T柴油手动四驱标轴精英型,福田火星 2023款 火星7 2.0T柴油手动四驱长轴精英型,福田火星 2023款 火星7 2.0T柴油自动两驱标轴精英型,福田火星 2023款 火星7 2.0T柴油自动两驱长轴精英型,福田火星 2023款 火星7 2.0T柴油自动四驱标轴精英型,福田火星 2023款 火星7 2.0T柴油自动四驱长轴精英型,福田火星 2023款 火星7 2.0T柴油手动两驱标轴豪华型,福田火星 2023款 火星7 2.0T柴油手动两驱长轴豪华型,福田火星 2023款 火星7 2.0T柴油手动四驱标轴豪华型,福田火星 2023款 火星7 2.0T柴油手动四驱长轴豪华型,福田火星 2023款 火星7 2.0T柴油自动两驱标轴豪华型,福田火星 2023款 火星7 2.0T柴油自动两驱长轴豪华型,福田火星 2023款 火星7 2.0T柴油自动四驱标轴豪华型,福田火星 2023款 火星9 2.0T柴油自动四驱标轴尊享型,福田火星 2023款 火星9 2.0T柴油自动两驱标轴旗舰型,福田火星 2023款 火星9 2.0T柴油自动四驱标轴旗舰型,福田火星 2023款 火星9 2.0T柴油自动两驱标轴至尊型,福田火星 2023款 火星7 2.0T柴油手动两驱标轴乐享型,福田火星 2023款 火星7 2.0T柴油手动四驱标轴乐享型,2024款 火星7 Pro 2.0T汽油自动两驱标轴舒享型,2024款 火星7 Pro 2.0T汽油自动两驱标轴越享型,2024款 火星9 2.0T汽油自动两驱标轴尊享型,2024款 火星9 2.0T汽油自动两驱标轴旗舰型,2024款 火星9 2.0T汽油自动两驱标轴至尊型,福田火星 2024款 火星7 2.0T柴油自动两驱标轴乐享型,福田火星 2024款 火星7 2.0T柴油自动两驱长轴乐享型,福田火星 2024款 火星7 2.0T柴油自动四驱标轴乐享型,福田火星 2024款 火星7 2.0T柴油自动四驱长轴乐享型,2024款 火星7 Pro 2.0T汽油自动四驱标轴舒享型,2024款 火星7 Pro 2.0T汽油自动四驱标轴越享型,福田火星 2024款 火星9 2.0T汽油自动四驱标轴尊享型,福田火星 2024款 火星9 2.0T汽油自动四驱标轴旗舰型,福田火星 2024款 火星9 2.0T汽油自动四驱标轴至尊型,福田火星 2024款 火星7 2.0T柴油手动两驱标轴启航版,福田火星 2024款 火星7 2.0T柴油手动两驱长轴启航版,福田火星 2024款 火星7 2.0T柴油手动四驱标轴启航版,福田火星 2024款 火星7 2.0T柴油手动四驱长轴启航版,福田火星 2024款 火星7 2.0T柴油自动两驱标轴启航版,福田火星 2024款 火星7 2.0T柴油自动两驱长轴启航版,福田火星 2024款 火星7 2.0T柴油自动四驱标轴启航版,福田火星 2024款 火星7 2.0T柴油自动四驱长轴启航版,福田火星 2024款 火星7 Pro 2.0T柴油自动两驱标轴舒享型,福田火星 2024款 火星7 Pro 2.0T柴油自动四驱标轴舒享型,福田火星 2024款 火星7 Pro 2.0T柴油自动两驱标轴越享型,福田火星 2024款 火星7 Pro 2.0T柴油自动四驱标轴越享型,福田火星 2025款 火星7 2.0T柴油自动两驱标箱启航版,福田火星 2025款 火星7 2.0T柴油自动两驱长箱启航版,福田火星 2025款 火星7 2.0T柴油自动四驱标箱启航版,福田火星 2025款 火星7 2.0T柴油自动四驱长箱启航版,福田火星 2025款 火星7 2.0T柴油自动四驱长箱探界版,福田火星 2025款 火星9 2.0T柴油越野自动四驱标箱刀锋版
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
车内环境氛围灯,,,,-,-,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货箱尺寸(mm),1757x1650x530,1577x1650x530,1577x1650x530,1757x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1757x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577x1650x530,1577×1650×530,1757x1650x530,1577×1650×530,1757x1650x530,1757×1650×530,1577×1650×530
负离子发生器,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,-,-,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油,柴油,柴油,柴油,柴油+48V轻混系统,柴油+48V轻混系统
能源类型_x,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油+48V轻混系统,柴油,柴油,柴油,柴油,柴油+48V轻混系统,柴油+48V轻混系统
胎压监测功能,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,-,,,,,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,-,-,-,-,-,铸铁,铸铁,铸铁,铸铁,-,-,-,-,-,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),22,-,-,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,-,-,-,-,22,22,22,22,-,-,-,22,22,22,22,22,22,-,-,-,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,-,-
疲劳驾驶提示,○,●,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,-,○,○,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
