Feature,1014485,1014486,1014487,1014488,1014489,1015024,1015025,1015026,1015027,1018581,1018582,1018583,1018584,1018585,1018586,1018587,1018588,1018589,1018590,1018591,1018592,1018593,1018594,1018595,1018596
货箱尺寸(mm),1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480,1715x1620x480
语音识别控制系统,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,●,●,●,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油,柴油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,,,,,,-,,-,,-,,-,,-,,-,,-,,-,
缸盖材料,未知,未知,铝合金,铝合金,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,0号,0号,92号,92号,0号,0号,0号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号,0号,0号,0号,0号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),150,150,160,160,150,150,150,160,160,160,160,160,160,150,150,150,150,160,160,160,160,150,150,150,150
最小离地间隙(mm),230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
最大马力(Ps),150,150,218,218,150,150,150,218,218,218,218,218,218,143,143,143,143,218,218,218,218,150,150,150,150
最大载重质量(kg),490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
最大满载质量(kg),2905,2835,2780,2705,2905,2835,2905,2705,2780,2745	,2745	,2845	,2845	,2845	,2845	,2920	,2920	,2705	,2705	,2780,2780,2835	,2835	,2905,2905
最大扭矩转速(rpm),1400-2800,1400-2800,2000-4000,2000-4000,1400-2800,1400-2800,1400-2800,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1800	,1800	,1800	,1800	,2000-4000,2000-4000,2000-4000,2000-4000,1400-2800,1400-2800,1400-2800,1400-2800
最大扭矩(N·m)_y,360,360,320,320,360,360,360,320,320,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360
最大扭矩(N·m)_x,360,360,320,320,360,360,360,320,320,320,320,320,320,360,360,360,360,320,320,320,320,360,360,360,360
最大功率转速(rpm),3600,3600,5600,5600,3600,3600,3600,5600,5600,5600,5600,5600,5600,3500	,3500	,3500	,3500	,5600,5600,5600,5600,3500	,3500	,3500	,3500	
最大功率(kW)_y,110,110,160,160,110,110,110,160,160,160,160,160,160,105	,105	,105	,105	,160,160,160,160,110,110,110,110
最大功率(kW)_x,110,110,160,160,110,110,110,160,160,160,160,160,160,105	,105	,105	,105	,160,160,160,160,110,110,110,110
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),2090,2020,1965,1890,2090,2020,2090,1890,1965,1930	,1930	,2030	,2030	,2030	,2030	,2105	,2105	,1890	,1890	,1965,1965,2020	,2020	,2090,2090
接近角(°),-,-,-,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
排量(mL),2499,2499,2378,2378,2499,2499,2499,2378,2378,2378,2378,2378,2378,2499,2499,2499,2499,2378,2378,2378,2378,2499,2499,2499,2499
挡位个数,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,,-,,-,,-,,-,
手机互联/映射,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
四驱形式,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,,,-,-,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,JE4D25Q6A,JE4D25Q6A,4K22D4T,4K22D4T,JE4D25Q6A,JE4D25Q6A,JE4D25Q6A,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,4K22D4T,JE4D25	,JE4D25	,JE4D25	,JE4D25	,4K22D4T,4K22D4T,4K22D4T,4K22D4T,JE4D25	,JE4D25	,JE4D25	,JE4D25	
发动机,2.5T 150马力 L4,2.5T 150马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 143马力 L4,2.5T 143马力 L4,2.5T 143马力 L4,2.5T 143马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.4T 218马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.5T 150马力 L4,2.5T 150马力 L4
厂商指导价(元),12.88万,11.58万,11.88万,10.58万,12.38万,12.38万,13.68万,11.38万,12.68万,11.38万,12.18万,12.68万,13.48万,12.38万,13.18万,13.68万,14.48万,10.58万,11.38万,11.88万,12.68万,11.58万,12.38万,12.88万,13.68万
厂商,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车,曙光汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,,,,,-,,-,,-,,-,,-,,-,,-,,-,
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,多点电喷,多点电喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷,多点电喷,多点电喷,多点电喷,多点电喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05
上坡辅助,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,●,-,●
USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
