Feature,1009342,1009343,1009344,1009345,1009346,1009347,1009348,1009349,1009350,1009351,1009352,1009353,1009354,1009355,1009356,1009357,1009690,1009691,1009692,1009693,1009694,1009695,1009696,1009697,1010738,1010739,1010750,1010751,1011632,1011633,1011814,1011815,1011816,1011817,1011818,1012154,1012155,1012156,1012681,1012682,1014166,1014167
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,大运皮卡 2020款 2.0T柴油四驱手动尊享型标轴4F20TC,大运皮卡 2020款 2.0T柴油四驱手动尊享型长轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动尊享型标轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动尊享型长轴4F20TC,大运皮卡 2020款 2.0T柴油四驱手动精英型标轴4F20TC,大运皮卡 2020款 2.0T柴油四驱手动精英型长轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动精英型标轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动精英型长轴4F20TC,大运皮卡 2020款 2.4T汽油四驱手动尊享型标轴4K22D4T,大运皮卡 2020款 2.4T汽油四驱手动尊享型长轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动尊享型标轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动尊享型长轴4K22D4T,大运皮卡 2020款 2.4T汽油四驱手动精英型标轴4K22D4T,大运皮卡 2020款 2.4T汽油四驱手动精英型长轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动精英型标轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动精英型长轴4K22D4T,大运皮卡 2020款 2.0T柴油四驱手动青年版标轴4F20TC,大运皮卡 2020款 2.0T柴油四驱手动青年版长轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动青年版标轴4F20TC,大运皮卡 2020款 2.0T柴油两驱手动青年版长轴4F20TC,大运皮卡 2020款 2.4T汽油四驱手动青年版标轴4K22D4T,大运皮卡 2020款 2.4T汽油四驱手动青年版长轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动青年版标轴4K22D4T,大运皮卡 2020款 2.4T汽油两驱手动青年版长轴4K22D4T,大运皮卡 2021款 2.4T汽油四驱手动精英版标轴4K22D4T,大运皮卡 2021款 2.4T汽油两驱手动精英版标轴4K22D4T,大运皮卡 2021款 2.4T汽油四驱手动尊享版标轴4K22D4T,大运皮卡 2021款 2.4T汽油两驱手动尊享版标轴4K22D4T,大运皮卡 2021款 2.4T汽油四驱手动大运牛标轴4K22D4T,大运皮卡 2021款 2.4T汽油两驱手动大运牛标轴4K22D4T,大运皮卡 2021款 2.0T柴油四驱手动大运牛长轴4F20TC,大运皮卡 2021款 2.4T汽油四驱手动风驰版标轴4K22D4T,大运皮卡 2021款 2.4T汽油两驱手动风驰版标轴4K22D4T,大运皮卡 2021款 2.0T柴油四驱手动风驰版长轴4F20TC,大运皮卡 2021款 2.0T柴油两驱手动风驰版长轴4F20TC,大运皮卡 2021款 2.0T柴油四驱手动大运牛标轴4F20TC,大运皮卡 2021款 2.0T柴油两驱手动大运牛长轴4F20TC,大运皮卡 2021款 2.0T柴油两驱手动大运牛标轴4F20TC,大运皮卡 2021款 2.4T汽油四驱手动大运牛长轴4K22D4T,大运皮卡 2021款 2.4T汽油两驱手动大运牛长轴4K22D4T,大运皮卡 2022款 2.0T柴油四驱手动豪华版长轴4F20TC,大运皮卡 2022款 2.4T汽油四驱手动雅致版标轴4K22D4T
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,-,-,-,-,-,,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1497x1499x530,1497x1499x530,1497x1499x530,1497x1499x530,1575x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1575x1610x530,1975x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1575x1610x530,1975x1610x530,1975x1610x530,1975x1610x530,1575x1610x530
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,92号,92号,0号,0号,0号,0号,0号,92号,92号,0号,92号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,-,-,-,-,-,-,-,-,-,-,-,-,73,73,-,73,73,-,-,-,-,-,73,73,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,-,-,-,-,-,-,-,-,-,-,-,-,220,220,-,220,220,-,-,-,-,-,220,220,-,-
最大马力(Ps),163,163,163,163,163,163,163,163,218,218,218,218,218,218,218,218,163,163,163,163,218,218,218,218,218,218,218,218,218,218,163,218,218,163,163,163,163,163,218,218,163,218
最大载重质量(kg),490,490,490,490,490,490,490,490,500,500,500,500,500,500,500,500,-,-,-,-,-,-,-,-,-,-,-,-,500,500,-,500,500,-,-,-,-,-,500,500,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2600,2600,2600,2600,2600,2600,2600,2600,2400,2400,2400,2400,2400,2400,2400,2400,2600,2600,2600,2600,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1800-2600,2400,2400,1800-2600,1800-2600,1800-2600,1800-2600,1800-2600,2400,2400,1800-2600,2400
最大扭矩(N·m)_y,390,390,390,390,390,390,390,390,320,320,320,320,320,320,320,320,390,390,390,390,320,320,320,320,320,320,320,320,320,320,390,320,320,390,390,390,390,390,320,320,390,320
最大扭矩(N·m)_x,390,390,390,390,390,390,390,390,320,320,320,320,320,320,320,320,390,390,390,390,320,320,320,320,320,320,320,320,320,320,390,320,320,390,390,390,390,390,320,320,390,320
最大功率转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,5200,5200,5200,5200,5200,5200,5200,5200,4000,4000,4000,4000,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,4000,5200,5200,4000,4000,4000,4000,4000,5200,5200,4000,5200
最大功率(kW)_y,120,120,120,120,120,120,120,120,160,160,160,160,160,160,160,160,120,120,120,120,160,160,160,160,160,160,160,160,160,160,120,160,160,120,120,120,120,120,160,160,120,160
最大功率(kW)_x,120,120,120,120,120,120,120,120,160,160,160,160,160,160,160,160,120,120,120,120,160,160,160,160,160,160,160,160,160,160,120,160,160,120,120,120,120,120,160,160,120,160
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,,,,,,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,1998,2070,1938,1960,1998,2070,1938,-,1930,2005,1881,1885,1930,2005,1881,1885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1968,1968,1968,1968,1968,1968,1968,1968,2378,2378,2378,2378,2378,2378,2378,2378,1968,1968,1968,1968,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,1968,2378,2378,1968,1968,1968,1968,1968,2378,2378,1968,2378
挡位个数,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),8.3,8.7,8.3,8.3,8.3,8.7,8.3,8.3,9.6,10.1,9.6,9.6,9.6,10.1,9.6,9.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,-,-,-,-,-,-,-,-,-,-,-,-,1580,1580,-,1580,1580,-,-,-,-,-,1580,1580,-,-
后轮胎规格,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17,245/70 R17
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
