Feature,46380,46381,46382,54821,54822,54823,55657,58554,58555,58556,58557,60139,60140,60144,60145,60147,60148,60149,60150,60151,60152
电池快充电量范围(%)_x,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
电池快充时间(小时)_y,0.5,0.5,0.5,0.55,0.55,0.55,1,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.55,0.55,0.55,1,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
电动机总扭矩(N·m),250,250,250,280,280,280,280,280,280,250,250,280,280,280,280,210,210,280,280,280,280
电动机总功率(kW),120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
电动机(Ps),163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,
最高车速(km/h),150,150,150,160,160,160,140,160,160,150,150,140,140,140,140,140,140,140,140,140,-
最小转弯半径(m),5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
最大满载质量(kg),1950,1950,1950,1880,1880,1880,1880,1880,1880,1950,1950,1950,1950,1950,1950,1935,1935,-,-,-,-
最大扭矩(N·m),250,250,250,280,280,280,280,280,280,250,250,280,280,280,280,210,210,280,280,280,280
最大功率(kW),120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1505,1505,1505,1487,1487,1487,1479,1487,1487,1505,1505,1540,1540,1540,1540,1515,1515,1540,1540,1495,1495
接近角(°),14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14
换电,-,-,-,-,-,-,支持,-,-,-,-,-,-,-,-,-,-,-,-,-,-
换挡形式,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,-,,-,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,●,-,●,-,●
宽度(mm),1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803,1803
官方0-50km/h加速(s),4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,
备胎放置方式,,,,,,,,,,,,,,,,,,,,,
地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,,-,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
后轮胎规格,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525
后制动器类型,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.005万,15.005万,15.805万,13.98万,14.78万,13.98万,13.98万,14.28万,14.06万,15.305万,14.4775万,13.98万,14.28万,13.98万,14.28万,13.98万,14.28万,13.98万,14.28万,13.98万,14.28万
厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
卫星导航系统,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,●,-,●,-,●
助力类型,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
前轮胎规格,,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),250,250,250,280,280,280,280,280,280,250,250,280,280,280,280,210,210,280,280,280,280
前电动机最大功率(kW),120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,前-&nbsp;/&nbsp;后●,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,-,,-,,-,-,,-,,-,-,,-,,-,,-,,-,
中控屏幕尺寸,-,-,,-,,-,-,,-,,-,-,,-,,-,,-,,-,
上市时间,2020.07,2020.07,2020.07,2021.12,2021.12,2021.12,2021.12,2022.08,2022.08,2022.08,2022.08,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
三电系统质保,,,,,,,,,,,,,,,,,,,,,
Wi-Fi热点,-,-,●,-,●,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,,,,
OTA升级,-,-,●,-,●,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_y,405,405,405,421,421,421,423,421,421,405,405,-,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_x,405,405,405,421,421,421,423,421,421,405,405,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
CLTC纯电续航里程(km)_y,-,-,-,410,410,410,430,410,410,-,-,420,420,420,420,420,420,420,420,450,450
CLTC纯电续航里程(km)_x,-,-,-,410,410,410,430,410,410,-,-,420,420,420,420,420,420,420,420,450,450
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,-,-,,-,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-
