Feature,66931,66932,66933,66934,66935,66936,66937,66938,66939,67259,69209,69210,69252,69253,69254,69512,69513,69514
轴距(mm),2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765
轮圈材质,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
车道偏离预警系统,-,-,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
车道保持辅助系统,-,-,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
车载空气净化器,●,●,●,●,●,-,-,-,-,-,-,●,-,●,●,-,-,●
车载智能系统,,,,,,,,,,,,,,,,,,
车载KTV,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,,,,,,,,
车型名称,宋PLUS新能源 2024款 荣耀版 DM-i 71km 豪华型,宋PLUS新能源 2024款 荣耀版 DM-i 110km 旗舰型,宋PLUS新能源 2024款 荣耀版 DM-i 110km 旗舰PLUS,宋PLUS新能源 2024款 荣耀版 DM-i 150km 旗舰PLUS,宋PLUS新能源 2024款 荣耀版 DM-i 150km 旗舰PLUS 5G,宋PLUS新能源 2024款 荣耀版 EV 520km 豪华型,宋PLUS新能源 2024款 荣耀版 EV 520km 尊贵型,宋PLUS新能源 2024款 荣耀版 EV 520km 旗舰型,宋PLUS新能源 2024款 荣耀版 EV 605km 旗舰PLUS,宋PLUS新能源 2024款 EV 520km领航荣耀版,宋PLUS新能源 2025款 DM-i 75KM 豪华型,宋PLUS新能源 2025款 DM-i 160KM 旗舰PLUS,宋PLUS新能源 2025款 DM-i 112KM 尊贵型,宋PLUS新能源 2025款 DM-i 112KM 尊荣型,宋PLUS新能源 2025款 DM-i 160KM 旗舰型,宋PLUS新能源 2025款 EV 520km 豪华型,宋PLUS新能源 2025款 EV 520km 尊贵型,宋PLUS新能源 2025款 EV 605km 旗舰型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,-,,,,-,-,,,,,-,,
车内摄像头数量,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,-,-,●,●,-,-,●,-,●,●,-,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,
语音助手唤醒词,,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,●,●,-,-,●,-,●,●,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,●,-,-,-,●,-,-,●,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,
空气质量监测,●,●,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
离去角(°),21,21,21,21,21,22,22,22,22,22,21,21,21,21,21,22,22,22
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,16.8,15.9,15.9,16.8,13.7,13.7,14.1
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,-,-,-,-,-,-,-,1.53,1.95,1.85,1.85,1.95,1.55,1.55,1.59
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量(kWh),12.9,18.3,18.3,26.6,26.6,71.8,71.8,71.8,87.04,71.8,12.9,26.6,18.3,18.3,26.6,71.8,71.8,87.04
电池类型,,,,,,,,,,,,,,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池慢充时间(小时)_y,3.9,5.5,5.5,3.8,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-
电池慢充时间(小时)_x,3.9,5.5,5.5,3.8,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-
电池快充电量范围(%)_y,-,-,-,-,-,30-80,30-80,30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,-,-,-,-,-,30-80,30-80,30-80,30-80,30-80,-,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.7,1,1,1,1,0.5,0.5,0.5,0.46,0.5,-,0.28,0.38,0.38,0.28,0.5,0.5,0.46
电池快充时间(小时)_x,0.7,1,1,1,1,0.5,0.5,0.5,0.46,0.5,-,0.28,0.38,0.38,0.28,0.5,0.5,0.46
电池冷却方式,-,-,-,-,-,液冷,液冷,液冷,液冷,液冷,直冷,直冷,直冷,直冷,直冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),197,197,197,197,197,204,204,204,218,204,218,218,218,218,218,204,204,218
电动机总扭矩(N·m),325,325,325,325,325,310,310,310,330,310,260,260,260,260,260,310,310,330
电动机总功率(kW),145,145,145,145,145,150,150,150,160,150,160,160,160,160,160,150,150,160
电动机(Ps),197,197,197,197,197,204,204,204,218,204,218,218,218,218,218,204,204,218
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-
环保标准_x,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,-,-,-,-,-,92号,92号,92号,92号,92号,-,-,-
热泵空调,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,
油箱容积(L),60,60,60,60,60,-,-,-,-,-,60,60,60,60,60,-,-,-
油电综合燃料消耗量(L/100km),-,-,-,-,-,-,-,-,-,-,3.41,2.8,3,3,2.8,-,-,-
气缸数(个),4,4,4,4,4,-,-,-,-,-,4,4,4,4,4,-,-,-
气缸排列形式,L,L,L,L,L,-,-,-,-,-,L,L,L,L,L,-,-,-
毫米波雷达数量,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,,
每缸气门数(个),4,4,4,4,4,-,-,-,-,-,4,4,4,4,4,-,-,-
最高车速(km/h),170,170,170,170,170,175,175,175,175,175,180,180,180,180,180,175,175,175
最小转弯半径(m),5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55
最大马力(Ps),110,110,110,110,110,204,204,204,218,204,101,101,101,101,101,204,204,218
最大满载质量(kg),2145,2205,2205,2265,2265,2295,2295,2295,2425,2295,2160,2265,2205,2205,2265,2295,2295,2425
最大扭矩转速(rpm),4500,4500,4500,4500,4500,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,135,135,135,135,135,310,310,310,330,310,126,126,126,126,126,310,310,330
最大扭矩(N·m)_x,-,-,-,-,-,310,310,310,330,310,-,-,-,-,-,310,310,330
最大功率转速(rpm),6000,6000,6000,6000,6000,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,81,81,81,81,81,150,150,150,160,150,74,74,74,74,74,150,150,160
最大功率(kW)_x,-,-,-,-,-,150,150,150,160,150,-,-,-,-,-,150,150,160
最大净功率(kW),78,78,78,78,78,-,-,-,-,-,70,70,70,70,70,-,-,-
最低荷电状态油耗(L/100km)WLTC,-,-,-,-,-,-,-,-,-,-,4.93,4.98,4.95,4.95,4.98,-,-,-
最低荷电状态油耗(L/100km)NEDC,-,-,-,-,-,-,-,-,-,-,3.88,3.93,3.9,3.9,3.93,-,-,-
最低荷电状态油耗(L/100km),5.4,5.3,5.3,5.4,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘离手检测,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,-,●,●
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,-,,,,,,,,
整备质量(kg),1770,1830,1830,1890,1890,1920,1920,1920,2050,1920,1785,1890,1830,1830,1890,1920,1920,2050
摄像头数量,,,,,,,,,,,,,,,,,,
接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
排量(mL),1498,1498,1498,1498,1498,-,-,-,-,-,1498,1498,1498,1498,1498,-,-,-
换挡形式,,,,,,,,,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1,1,1,无级变速,无级变速,无级变速,无级变速,无级变速,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,,-,-,-,,-,-,,-,-,-,-,-,-
手机无线充电功能,-,-,-,,,-,,,,-,-,,-,,,-,,
手机无线充电功率,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,,
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,-,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),18,18,18,18,18,90,90,90,140,90,-,54,26,26,54,90,90,140
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
并线辅助,-,-,-,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
巡航系统,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,6,6,-,-,-,-,-,3.3,6,3.3,3.3,6,3.3,3.3,3.3
宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
实测续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,122.4,-,-,-,-
实测电池快充电量范围(%),-,-,-,-,-,-,-,-,-,-,-,-,-,30-80,-,-,-,-
实测最低荷电状态油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,4.1,-,-,-,-
实测快充时间(小时),-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,-,-,-,-
实测平均电耗(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,14.58,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,38.84,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,8.02,-,-,-,-
官方0-50km/h加速(s),-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,4,4,4
官方0-100km/h加速(s),8.2,8.3,8.3,8.5,8.5,-,-,-,-,-,7.7,7.9,7.7,7.7,7.9,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,
地图品牌,,,,,,,,,,,,,,,,,,
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
后轮胎规格,,,,,,,,,,,,,,,,,,
后方碰撞预警,-,-,-,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),574-1600,574-1600,574-1600,574-1600,574-1600,-,-,-,-,-,574-1440,574-1440,574-1440,574-1440,574-1440,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,
可见即可说,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-
可变悬架功能,-,-,-,,,-,-,-,-,-,-,,-,-,,-,-,-
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,-,-,-
发动机布局,横置,横置,横置,横置,横置,-,-,-,-,-,横置,横置,横置,横置,横置,-,-,-
发动机型号,BYD472QA,BYD472QA,BYD472QA,BYD472QA,BYD472QA,-,-,-,-,-,BYD472QC,BYD472QC,BYD472QC,BYD472QC,BYD472QC,-,-,-
发动机,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,1.5L 110马力 L4,-,-,-,-,-,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,1.5L 101马力 L4,-,-,-
厂商指导价(元),12.98万,13.98万,14.98万,15.98万,16.98万,14.98万,15.98万,16.98万,18.98万,18.28万,13.58万,17.58万,14.58万,15.58万,16.58万,14.98万,15.98万,17.58万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
前轮胎规格,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),325,325,325,325,325,310,310,310,330,310,260,260,260,260,260,310,310,330
前电动机最大功率(kW),145,145,145,145,145,150,150,150,160,150,160,160,160,160,160,150,150,160
前电动机型号,-,-,-,-,-,TZ200XSQ,TZ200XSQ,TZ200XSQ,TZ200XYM,TZ200XSQ,TZ210XYC,TZ210XYC,TZ210XYC,TZ210XYC,TZ210XYC,TZ200XSQ,TZ200XSQ,TZ200XYM
前电动机品牌,-,-,-,-,-,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
前方碰撞预警,-,-,●,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
前方感知摄像头,-,-,,,,-,-,-,-,-,-,,-,,,-,,
前排座椅功能,-,-,,,,-,-,,,-,-,,-,,,-,,
前悬架类型,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,-,-,-,●,●,-,-,●,●,-,-,●,-,●,●,-,●,●
