Feature,58512,58980,59786,59787,59788,59789,59790,59791,59792,59793,59794,72412,72413,72414,72415,72416,72417,72418,72419,72420,72421,72422,72423,72424,72425,72426,72427,72428
能源类型_y,汽油,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,汽油,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),-,350,-,-,-,-,350,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,350,350
系统综合功率(kW),-,147,-,-,-,-,147,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,147,147
系统综合功率(Ps),-,200,-,-,-,-,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200
简称,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅功能,,,-,-,-,,-,,-,,,-,-,-,-,-,-,-,,,-,-,-,,,-,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电芯品牌,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
电池类型,-,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
电机类型,-,永磁/同步,-,-,-,-,永磁/同步,永磁/同步,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,-,前置,-,-,-,-,前置,前置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,前置,前置,前置
电动机总马力(Ps),-,60.1,-,-,-,-,60.1,60.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.1,60.1,60.1
电动机总扭矩(N·m),-,264,-,-,-,-,264,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,264,264
电动机总功率(kW),-,44.2,-,-,-,-,44.2,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,44.2,44.2
电动机(Ps),-,60,-,-,-,-,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60
电动座椅记忆功能,,,-,-,-,,-,,-,,,-,-,-,-,-,-,-,,,-,-,-,,,-,,
电动后备厢位置记忆,●,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,●
电动后备厢,●,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
满载最小离地间隙(mm),156,165,156,156,156,156,165,165,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,165,165,165
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),54,52,54,54,54,54,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,52,52,52
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),210,160,205,205,210,210,160,160,210,210,210,205,205,205,205,210,210,210,210,210,210,210,210,210,210,160,160,160
最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
最大马力(Ps),236,150,200,200,236,236,150,150,236,236,236,200,200,200,200,236,236,236,236,236,236,236,236,236,236,150,150,150
最大满载质量(kg),2185,2080,2010,2010,2100,2100,2080,2080,2185,2185,2100,2010,2010,2010,2010,2100,2100,2100,2100,2100,2185,2185,2185,2185,2185,2080,2080,2080
最大扭矩转速(rpm),1500-4000,5000,2200-4000,2200-4000,1500-4000,1500-4000,5000,5000,1500-4000,1500-4000,1500-4000,2200-4000,2200-4000,2200-4000,2200-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,5000,5000,5000
最大扭矩(N·m)_y,353,186,253,253,353,353,186,186,353,353,353,253,253,253,253,353,353,353,353,353,353,353,353,353,353,186,186,186
最大扭矩(N·m)_x,353,350,253,253,353,353,350,350,353,353,353,253,253,253,253,353,353,353,353,353,353,353,353,353,353,350,350,350
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,173.6,110,147,147,173.6,173.6,110,110,173.6,173.6,173.6,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,110,110,110
最大功率(kW)_x,173.6,147,147,147,173.6,173.6,147,147,173.6,173.6,173.6,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,147,147,147
最大净功率(kW),173.6,110,147,147,173.6,173.6,110,110,173.6,173.6,173.6,147,147,147,147,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,173.6,110,110,110
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,-,,,,,-,-,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1724,1622,1530,1568,1590,1637,1622,1622,1724,1724,1637,1568,1568,1568,1568,1590,1590,1590,1637,1637,1724,1724,1724,1724,1724,1622,1622,1622
摄像头数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
排量(mL),1975,1999,1497,1497,1975,1975,1999,1999,1975,1975,1975,1497,1497,1497,1497,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1999,1999,1999
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,8,6,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,
手机无线充电功能,,,-,,-,,-,,-,,,-,-,-,,-,-,-,,,-,-,-,,,-,,
手机无线充电功率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,-,-,,,-,,
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,●,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,●
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,●,●,-,○,-,○,-,○,-,○,●,-,-,-,○,-,-,-,○,●,-,-,-,○,●,-,○,●
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,-,●,-,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,●,-,●,●
宽度(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,-,,-,,-,,-,,,-,,,,-,,,,,-,,,,,-,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎放置方式,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,-,-,-
地图品牌,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
四驱形式,,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1622,1622,1622,1622,1622,1622,1627,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1627,1622,1622
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,G4NN,G4NR,G4FS,G4FS,G4NN,G4NN,G4NR,G4NR,G4NN,G4NN,G4NN,G4FS,G4FS,G4FS,G4FS,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NN,G4NR,G4NR,G4NR
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 236马力 L4,2.0L 150马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,1.5T 200马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0T 236马力 L4,2.0L 150马力 L4,2.0L 150马力 L4,2.0L 150马力 L4
厂商指导价(元),23.48万,23.78万,17.98万,18.98万,19.08万,19.98万,20.58万,21.48万,20.28万,21.18万,22.28万,17.98万,18.48万,18.98万,18.98万,19.08万,19.48万,19.98万,19.98万,22.28万,20.28万,20.68万,21.18万,21.18万,23.48万,20.58万,21.48万,23.78万
厂商,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚,悦达起亚
卫星导航系统,●,●,-,●,-,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,●,-,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,●,●,-,-,-,○,-,○,-,○,●,-,-,-,-,-,-,-,○,●,-,-,-,○,●,-,○,●
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1615,1615,1615,1615,1615,1615,1620,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615,1620,1615,1615
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),-,264,-,-,-,-,264,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,264,264
前电动机最大功率(kW),-,44.2,-,-,-,-,44.2,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,44.2,44.2
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前方感知摄像头,,,-,,-,,-,,-,,,-,-,,,-,-,,,,-,-,,,,-,,
前排座椅功能,,,-,-,-,,-,,-,,,-,-,-,-,-,-,-,,,-,-,-,,,-,,
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
