Feature,45794,45869,45870,45871,45872,54076,63497,63509,63510,63511,63512,63513,63514
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,-,-,-,-,,-,-,-,-,-,-,
空调温度控制方式,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,20,20,20,20,20,20,20,20
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,-,-,-,-,,-,-,-,-,-,-,
电动后备厢位置记忆,●,-,●,●,●,●,●,-,-,●,●,●,●
电动后备厢,●,-,●,●,●,●,●,-,-,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,208,208,198,198,198,198,208,208
最小转弯半径(m),-,-,-,-,-,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
最大马力(Ps),272,193,193,272,272,261,261,188,188,188,188,261,261
最大满载质量(kg),-,-,-,-,-,2295,2295,2180,2180,2180,2180,2220,2295
最大扭矩转速(rpm),2250-4500,2000-5000,2000-5000,2250-4500,2250-4500,2250-3500,2250-3500,2000-5000,2000-5000,2000-5000,2000-5000,2250-3500,2250-3500
最大扭矩(N·m)_y,370,243,243,370,370,370,370,243,243,243,243,370,370
最大扭矩(N·m)_x,370,243,243,370,370,370,370,243,243,243,243,370,370
最大功率转速(rpm),6500,5600,5600,6500,6500,6500,6500,5600,5600,5600,5600,6500,6500
最大功率(kW)_y,200,142,142,200,200,192,192,138,138,138,138,192,192
最大功率(kW)_x,200,142,142,200,200,192,192,138,138,138,138,192,192
最大净功率(kW),200,142,142,200,200,192,192,138,138,138,138,192,192
无钥匙进入功能,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1880,1745,1767,1810,1870,1880,1874,1750,1765,1771,1771,1807,1880
接近角(°),-,-,-,-,-,17,17,17,17,17,17,17,17
排量(mL),1996,1498,1498,1996,1996,1996,1996,1498,1498,1498,1498,1996,1996
换挡形式,,,,,,,,,,,,,
挡位个数,9,无级变速,无级变速,9,9,9,9,无级变速,无级变速,无级变速,无级变速,9,9
扬声器数量,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,,
手机APP远程功能,-,-,-,-,-,,,-,,,,,
感应雨刷功能,,-,,-,-,,-,-,,,,-,
感应后备厢,●,-,●,●,●,●,●,-,-,-,-,●,●
座椅材质,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,
导航路况信息显示,●,-,●,●,●,●,●,-,●,●,●,●,●
宽度(mm),1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942
官方0-100km/h加速(s),8,10.1,10.1,8.1,8,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,-,,,,-,-,-,-,-,-,-,-
四驱形式,适时四驱,-,-,-,适时四驱,适时四驱,适时四驱,-,-,-,-,-,适时四驱
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,1671,1671,1671,1671,1671,1671,1671,1671
后轮胎规格,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,●,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,,,,,
后排侧窗遮阳帘,,-,-,-,-,,-,-,-,-,-,-,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●
可变悬架功能,,-,-,,,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),无级变速箱(CVT),无级变速箱(CVT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,CVT无级变速,CVT无级变速,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,K20C3,L15BD,L15BD,K20C3,K20C3,K20C7,K20C7,L15CM,L15CM,L15CM,L15CM,K20C7,K20C7
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 272马力 L4,1.5T 193马力 L4,1.5T 193马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 261马力 L4,2.0T 261马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,1.5T 188马力 L4,2.0T 261马力 L4,2.0T 261马力 L4
压缩比,9.8,10.3,10.3,9.8,9.8,9.8,9.8,10.3,10.3,10.3,10.3,9.8,9.8
厂商指导价(元),32.98万,24.68万,26.98万,27.98万,29.28万,32.68万,29.38万,24.68万,25.68万,26.88万,27.18万,27.98万,32.98万
厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
卫星导航系统,●,-,●,●,●,●,●,-,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,●,-,-,-,-,●,-,-,-,-,-,-,●
副座椅调节方式,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,1652,1652,1652,1652,1652,1652,1652,1652
前轮胎规格,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19,245/55 R19
前方碰撞预警,●,-,●,-,-,●,●,-,●,●,●,-,●
前排座椅功能,,-,,,,,,-,,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
倒车车侧预警系统,●,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,
主动降噪,●,●,●,●,●,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,-,●,-,-,●,●,-,●,●,●,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,
中央差速器结构,多片离合器,-,-,-,多片离合器,多片离合器,多片离合器,-,-,-,-,-,多片离合器
上市时间,2020.06,2020.06,2020.06,2020.06,2020.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,-,-,-,-,-,●,●,-,●,●,●,●,●
WLTC综合油耗(L/100km),-,-,-,-,-,9.14,9.14,7.69,7.75,7.75,7.75,8.73,9.14
USB/Type-C接口数量,,,,,,,,,,,,,
OTA升级,-,-,-,-,-,●,●,-,●,●,●,●,●
NEDC综合油耗(L/100km),8.7,7.2,7.2,8.3,8.7,-,-,-,-,-,-,-,-
LED日间行车灯,●,-,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,-,-,-,-,●,-,-,-,-,-,-,●
ETC装置,-,-,-,-,-,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,-,,,,,,-,,,,,
