Feature,57124,58453,58468,58469,58470,58475,58476,60574,60575,62612,62613,64913,64914,64915,64916,64917,64918,64919,64920,64921,64922,64923,64924,64925,64926,64927,64928
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,-,○,●,-,○,●,●,●,●,-,-,-,-,○,○,○,○,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,奥迪Q6 2023款 50 TFSI quattro 凌云版 edition one,奥迪Q6 2023款 50 TFSI quattro 行云型 飞骑套装,奥迪Q6 2023款 40 TFSI quattro 观云型 羽林套装,奥迪Q6 2023款 45 TFSI quattro 齐云型 羽林套装,奥迪Q6 2023款 50 TFSI quattro 行云型 羽林套装,奥迪Q6 2023款 40 TFSI quattro 观云型 飞骑套装,奥迪Q6 2023款 45 TFSI quattro 齐云型 飞骑套装,奥迪Q6 2023款 45 TFSI quattro 黑武士版,奥迪Q6 2023款 45 TFSI quattro 影武士版,奥迪Q6 2023款 50 TFSI quattro 黑武士版,奥迪Q6 2023款 50 TFSI quattro 影武士版,奥迪Q6 2024款 40 TFSI quattro 观云型 羽林套装 7座,奥迪Q6 2024款 40 TFSI quattro 观云型 羽林套装 6座,奥迪Q6 2024款 40 TFSI quattro 观云型 飞骑套装 7座,奥迪Q6 2024款 40 TFSI quattro 观云型 飞骑套装 6座,奥迪Q6 2024款 45 TFSI quattro 齐云型 羽林套装 7座,奥迪Q6 2024款 45 TFSI quattro 齐云型 羽林套装 6座,奥迪Q6 2024款 45 TFSI quattro 齐云型 飞骑套装 7座,奥迪Q6 2024款 45 TFSI quattro 齐云型 飞骑套装 6座,奥迪Q6 2024款 50 TFSI quattro 行云型 羽林套装 6座,奥迪Q6 2024款 50 TFSI quattro 行云型 飞骑套装 6座,奥迪Q6 2024款 45 TFSI quattro 黑武士版 7座,奥迪Q6 2024款 45 TFSI quattro 影武士版 7座,奥迪Q6 2024款 45 TFSI quattro 黑武士版 6座,奥迪Q6 2024款 45 TFSI quattro 影武士版 6座,奥迪Q6 2024款 50 TFSI quattro 黑武士版 6座,奥迪Q6 2024款 50 TFSI quattro 影武士版 6座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,○,●,●,○,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,○,●,●,○,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,铸铁,铸铁,未知,铸铁,铸铁,铸铁,铸铁,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,铸铁,铸铁,铸铁,铸铁,未知,未知
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,●,●,-,○,●,-,○,○,○,●,●,-,●,-,●,-,●,-,●,●,●,-,-,●,●,●,●
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,●,●,-,○,●,-,○,○,○,●,●,-,●,-,●,-,●,-,●,●,●,-,-,●,●,●,●
第二排座椅功能,,,-,,,-,,,,,,-,,-,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
满载最小离地间隙(mm),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),6,6,4,4,6,4,4,4,4,6,6,4,4,4,4,4,4,4,4,6,6,4,4,4,4,6,6
气缸排列形式,V,V,L,L,V,L,L,L,L,V,V,L,L,L,L,L,L,L,L,V,V,L,L,L,L,V,V
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
最小转弯半径(m),6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
最大马力(Ps),299,299,231,265,299,231,265,265,265,299,299,231,231,231,231,265,265,265,265,299,299,265,265,265,265,299,299
最大满载质量(kg),2780,2780,2765,2765,2780,2765,2765,2765,2765,2780,2780,2765,2780,2765,2780,2765,2780,2765,2780,2780,2780,2765,2765,2765,2765,2780,2780
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,500,500,370,400,500,370,400,400,400,500,500,370,370,370,370,400,400,400,400,500,500,400,400,400,400,500,500
最大扭矩(N·m)_x,500,500,370,400,500,370,400,400,400,500,500,370,370,370,370,400,400,400,400,500,500,400,400,400,400,500,500
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,220,220,170,195,220,170,195,195,195,220,220,170,170,170,170,195,195,195,195,220,220,195,195,195,195,220,220
最大功率(kW)_x,220,220,170,195,220,170,195,195,195,220,220,170,170,170,170,195,195,195,195,220,220,195,195,195,195,220,220
最大净功率(kW),220,220,170,195,220,170,195,195,195,220,220,170,170,170,170,195,195,195,195,220,220,195,195,195,195,220,220
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,-,●,●,-,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,●,●,○,●,●,○,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2280,2280,2205,2205,2280,2205,2205,2205,2205,2280,2280,2205,2280,2205,2280,2205,2280,2205,2280,2280,2280,2205,2205,2205,2205,2280,2280
接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
排量(mL),2492,2492,1984,1984,2492,1984,1984,1984,1984,2492,2492,1984,1984,1984,1984,1984,1984,1984,1984,2492,2492,1984,1984,1984,1984,2492,2492
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机无线充电功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
感应后备厢,●,●,○,●,●,○,●,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),6,6,7,7,6,7,7,7,7,6,6,7,6,7,6,7,6,7,6,6,6,7,7,6,6,6,6
并线辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
官方0-100km/h加速(s),7.3,7.3,8.6,7.6,7.3,8.6,7.6,7.6,7.6,7.3,7.3,8.6,8.6,8.6,8.6,7.6,7.6,7.6,7.6,7.3,7.3,7.6,7.6,7.6,7.6,7.3,7.3
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,,,,,,,,,,,,,,,,,,,
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721
后轮胎规格,265/45 R21,255/50 R20,255/55 R19,255/50 R20,255/50 R20,255/55 R19,255/50 R20,265/45 R21,265/45 R21,265/45 R21,265/45 R21,255/55 R19,255/55 R19,255/55 R19,255/55 R19,255/50 R20,255/50 R20,255/50 R20,255/50 R20,255/50 R20,255/50 R20,265/45 R21,265/45 R21,265/45 R21,265/45 R21,265/45 R21,265/45 R21
后方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,○,○,●,○,○,●,●,●,●,○,●,○,●,○,●,○,●,●,●,●,●,●,●,●,●
后排侧窗遮阳帘,,,,,,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398,286-2398
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变悬架功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,EA390-DME,EA390-DME,EA888-DVL,EA888-DVL,EA390-DME,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA390-DME,EA390-DME,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA390-DME,EA390-DME,EA888-DVL,EA888-DVL,EA888-DVL,EA888-DVL,EA390-DME,EA390-DME
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.5T 299马力 V6,2.5T 299马力 V6,2.0T 231马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.0T 231马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.5T 299马力 V6,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 231马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.5T 299马力 V6,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.0T 265马力 L4,2.5T 299马力 V6,2.5T 299马力 V6
厂商指导价(元),63.06万,57.66万,46.76万,50.76万,56.86万,47.56万,51.56万,55.51万,56.01万,61.11万,61.61万,46.76万,48.76万,47.56万,49.56万,49.76万,52.76万,50.56万,53.56万,55.86万,56.66万,55.51万,56.01万,56.61万,57.11万,61.06万,61.56万
厂商,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪,上汽奥迪
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
