Feature,1013389,1013390,1013391,1013392,1013393,1013394,1013395,1013396,1013397,1013398,1013399,1013400,1013401,1013402,1013403,1013404,1013564,1013565,1013566,1013567,1013568,1013569,1013570,1013571,1013572,1013573,1013574,1013575,1013576,1013577,1013578,1013579,1013580,1013581,1013582,1013583,1013584,1013585,1013586,1013587
车型名称,长安星卡PLUS 2022款 1.8L豪华型空调单排标准车4J18V,长安星卡PLUS 2022款 1.8L豪华型空调双排标准车4J18V,长安星卡PLUS 2022款 1.6L豪华型空调单排标准车DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调双排标准车DAM16KR,,,,,长安星卡PLUS 2022款 1.8L舒适型空调单排标准车4J18V,长安星卡PLUS 2022款 1.8L舒适型空调双排标准车4J18V,长安星卡PLUS 2022款 1.6L舒适型空调单排标准车DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调双排标准车DAM16KR,长安星卡PLUS 2022款 1.8L舒适型非空单排标准车4J18V,长安星卡PLUS 2022款 1.8L舒适型非空双排标准车4J18V,长安星卡PLUS 2022款 1.6L舒适型非空单排标准车DAM16KR,长安星卡PLUS 2022款 1.6L舒适型非空双排标准车DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调单排仓栅车DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调双排仓栅车DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调单排仓栅车DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调双排仓栅车DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调单排复合板厢货DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调双排复合板厢货DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调单排钢板厢货DAM16KR,长安星卡PLUS 2022款 1.6L豪华型空调双排钢板厢货DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调单排复合板厢货DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调双排复合板厢货DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调单排钢板厢货DAM16KR,长安星卡PLUS 2022款 1.6L舒适型空调双排钢板厢货DAM16KR,长安星卡PLUS 2022款 1.8L豪华型空调单排仓栅车4J18V,长安星卡PLUS 2022款 1.8L豪华型空调双排仓栅车4J18V,长安星卡PLUS 2022款 1.8L豪华型空调单排复合板厢货4J18V,长安星卡PLUS 2022款 1.8L豪华型空调双排复合板厢货4J18V,长安星卡PLUS 2022款 1.8L豪华型空调单排钢板厢货4J18V,长安星卡PLUS 2022款 1.8L豪华型空调双排钢板厢货4J18V,长安星卡PLUS 2022款 1.8L舒适型空调单排仓栅车4J18V,长安星卡PLUS 2022款 1.8L舒适型空调双排仓栅车4J18V,长安星卡PLUS 2022款 1.8L舒适型空调单排复合板厢货4J18V,长安星卡PLUS 2022款 1.8L舒适型空调双排复合板厢货4J18V,长安星卡PLUS 2022款 1.8L舒适型空调单排钢板厢货4J18V,长安星卡PLUS 2022款 1.8L舒适型空调双排钢板厢货4J18V
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,,,,,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,,,,,3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,3320x1660x380,2600x1660x380,3190x1680x1645,2470x1680x1645,3220x1729x1652,2498x1729x1652,3190x1680x1645,2470x1680x1645,3220x1729x1652,2498x1729x1652,3320x1660x380,2600x1660x380,3190x1680x1645,2470x1680x1645,3220x1729x1652,2498x1729x1652,3320x1660x380,2600x1660x380,3190x1680x1645,2470x1680x1645,3220x1729x1652,2498x1729x1652
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,,,,,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,,,,,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,,,,,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,,,,,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,,,,,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,-,-,-,-,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,,,,,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,,,,,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,,,,,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,,,,,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,,,,,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,100,115,115,,,,,100,100,115,115,100,100,115,115,115,115,115,115,115,115,115,115,115,115,115,115,100,100,100,100,100,100,100,100,100,100,100,100
最小离地间隙(mm),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),139,139,122,122,,,,,139,139,122,122,139,139,122,122,122,122,122,122,122,122,122,122,122,122,122,122,139,139,139,139,139,139,139,139,139,139,139,139
最大载重质量(kg),1495,1190,1495,1190,,,,,1495,1190,1495,1190,1495,1190,1495,1190,1495,1190,1495,1190,1495,745,1495,745,1495,745,1495,745,1495,1190,1495,745,1495,745,1495,1190,1495,745,1495,745
最大满载质量(kg),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4400,4400,4500,4500,,,,,4400,4400,4500,4500,4400,4400,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
最大扭矩(N·m)_y,180,180,158,158,,,,,180,180,158,158,180,180,158,158,158,158,158,158,158,158,158,158,158,158,158,158,180,180,180,180,180,180,180,180,180,180,180,180
最大扭矩(N·m)_x,180,180,158,158,,,,,180,180,158,158,180,180,158,158,158,158,158,158,158,158,158,158,158,158,158,158,180,180,180,180,180,180,180,180,180,180,180,180
最大功率转速(rpm),5600,5600,6000,6000,,,,,5600,5600,6000,6000,5600,5600,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
最大功率(kW)_y,102,102,90,90,,,,,102,102,90,90,102,102,90,90,90,90,90,90,90,90,90,90,90,90,90,90,102,102,102,102,102,102,102,102,102,102,102,102
最大功率(kW)_x,102,102,90,90,,,,,102,102,90,90,102,102,90,90,90,90,90,90,90,90,90,90,90,90,90,90,102,102,102,102,102,102,102,102,102,102,102,102
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_y,1390,1455,1345,1410,,,,,1390,1455,1345,1410,1390,1455,1345,1410,1440,-,1440,1480,1545,1585,1515,1550,1545,-,1515,1550,1475,-,1575,1620,1565,1590,1475,1520,1575,-,1565,1590
整备质量(kg)_x,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,1480,-,-,-,-,-,-,-,1585,-,-,-,1520,-,-,-,-,-,-,-,1620,-,-
排量(mL),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),2,5,2,5,,,,,2,5,2,5,2,5,2,5,2,2,2,2,2,5,2,5,2,5,2,5,2,2,2,5,2,5,2,2,2,5,2,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1780,1780,1780,1780,,,,,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1830,1830,1845,1845,1830,1830,1845,1845,1780,1780,1830,1830,1845,1845,1780,1780,1830,1830,1845,1845
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1519,1519,1519,1519,,,,,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,,,,,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195/70 R15
后排车门开启方式,-,平开门,-,平开门,,,,,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门,-,平开门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,,,,,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,,,,,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),,,,,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,,,,,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,4J18V,4J18V,DAM16KR,DAM16KR,,,,,4J18V,4J18V,DAM16KR,DAM16KR,4J18V,4J18V,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V,4J18V
发动机,1.8L 139马力 L4,1.8L 139马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,,,,,1.8L 139马力 L4,1.8L 139马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4,1.8L 139马力 L4
