Feature,1014590,1020968,1020969,1020970,1020971,1020972,1020973,1020974,1020975,1020976,1020977,1020978,1020979,1020980,1020981,1020982,1020983,1020984,1020985,1020986,1020987,1020988,1020989,1020990,1020991,1020992,1020993,1020994,1020995,1020996,1020997,1020998,1020999,1021000,1021001,1021002,1021003,1021004,1021005,1021006,1021007,1021008,1021009,1021010,1021011,1021012,1021013,1021014,1021015,1021016
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2990,2700,3400,3400,3400,2700,2990,2990,3400,2990,3400,3400,2990,2990,3400,2990,3400,3400,2700,2990,2990,3400,2900,3400,3400,2700,2990,2990,3400,2990,3400,3400,2990,3400,2990,3400,3400,2990,3400,2990,3400,3400,2990,3400,2990,3400,3400,2990,-,-
轮圈材质,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向辅助灯,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,跨越王X1 2022款 1.2L舒适型载货汽车单排双后轮2990轴距3.05米LJ469Q-AEB,跨越王X1 2025款 1.2L 汽油单排单后轮 2700轴距 2.6米 标准型载货汽车,跨越王X1 2025款 1.6L 汽油单排单后轮 3400轴距 2.55米 标准型载货汽车,跨越王X1 2025款 1.2L 汽油双排双后轮 3400轴距 2.71米 标准型载货汽车,跨越王X1 2025款 1.6L 汽油双排双后轮 3400轴距 2.71米 标准型载货汽车,跨越王X1 2025款 1.2L 汽油单排单后轮 2700轴距 2.6米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油单排单后轮 2990轴距 3.05米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油双排单后轮 2990轴距 2.2米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油双排单后轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油单排双后轮 2990轴距 3.05米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油双排双后轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油双排双后轮 3400轴距 3.71米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油单排单后轮 2990轴距 3.05米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油双 单后轮 2990轴距 2.2米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油双排单后轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油单排双后轮 2990轴距 3.05米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油双排双后轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.6L 汽油双排双后轮 3400轴距 2.71米 舒适型载货汽车,跨越王X1 2025款 1.2L 汽油单排单后轮 2700轴距 2.6米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油单排单后轮 2990轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油双排单后轮 2990轴距 2.2米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油双排单后轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油单排双后轮 2900轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油双排双后轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.2L 汽油双排双后轮 3400轴距 2.71米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油单排单后轮 2700轴距 2.6米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油单排单后轮 2990轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油双排单后轮 2990轴距 2.2米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油双 单后轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油单排双后轮 2990轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油双排双后轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.6L 汽油双排双后轮 3400轴距 2.71米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG东安单排单后轮 2990轴距 3.05米 标准型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排单后轮 3400轴距 2.55米 标准型载货汽车,跨越王X1 2025款 1.6L CNG 东安 单排后双轮 2990轴距 3.05米 标准型 载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.55米 标准型 载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.71米 标准型  载货汽车,跨越王X1 2025款 1.6L CNG 东安 单排单后轮 2990轴距 3.05米 舒适型 载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排单后轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.6L CNG 东安 单排后双轮 2990轴距 3.05米 舒适型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.55米 舒适型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.71米 舒适型载货汽车,跨越王X1 2025款 1.6L CNG 东安 单排单后轮 2990轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排单后轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG 东安 单排后双轮 2990轴距 3.05米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.55米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG 东安 双排后双轮 3400轴距 2.71米 豪华型载货汽车,跨越王X1 2025款 1.6L CNG 单排  2990轴距 2.6米 厢式运输车,跨越王X1 2025款 1.6L  CNG  单后轮3.05米仓栅运输车,跨越王X1 2025款 1.6L 汽油 2.71米 双排 翼开启厢式载货车
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,-,●,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),3050x1500x360x,2600*1500*360,2550*1600*360,2710*1550*360,2710*1550*360,2600*1500*360,3050*1500*360,2200*1500*360,2550*1500*360,3050*1500*360,2550*1550*360,2710*1550*360,3050*1500*360,2200*1500*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,2600*1500*360,3050*1500*360,2200*1500*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,2600*1500*360,3050*1500*360,2200*1500*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,3050*1500*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,3050*1500*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,3050*1550*360,2550*1500*360,3050*1550*360,2550*1550*360,2710*1550*360,3050*1550*1650,3050*1500*360,2710*1560*1650
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,-,-,-,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸排列形式,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
每缸气门数(个),4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),91,91,122,122,122,91,91,91,91,91,91,91,122,122,122,122,122,122,91,91,91,91,91,91,91,122,122,122,122,122,122,122,122,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,122
最大载重质量(kg),745,495,745,1435,1870,495,745,1285,495,745,1435,1435,1495,1310,1305,495,1820,495,495,495,495,495,495,495,495,1495,1495,495,1305,1495,1870,1870,745,745,745,745,745,1685,1430,745,745,745,745,1430,1995,1430,1430,745,1495,495
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,118,118,158,158,158,118,118,118,118,118,118,118,158,158,158,158,158,158,118,118,118,118,118,118,118,158,158,158,158,158,158,158,158,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,158,-
最大扭矩(N·m)_x,118,118,158,158,158,118,118,118,118,118,118,118,158,158,158,158,158,158,118,118,118,118,118,118,118,158,158,158,158,158,158,158,158,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,158,-
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,67,67,90,90,90,67,67,67,67,67,67,67,90,90,90,90,90,90,67,67,67,67,67,67,67,90,90,90,90,90,90,90,90,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,90
最大功率(kW)_x,67,67,90,90,90,67,67,67,67,67,67,67,90,90,90,90,90,90,67,67,67,67,67,67,67,90,90,90,90,90,90,90,90,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,90
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),-,1100,1300,1340,1300,1100,1170,1230,1260,1170,1340,1340,1110,1205,1210,1100,1350,1350,1100,1170,1230,1210,1245,1340,1340,1165,1100,1205,1210,1200,1300,1300,1285,1345,1345,1420,1420,1285,1345,1345,1420,1420,1285,1345,1370,1420,1420,-,1430,1510
排量(mL),1249,1249,1597,1249,1597,1249,1249,1249,1249,1249,1249,1249,1597,1597,1597,1597,1597,1597,1249,1249,1249,1249,1249,1249,1249,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597,1597
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
