Feature,62059,62060,62061,62062,62063,62064,62065,62066,62067,62068,62069,62070,64504,64505,64506,64507,64508,64509,64510,64511,65033,65034,65035,65599,65600,65601,65933,65934,65935,66251,66252,66253,66331,66332,66333,66334,66335,66336
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,-,-,-,-,-,-,-,-,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,MPV,MPV,MPV,MPV,货车,MPV,MPV,MPV,MPV,MPV,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,客车,客车,客车,客车,客车,客车
车身结构_x,5门2座货车,5门2座货车,5门5座MPV,5门9座MPV,5门5座MPV,5门9座MPV,5门2座货车,5门5座MPV,5门9座MPV,5门5座MPV,5门9座MPV,5门9座MPV,7座客车,9座客车,7座客车,9座客车,7座客车,9座客车,7座客车,9座客车,5门7座客车,5门7座客车,5门2座货车,5门5座MPV,5门5座MPV,5门5座MPV,5门7座MPV,5门5座MPV,5门6座MPV,5门9座MPV,5门9座MPV,5门9座MPV,5门5座客车,5门6座客车,5门5座客车,5门6座客车,5门5座客车,5门6座客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,-,-,●,-,-,-,-,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金海狮 2023款 1.6L 厢货工程狮 2座,金海狮 2023款 1.6L 厢货旅行狮 2座,金海狮 2023款 1.5L 客车工程狮 5/6/7座,金海狮 2023款 1.5L 客车工程狮 9座,金海狮 2023款 1.5L 客车旅行狮 5/6/7座中央空调版,金海狮 2023款 1.5L 客车旅行狮 9座中央空调版,金海狮 2023款 2.0L 厢货工程狮 2座,金海狮 2023款 2.0L 客车工程狮 5/6/7座,金海狮 2023款 2.0L 客车工程狮 9座,金海狮 2023款 2.0L 客车旅行狮 5/6/7座,金海狮 2023款 2.0L 客车旅行狮 9座,金海狮 2023款 2.0L 客车魔术狮 9座,金海狮 2024款 1.5L 工程狮营运版7座,金海狮 2024款 1.5L 工程狮营运版9座,金海狮 2024款 1.5L 旅行狮营运版7座,金海狮 2024款 1.5L 旅行狮营运版9座,金海狮 2024款 2.0L 工程狮营运版7座,金海狮 2024款 2.0L 工程狮营运版9座,金海狮 2024款 2.0L 旅行狮营运版7座,金海狮 2024款 2.0L 旅行狮营运版9座,金海狮 2024款 2.0L 旅行狮营运版7座 140L气罐CNG,金海狮 2024款 2.0L 工程狮7座 140L气罐CNG,金海狮 2024款 2.0L 工程狮2座厢货 70L气罐CNG,金海狮 2023款 1.5L 易家宿营车魔盒版 5座,金海狮 2023款 2.0L 易家宿营车魔盒版 5座,金海狮 2023款 2.0L 易家宿营车豪华版 5座,金海狮 2024款 1.5L 魔术狮 7座,金海狮 2024款 1.5L 魔术狮 5座,金海狮 2024款 1.5L 魔术狮 6座,金海狮 2024款 2.0L 工程狮客车9座 CNG,金海狮 2024款 2.0L 旅行狮客车9座 CNG,金海狮 2024款 2.0L 领航狮客车9座 CNG,金海狮 2024款 2.0L 工程狮客车5座 CNG,金海狮 2024款 2.0L 工程狮客车6座 CNG,金海狮 2024款 2.0L 旅行狮客车5座 CNG,金海狮 2024款 2.0L 旅行狮客车6座 CNG,金海狮 2024款 2.0L 领航狮客车5座 CNG,金海狮 2024款 2.0L 领航狮客车6座 CNG
车前雾灯,-,,,,,,-,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2510x1475x1350,2510x1475x1350,-,-,-,-,2510x1475x1350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2510x1475x1350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG
胎压监测功能,-,-,,,,,-,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,-,-,-,-,-,未知,未知,未知,未知,未知,未知,未知,未知,未知,-,-,-,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排独立座椅,-,-,-,-,○,○,-,-,-,○,○,○,-,-,●,●,-,-,●,●,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,,,,,-,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),27,27,27,27,27,27,27,27,27,27,27,27,-,-,-,-,-,-,-,-,-,-,-,27,27,27,27,27,27,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,15,15,15,45,45,45,45,45,45,15,15,15,15,15,15,15,15,15
气罐容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,140,70,-,-,-,-,-,-,140,140,140,140,140,140,140,140,140
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,-,-,-,-,-,-,-,-,L,L,L,L,L,L,L,L,L,-,-,-,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,-,-,-,4,4,4,4,4,4
最高车速(km/h),120,120,120,120,120,120,140,140,140,140,140,140,-,-,-,-,-,-,-,-,-,-,-,120,140,140,120,120,120,-,-,-,-,-,-,-,-,-
最大马力(Ps),120,120,112,112,112,112,150,150,150,150,150,150,112,112,112,112,150,150,150,150,117,117,117,112,150,150,112,112,112,117,117,117,117,117,117,117,117,117
最大载重质量(kg),495,495,-,-,-,-,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),1965,1965,1860,2180,1860,2180,1975,1860,2180,1860,2180,2180,2180,2180,2180,2180,2180,2180,2180,2180,2330,2330,1975,1860,1860,1860,2180,2180,2180,2330,2330,2330,1980,1980,1980,1980,1980,1980
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,155,155,146,146,146,146,200,200,200,200,200,200,146,146,146,146,200,200,200,200,175,175,175,146,200,200,146,146,146,175,175,175,175,175,175,175,175,175
最大扭矩(N·m)_x,155,155,146,146,146,146,200,200,200,200,200,200,146,146,146,146,200,200,200,200,175,175,175,146,200,200,146,146,146,175,175,175,175,175,175,175,175,175
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,88,88,82,82,82,82,110,110,110,110,110,110,82,82,82,82,110,110,110,110,86,86,86,82,110,110,82,82,82,86,86,86,86,86,86,86,86,86
最大功率(kW)_x,88,88,82,82,82,82,110,110,110,110,110,110,82,82,82,82,110,110,110,110,86,86,86,82,110,110,82,82,82,86,86,86,86,86,86,86,86,86
最大净功率(kW),85,85,78,78,78,78,101,101,101,101,101,101,78,78,78,78,101,101,101,101,83,83,83,78,101,101,78,78,78,83,83,83,83,83,83,83,83,83
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1340,1340,1390,1400,1390,1400,1350,1410,1420,1410,1420,1420,1440,1440,1440,1440,1460,1460,1460,1460,1555,1555,1350,1390,1410,1410,1400,1400,1400,1555,1555,1555,1530,1530,1530,1530,1530,1530
接近角(°),25,25,25,25,25,25,25,25,25,25,25,25,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,-,-,-,-,-,-,-,-,-
排量(mL),1599,1599,1499,1499,1499,1499,1988,1988,1988,1988,1988,1988,1499,1499,1499,1499,1988,1988,1988,1988,1988,1988,1988,1499,1988,1988,1499,1499,1499,1988,1988,1988,1988,1988,1988,1988,1988,1988
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,-,-,,,,,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,,-,,-,,-,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,○,○,●,●,-,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,-,○,○,○,●,-,-,○,○,●,○,○,○,○,●,●
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,,,,,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,○,○,●,●,-,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,-,●,●,●,●,-,-,○,○,●,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,-,-,-,-,-,-,-,-,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,-,-,-,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,SWD16F,SWD16F,SWD15F,SWD15F,SWD15F,SWD15F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWD15F,SWD15F,SWD15F,SWD15F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWE20F,SWD15F,SWE20F,SWE20F,SWE15F,SWE15F,SWE15F,SWE20F,SWE20F,SWE20F,SWEC20F,SWEC20F,SWEC20F,SWEC20F,SWEC20F,SWEC20F
