Feature,1011553,1011554,1011555,1011556,1011557,1011558,1011559,1011560,1011561,1011562,1011563,1011564,1011565,1011566,1011567,1011568,1011569,1011570,1011571,1011572,1011573
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,,,,,,,,,,,,
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,,,,,,,,,,,,
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,,,,,,,,,,,,
胎压监测功能,,,,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,,,,,,,,,,,,
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,,,,,,,,,,,,
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,,,,,,,,,,,,
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,,,,,,,,,,,,
第二排座椅调节,,,,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-
空调温度控制方式,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,,,,,,,,,,,,
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,,,,,,,,,,,,
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,,,,,,,,,,,,
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,45,45,45,45,45,,,,,,,,,,,,
气缸数(个),4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
气缸排列形式,L,L,L,L,L,L,L,L,L,,,,,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
最高车速(km/h),105,105,105,105,105,105,105,105,105,,,,,,,,,,,,
最大马力(Ps),99,99,99,99,99,99,99,99,99,,,,,,,,,,,,
最大满载质量(kg),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
最大扭矩转速(rpm),3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,,,,,,,,,,,,
最大扭矩(N·m)_y,135,135,135,135,135,135,135,135,135,,,,,,,,,,,,
最大扭矩(N·m)_x,135,135,135,135,135,135,135,135,135,,,,,,,,,,,,
最大功率转速(rpm),5400,5400,5400,5400,5400,5400,5400,5400,5400,,,,,,,,,,,,
最大功率(kW)_y,73,73,73,73,73,73,73,73,73,,,,,,,,,,,,
最大功率(kW)_x,73,73,73,73,73,73,73,73,73,,,,,,,,,,,,
最大净功率(kW),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1270,1270,1270,1220,1250,1220,1250,1220,1250,,,,,,,,,,,,
排量(mL),1485,1485,1485,1485,1485,1485,1485,1485,1485,,,,,,,,,,,,
挡位个数,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
扬声器数量,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1615,1615,1615,1615,1615,1615,1615,1615,1615,,,,,,,,,,,,
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
安全带未系提醒,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1408,1408,1408,1408,1408,1408,1408,1408,1408,,,,,,,,,,,,
后轮胎规格,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,●,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
后制动器类型,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),,,,,,,,,,,,
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,,,,,,,,,,,,
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,L3C,L3C,L3C,L3C,L3C,L3C,L3C,L3C,L3C,,,,,,,,,,,,
发动机,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,,,,,,,,,,,,
厂商指导价(元),5.10万,5.39万,5.65万,5.10万,5.34万,5.56万,5.59万,5.725万,5.755万,,,,,,,,,,,,
厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,,,,,,,,,,,,
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1386,1386,1386,1386,1386,1386,1386,1386,1386,,,,,,,,,,,,
前轮胎规格,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门形式,,,,,,,,,,,,,,,,,,,,,
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,,,,,,,,,,,,
主座椅调节方式,,,,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,,,,,,,,,,,,
上坡辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NEDC综合油耗(L/100km),6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,,,,,,,,,,,,
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
