Feature,1016884,1016885,1016886,1016887,1016888,1016889,1016890,1016891,1018975,1018976,1018977,1018978,1018979,1018980,1018981,1018982,1018983,1018984,1018985,1018986,1018987,1018988,1018989,1018990,1018991,1018992,1018993,1018994,1018995,1018996,1018997,1018998,1019091,1019092,1019093,1019363,1019364,1019365,1019366,1019367,1019368,1019369,1019370,1019371,1019372,1019373,1019374,1019375,1019376,1019377,1019378,1019379,1019380,1019384,1019385,1019386,1019387
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3150,3150,3050,3050,3150,3150,3050,3050,3050,3275,3275,3275,3275,3275,3275,3050,3050,3050,3275,3275,3275,3275,3275,3275,3150,3275,3150,3150,3275,3275,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3275,3275,3275,3050,3050,3050,3275,3275,3275,3050,3275,3050,3275
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,-,-,-,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,斑马 2024款 1.5L 基本型单排标准栏板,斑马 2024款 1.5L 舒适型单排标准栏板,斑马 2024款 1.5L 基本型单排加长栏板,斑马 2024款 1.5L 舒适型单排加长栏板,斑马 2024款 1.5L 基本型双排标准栏板,斑马 2024款 1.5L 舒适型双排标准栏板,斑马 2024款 1.5L 基本型双排加长栏板,斑马 2024款 1.5L 舒适型双排加长栏板,斑马 2024款 1.5L 单排标准仓栅标准型,斑马 2024款 1.5L 单排标准仓栅经典型,斑马 2024款 1.5L 单排标准仓栅舒适型,斑马 2024款 1.6L 单排加长仓栅标准型,斑马 2024款 1.6L 单排加长仓栅经典型,斑马 2024款 1.6L 单排加长仓栅舒适型,斑马 2024款 1.6L 单排加长宽体仓栅标准型,斑马 2024款 1.6L 单排加长宽体仓栅经典型,斑马 2024款 1.6L 单排加长宽体仓栅舒适型,斑马 2024款 1.5L 双排标准仓栅标准型,斑马 2024款 1.5L 双排标准仓栅经典型,斑马 2024款 1.5L 双排标准仓栅舒适型,斑马 2024款 1.6L 双排加长仓栅标准型,斑马 2024款 1.6L 双排加长仓栅经典型,斑马 2024款 1.6L 双排加长仓栅舒适型,斑马 2024款 1.6L 双排加长宽体仓栅标准型,斑马 2024款 1.6L 双排加长宽体仓栅经典型,斑马 2024款 1.6L 双排加长宽体仓栅舒适型,斑马 2024款 1.6L 单排加长款货车标准型,斑马 2024款 1.6L 双排加长款货车标准型,斑马 2024款 1.6L 单排加长款货车经典型,斑马 2024款 1.6L 单排加长款货车舒适型,斑马 2024款 1.6L 双排加长款货车经典型,斑马 2024款 1.6L 双排加长款货车舒适型,斑马 2024款 单排单臂吊标准型,斑马 2024款 单排单臂吊经典型,斑马 2024款 单排单臂吊舒适型,斑马 2024款 1.5L 单排翼展标准型,斑马 2024款 1.5L 单排翼展经典型,斑马 2024款 1.5L 单排翼展舒适型,斑马 2024款 1.5L 单排冷藏标准型,斑马 2024款 1.5L 单排冷藏经典型,斑马 2024款 1.5L 单排冷藏舒适型,斑马 2024款 1.5L 单排标准-铝塑板厢货标准型,斑马 2024款 1.5L 单排标准-铝塑板厢货经典型,斑马 2024款 1.5L 单排标准-铝塑板厢货舒适型,斑马 2024款 1.6L 单排加长-铝塑板厢货标准型,斑马 2024款 1.6L 单排加长-铝塑板厢货经典型,斑马 2024款 1.6L 单排加长-铝塑板厢货舒适型,斑马 2024款 1.5L 单排标准-瓦楞板厢货标准型,斑马 2024款 1.5L 单排标准-瓦楞板厢货经典型,斑马 2024款 1.5L 单排标准-瓦楞板厢货舒适型,斑马 2024款 1.6L 单排加长-瓦楞板厢货标准型,斑马 2024款 1.6L 单排加长-瓦楞板厢货经典型,斑马 2024款 1.6L 单排加长-瓦楞板厢货舒适型,斑马 2024款 1.5L 标准型单排标准栏板,斑马 2024款 1.5L 标准型单排加长宽体栏板,斑马 2024款 1.5L 标准型双排标准栏板,斑马 2024款 1.5L 标准型双排加长栏板
车前雾灯,-,,-,,-,,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-,,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,-,○,●,○,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),2900x1540x375,2900x1540x375,3250x1540x375,3250x1540x375,2160x1540x375,2160x1540x375,2550x1540x375,2550x1540x375,2900x1540x375,2900x1540x375,2900x1540x375,3115x1540x375,3115x1540x375,3115x1540x375,3115x1690x375,3115x1690x375,3115x1690x375,2160x1540x375,2160x1540x375,2160x1540x375,2415x1540x375,2415x1540x375,2415x1540x375,2415x1690x375,2415x1690x375,2415x1690x375,3250×1540×375,2550×1540×375,3250×1540×375,3250×1540×375,2550×1540×375,2550×1540×375,2900*1540*375,2900*1540*375,2900*1540*375,2740*1530*1640,2740*1530*1640,2740*1530*1640,2650*1450*1445,2650*1450*1445,2650*1450*1445,2770*1530*1640,2770*1530*1640,2770*1530*1640,3120*1550*1575,3120*1550*1575,3120*1550*1575,2780*1595*1610,2780*1595*1610,2780*1595*1610,3130*1595*1610,3130*1595*1610,3130*1595*1610,2900*1540*375,2900*1540*375,2900*1540*375,2900*1540*375
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,-,,-,,-,,-,,-,,,-,,,-,,,-,,,-,,,-,,,-,-,,,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,-,-,-,43,43,43,-,-,-,43,43,-,43,43,43,43
气缸数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
最小转弯半径(m),5.8,5.8,5.83,5.83,5.8,5.8,5.83,5.83,5.8,5.8,5.8,5.83,5.83,5.83,5.83,5.83,5.83,5.8,5.8,5.8,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.83,5.83,5.83,5.8,5.8,5.8,5.83,5.83,5.83,5.8,5.8,5.8,5.8
最小离地间隙(mm),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
最大马力(Ps),116,116,116,116,116,116,116,116,112,112,112,122,122,122,122,122,122,112,112,112,122,122,122,122,122,122,122,122,122,122,122,122,116,116,116,116,116,116,116,116,116,116,116,116,122,122,122,116,116,116,122,122,122,112,116,112,116
最大载重质量(kg),995,995,920,920,715,715,655,655,805,805,805,910,910,910,910,910,910,555,555,555,660,660,660,660,660,660,890,625,890,890,625,625,870,870,870,1065,1065,1065,910,910,910,1075,1075,1075,915,915,915,925,925,925,865,865,865,870,870,870,870
最大满载质量(kg),2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2375,2375,2375,2375,2375,2375,2220,2220,2220,2375,2375,2375,2375,2375,2375,2220,2220,2220,2220,2220,2220,2220,2220,2220,2505,2505,2505,2505,2505,2505,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2220,2220,2220,2220
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000,4000,4000,4000,4000,4000,4900,4900,4900,4900,4900,4900,4900,4900,4900,-,-,-,4000,4000,4000,-,-,-,4000,4000,4000,4000,4900,4000,4900
最大扭矩(N·m)_y,150,150,150,150,150,150,150,150,146,146,146,158,158,158,158,158,158,146,146,146,158,158,158,158,158,158,158,158,158,158,158,158,150,150,150,150,150,150,150,150,150,150,150,150,158,158,158,150,150,150,158,158,158,146,150,146,150
最大扭矩(N·m)_x,150,150,150,150,150,150,150,150,146,146,146,158,158,158,158,158,158,146,146,146,158,158,158,158,158,158,158,158,158,158,158,158,150,150,150,150,150,150,150,150,150,150,150,150,158,158,158,150,150,150,158,158,158,146,150,146,150
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,6000,6000,6000,6000,6000,-,-,-,-,-,-,-,-,-,-,-,-,6000,6000,6000,-,-,-,6000,6000,-,-,-,-,-
最大功率(kW)_y,85,85,85,85,85,85,85,85,82,82,82,90,90,90,90,90,90,82,82,82,90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85,85,85,85,85,85,85,85,85,90,90,90,85,85,85,90,90,90,82,85,82,85
最大功率(kW)_x,85,85,85,85,85,85,85,85,82,82,82,90,90,90,90,90,90,82,82,82,90,90,90,90,90,90,90,90,90,90,90,90,85,85,85,85,85,85,85,85,85,85,85,85,90,90,90,85,85,85,90,90,90,82,85,82,85
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,85,85,85,85,85,-,-,-,-,-,-,-,-,-,-,-,-,85,85,85,-,-,-,85,85,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
