Feature,1015999,1016986,1017022,1017023,1017521,1017619,1017620,1019084,1019085,1019086,1020360,1020361,1020362,1020363,1020364,1020365,1020366,1020367
电池慢充电量范围(%)_y,-,-,-,-,-,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,20-100,20-100
电池慢充电量范围(%)_x,-,-,-,-,-,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,20-100,-,20-100,20-100
电池慢充时间(小时)_y,-,-,-,-,-,5,5,6,6,6,4,5,5,5,5,-,6,6
电池慢充时间(小时)_x,-,-,-,-,-,5,5,6,6,6,4,5,5,5,5,-,6,6
电池快充电量范围(%)_y,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电池快充时间(小时)_x,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),122,122,122,122,122,163,163,163,163,163,122,163,163,163,163,122,163,163
电动机总扭矩(N·m),190,190,190,190,190,240,240,240,240,240,190,240,240,240,240,190,240,240
电动机总功率(kW),90,90,90,90,90,120,120,120,120,120,90,120,120,120,120,90,120,120
电动机(Ps),122,122,122,122,122,163,163,163,163,163,122,163,163,163,163,122,163,163
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,○,○
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,,-,-,,,,,,,,,,,
最高车速(km/h),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
最大载重质量(kg),1420,1210,1210,1420,-,1470,1620,-,-,-,1210,1465,1465,1470,1470,-,-,-
最大爬坡角度(°),25,25,25,25,25,30,30,30,30,30,-,-,-,-,-,-,-,-
最大爬坡度(%),-,-,-,-,-,-,-,-,-,-,25,30,30,30,30,25,30,30
最大满载质量(kg),3050,3050,3050,3050,3050,3500,3500,3495,3495,2870,3050,3500,3500,3500,3500,3050,3495,3495
最大扭矩(N·m),190,190,190,190,190,240,240,240,240,240,190,240,240,240,240,190,240,240
最大功率(kW),90,90,90,90,90,120,120,120,120,120,90,120,120,120,120,90,120,120
无钥匙进入功能,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,,,,,,,,,,,,,,,,,,
整备质量(kg),1645,1500,1500,1645,1800,1750,1795,1960,1960,2060,1500,1750,1750,1750,1750,1630,1960,1960
接近角(°),-,-,-,-,-,-,-,-,-,-,26,26,26,26,26,26,25,25
换挡形式,-,-,-,-,,-,-,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,-,,,,,-,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,-,-,-,-,,-,-,,,,-,,,,,-,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
对外放电,-,-,-,-,-,○,○,-,-,-,○,○,○,○,○,-,-,-
对外交流放电功率(kW),-,-,-,-,-,6.6,6.6,-,-,-,6.6,6.6,6.6,6.6,6.6,-,6.6,6.6
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●
大灯延时关闭,-,-,-,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,-,,,,,,,
备胎规格,,,,,,,,,,,-,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,1650,1650,1650,1650,1650,1650,1650,1650
后轮胎规格,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.78万,15.38万,15.78万,16.18万,16.58万,16.98万,17.38万,18.08万,18.38万,20.68万,8.88万,13.78万,14.08万,14.08万,14.38万,9.48万,15.48万,15.78万
厂商,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通
卫星导航系统,●,●,●,●,○,●,●,○,○,●,-,○,○,○,○,-,○,○
助力类型,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,1650,1650,1650,1650,1650,1650,1650,1650
前轮胎规格,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),190,190,190,190,190,240,240,240,240,240,190,240,240,240,240,190,240,240
前电动机最大功率(kW),90,90,90,90,90,120,120,120,120,120,90,120,120,120,120,90,120,120
前方碰撞预警,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,○,○
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
侧滑门形式,,,,,,,,,,,,,,,,,,
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,-,,,,,-,,
中控屏幕尺寸,-,-,-,-,,-,-,,,,-,,,,,-,,
上市时间,2023.09,2023.09,2023.09,2023.09,2024.04,2024.01,2024.01,2024.07,2024.07,2024.07,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02
USB/Type-C接口数量,-,-,-,-,,-,-,,,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,-,●,●
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ETC装置,-,-,-,-,○,-,-,○,○,○,○,○,○,○,○,○,○,○
CLTC纯电续航里程(km)_y,260,290,305,270,350,320,305,403,385,405,290,310,300,320,305,301,403,385
CLTC纯电续航里程(km)_x,260,290,305,270,350,320,305,403,385,405,290,310,300,320,305,301,403,385
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,-,-,-,-,,-,-,,,,-,,,,,-,,
