Feature,1012062,1012189,1012190,1012191,1012192,1012193,1012194,1012195,1012196,1012197,1012198,1012199,1012200,1012201,1012202,1012203,1012204,1012205,1012206,1012207,1016258,1016259,1016260,1016261,1016262,1016263,1016264,1016265,1016266,1016267,1016268,1016269,1016270,1016271,1016272,1016273,1016274,1016275,1016276,1016277,1016992,1016993,1016994,1016995,1016996,1016997,1016998,1016999,1017000,1017001,1017139,1017140,1017513,1017514,1017515,1017516
轴距(mm),3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3085,3085,3085,3350,3350,3350,3085,3085,3085,3350,3350,3350,3085,3085,3350,3350,3085,3085,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3085,3350,3085,3085,3085,3085
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,-,-,-,-,-,○,○,●,●,●,●,●,●,●,●,-,-,●,-,-,●,○,-,●,○,-,●,●,●,●,●,●,●,●,●,-,-,●,○,-,●,●,●,●,●,○,●,-,-,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,域虎7 2022款 2.0T自动柴油四驱尊享型标轴,域虎7 2022款 2.0T自动柴油四驱尊享型长轴,域虎7 2022款 2.0T手动柴油四驱尊享型标轴,域虎7 2022款 2.0T手动柴油四驱尊享型长轴,域虎7 2022款 2.0T手动柴油四驱舒享型标轴,域虎7 2022款 2.0T手动柴油四驱舒享型长轴,域虎7 2022款 2.0T手动柴油两驱舒享型标轴,域虎7 2022款 2.0T手动柴油两驱舒享型长轴,域虎7 2022款 2.0T自动柴油四驱舒享型标轴,域虎7 2022款 2.0T自动柴油四驱舒享型长轴,域虎7 2022款 2.0T自动柴油两驱舒享型标轴,域虎7 2022款 2.0T自动柴油两驱舒享型长轴,域虎7 2022款 2.0T自动汽油四驱舒享型标轴JX4G20A6L,域虎7 2022款 2.0T自动汽油四驱舒享型长轴JX4G20A6L,域虎7 2022款 2.0T自动汽油两驱舒享型标轴JX4G20A6L,域虎7 2022款 2.0T自动汽油两驱舒享型长轴JX4G20A6L,域虎7 2022款 2.0T手动汽油四驱舒享型标轴JX4G20A6L,域虎7 2022款 2.0T手动汽油四驱舒享型长轴JX4G20A6L,域虎7 2022款 2.0T手动汽油两驱舒享型标轴JX4G20A6L,域虎7 2022款 2.0T手动汽油两驱舒享型长轴JX4G20A6L,域虎7 2023款 2.0T手动柴油两驱舒享型标轴,域虎7 2023款 2.0T手动柴油四驱舒享型标轴,域虎7 2023款 2.0T手动柴油四驱尊享型标轴,域虎7 2023款 2.0T手动柴油两驱舒享型长轴,域虎7 2023款 2.0T手动柴油四驱舒享型长轴,域虎7 2023款 2.0T手动柴油四驱尊享型长轴,域虎7 2023款 2.0T自动柴油两驱舒享型标轴,域虎7 2023款 2.0T自动柴油四驱舒享型标轴,域虎7 2023款 2.0T自动柴油四驱尊享型标轴,域虎7 2023款 2.0T自动柴油两驱舒享型长轴,域虎7 2023款 2.0T自动柴油四驱舒享型长轴,域虎7 2023款 2.0T自动柴油四驱尊享型长轴,域虎7 2023款 2.0T手动汽油两驱舒享型标轴,域虎7 2023款 2.0T手动汽油四驱舒享型标轴,域虎7 2023款 2.0T手动汽油两驱舒享型长轴,域虎7 2023款 2.0T手动汽油四驱舒享型长轴,域虎7 2023款 2.0T自动汽油两驱舒享型标轴,域虎7 2023款 2.0T自动汽油四驱舒享型标轴,域虎7 2023款 2.0T自动汽油两驱舒享型长轴,域虎7 2023款 2.0T自动汽油四驱舒享型长轴,域虎7 2023款 2.0T手动柴油两驱舒享型长轴平底货箱,域虎7 2023款 2.0T手动柴油四驱舒享型长轴平底货箱,域虎7 2023款 2.0T手动柴油四驱尊享型长轴平底货箱,域虎7 2023款 2.0T自动柴油两驱舒享型长轴平底货箱,域虎7 2023款 2.0T自动柴油四驱舒享型长轴平底货箱,域虎7 2023款 2.0T自动柴油四驱尊享型长轴平底货箱,域虎7 2023款 2.0T手动汽油两驱舒享型长轴平底货箱,域虎7 2023款 2.0T手动汽油四驱舒享型长轴平底货箱,域虎7 2023款 2.0T自动汽油两驱舒享型长轴平底货箱,域虎7 2023款 2.0T自动汽油四驱舒享型长轴平底货箱,域虎7 2023款 2.0T自动柴油两驱豪华版标轴,域虎7 2023款 2.0T手动汽油四驱豪华型长轴,域虎7 2023款 2.0T手动柴油四驱臻享型标轴,域虎7 2023款 2.0T自动柴油四驱臻享型标轴,域虎7 2023款 2.0T手动汽油四驱臻享型标轴,域虎7 2023款 2.0T自动汽油四驱臻享型标轴
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1475x1475x500,1475x1475x500,1820x1475x500,1820x1475x500,1820x1475x500,1475x1475x500,1475x1475x500,1475x1475x500,1820x1475x500,1820x1475x500,1820x1475x500,1475x1475x500,1475x1475x500,1820x1475x500,1820x1475x500,1475x1475x500,1475x1475x500,1820x1475x500,1820x1475x500,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1820x1475x460,1475x1475x500,1820x1475x500,1475x1475x500,1475x1475x500,1475x1475x500,1475x1475x500
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,○,○,●,○,○,●,○,○,●,○,○,○,○,○,○,○,○,○,○,●,○,○,●,○,○,○,○,●,○,●,●,●,●
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),86,86,86,86,86,86,86,86,86,86,86,86,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,86,86,86,86,86,86,86,86,86,86,86,86,83.1,83.1,83.1,83.1,83.1,83.1,83.1,83.1,86,86,86,86,86,86,83.1,83.1,83.1,83.1,86,83.1,86,86,83.1,83.1
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,汽油,柴油,柴油,汽油,汽油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,汽油,柴油,柴油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),86,86,86,86,86,86,86,86,86,86,86,86,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,86,86,86,86,86,86,86,86,86,86,86,86,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,86,86,86,86,86,86,87.5,87.5,87.5,87.5,86,87.5,86,86,87.5,87.5
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铸铁,铝合金,铸铁,铸铁,铝合金,铝合金
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,6挡手动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,-,-,-,-,-,-,○,○,●,●,●,●,●,●,●,●,-,-,●,-,-,●,○,-,●,○,-,●,●,●,●,●,●,●,●,●,-,-,●,○,-,●,●,●,●,●,○,●,-,-,●,●
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,0号,92号,0号,0号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),141,141,141,141,141,141,141,141,141,141,141,141,220,220,220,220,220,220,220,220,141,141,141,141,141,141,141,141,141,141,141,141,220,220,220,220,220,220,220,220,141,141,141,141,141,141,220,220,220,220,141,220,141,141,220,220
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,2000-3500,2000-3500,2000-3500,2000-3500,1600-2400,2000-3500,1600-2400,1600-2400,2000-3500,2000-3500
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5500,5500,5500,5500,5500,5500,5500,5500,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,5500,5500,5500,5500,5500,5500,5500,5500,3600,3600,3600,3600,3600,3600,5500,5500,5500,5500,3600,5500,3600,3600,5500,5500
最大功率(kW)_y,104,104,104,104,104,104,104,104,104,104,104,104,162,162,162,162,162,162,162,162,104,104,104,104,104,104,104,104,104,104,104,104,162,162,162,162,162,162,162,162,104,104,104,104,104,104,162,162,162,162,104,162,104,104,162,162
