Feature,63820,65554,65555,69238,69497,69818,69819,69820,70238,70350,70351,70414,71137
最大扭矩(N·m),275,275,275,275,275,275,275,275,275,275,275,275,275
最大功率(kW),160,160,160,160,155,155,160,160,160,155,160,155,160
无钥匙进入功能,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,
整备质量(kg),1821,1821,1821,1821,1750,1750,1821,1821,1842,1750,1842,1750,1842
摄像头数量,,,,,,,,,,,,,
接近角(°),18,18,18,18,18,18,18,18,18,18,18,18,18
换挡形式,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,,-,-,-,-,-,-,-,,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,,,,-,
手机APP远程功能,,,,,,,,,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,,,,,,,,
感应后备厢,-,-,-,-,-,-,-,-,●,-,-,-,-
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),100,100,100,100,100,100,100,100,100,100,100,100,100
循迹倒车,●,-,-,-,-,-,-,-,●,-,-,-,-
座椅材质,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,
应用商店,-,-,-,-,-,-,-,-,●,●,●,-,●
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
官方0-50km/h加速(s),4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
官方0-100km/h加速(s),8,8,8,8,8.8,8.8,8,8,8,8.8,8,8.8,8
安全带未系提醒,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,
场景灯语,-,-,-,-,-,-,-,-,●,-,-,-,-
地图品牌,,,,,,,,,,,,,
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643
后轮胎规格,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,-,●,-,-,-,-,●,●,-,●,-,●
后排投影系统,-,-,-,-,-,-,-,-,-,-,-,-,●
后排座椅放倒形式,,,,,,,,,,,,,
后排侧窗遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,
后悬架类型,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),490,490,490,490,490,490,490,490,490,490,490,490,490
后制动器类型,,,,,,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.99万,14.19万,14.99万,14.19万,13.49万,15.99万,16.99万,18.99万,15.99万,13.99万,14.99万,19.98万,17.99万
厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●
单踏板模式,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,
前轮距(mm),1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
前轮胎规格,,,,,,,,,,,,,
前电动机最大扭矩(N·m),275,275,275,275,275,275,275,275,275,275,275,275,275
前电动机最大功率(kW),160,160,160,160,155,155,160,160,160,155,160,155,160
前电动机型号,TZ200XS2GY,TZ200XS2GY,TZ200XS2GY,TZ200XS2GY,TZ200XS3GY,TZ200XS3GY,TZ200XS2GY,TZ200XS2GY,TZ200XS2GY,TZ200XS3GY,TZ200XS2GY,TZ200XS3GY,TZ200XS2GY
前电动机品牌,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技,智新科技
前方碰撞预警,●,-,●,-,-,-,-,●,●,-,●,-,●
前方感知摄像头像素,-,-,-,-,-,-,-,-,,-,,-,
前方感知摄像头,,-,,-,-,-,-,,,-,,-,
前排座椅功能,,-,-,-,-,-,-,-,,-,-,-,-
前悬架类型,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,-,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,●,-,-,-,-,-
内后视镜功能,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●
仪表盘屏幕材质,,,,,,,,,,,,,
主座椅调节方式,,,,,,,,,,,,,
主动闭合式进气格栅,●,●,●,-,-,-,-,●,-,-,-,●,-
主动刹车/主动安全系统,●,-,●,-,-,-,-,●,●,-,●,-,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,-,-,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,
中控屏幕类型,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,
中控屏幕分辨率,,,,,,,,,,,,,
上市时间,2023.11,2023.11,2023.11,2024.07,2024.08,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.12
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,,,,,,
Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●
CLTC纯电续航里程(km)_y,520,520,520,520,450,450,520,520,520,450,520,450,520
CLTC纯电续航里程(km)_x,520,520,520,520,450,450,520,520,520,450,520,450,520
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,●
