Feature,62488,63158,63473,63474,63475,63487,63488,63489,64145,64146,66504,66556,66557,67998
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
热泵空调,○,●,-,-,●,-,-,○,○,○,○,○,●,●
灯光特色功能,-,,-,-,-,-,-,-,-,-,-,-,-,
激光雷达线数,-,,-,-,-,-,-,-,-,-,-,-,-,
激光雷达点云数量,-,,-,-,-,-,-,-,-,-,-,-,-,
激光雷达数量,-,,-,-,-,-,-,-,-,-,-,-,-,
激光雷达品牌,-,,-,-,-,-,-,-,-,-,-,-,-,
激光雷达10%反射率探测距离,-,,-,-,-,-,-,-,-,-,-,-,-,
满载最小离地间隙(mm),140,-,140,140,140,140,140,140,140,140,140,140,140,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,
毫米波雷达数量,,,-,,,-,,,,,,,,
模拟声浪,-,-,-,-,-,-,-,-,-,-,●,●,●,-
最高车速(km/h),180,200,180,180,180,180,180,180,180,180,180,180,180,200
最大满载质量(kg),2480,2565,-,-,2695,2350,2350,2460,-,2460,2460,2350,2480,2435
最大扭矩(N·m),360,655,360,360,720,360,360,360,360,360,360,360,360,370
最大功率(kW),160,473,160,160,320,175,175,175,160,175,175,175,160,252
无钥匙进入功能,,,,,,,,,,,,,,
无钥匙启动系统,●,●,-,●,●,-,●,●,●,●,●,●,●,●
方向盘记忆,○,●,-,-,●,-,-,○,○,○,-,-,○,●
方向盘离手检测,-,●,-,-,-,-,-,-,-,-,-,-,-,○
方向盘材质,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,●,●,-,○,●,-,○,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,
整备质量(kg),2030,2115,-,-,2245,1900,1900,2010,-,2010,2010,1900,2030,1985
摄像头数量,,,,,,,,,,,,,,
接近角(°),16,13.5,16,16,16,16,16,16,16,16,16,16,16,13.5
换挡形式,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,
扬声器品牌名称,,,-,,,-,,,,,,,,
手机无线充电功能,,,-,,,-,,,,,,,,
手机无线充电功率,-,-,-,-,-,-,-,-,-,-,,,,
手机互联/映射,,,,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,,,,
手势控制,-,●,-,-,-,-,-,-,-,-,-,-,-,●
慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
感应雨刷功能,,,,,,,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●
快充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
快充功率(kW),-,180,-,-,100,-,-,-,-,-,100,100,100,-
座椅材质,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,
应用商店,-,-,-,-,-,-,-,-,-,-,-,-,-,●
并线辅助,●,●,-,-,●,-,-,●,-,-,-,-,●,●
巡航系统,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),6.6,3.5,3.5,3.5,6.6,6.6,6.6,6.6,3.5,6.6,6.6,6.6,6.6,3.5
宽度(mm),1940,1960,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1960
官方0-100km/h加速(s),8.3,3.5,7.7,7.7,4.2,7.7,7.7,8.3,8.3,8.3,8.3,7.7,8.3,6.4
安全带未系提醒,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多指飞屏操控,●,-,-,-,●,●,●,●,-,●,●,●,●,-
多媒体/充电接口,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,
地图品牌,,,,,,,,,,,,,,
四驱形式,-,,-,-,,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640
后轮胎规格,,,,,,,,,,,,,,
后电动机最大扭矩(N·m),-,370,-,-,360,-,-,-,-,-,-,-,-,370
后电动机最大功率(kW),-,252,-,-,160,-,-,-,-,-,-,-,-,252
后方碰撞预警,●,●,-,-,●,-,-,●,-,-,-,-,●,●
后排独立空调,●,-,-,○,●,-,○,●,●,●,●,○,●,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,●,●,-,○,●,-,○,●,●,●,●,○,●,●
后排座椅放倒形式,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),560-1300,550-1290,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,560-1300,550-1290
后制动器类型,,,,,,,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),26.38万,32.98万,18.98万,20.98万,28.98万,18.98万,20.98万,26.38万,24.98万,24.98万,22.78万,20.98万,26.38万,25.68万
厂商,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源,北汽新能源
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
单踏板模式,●,●,●,●,●,●,●,●,●,●,●,●,●,●
匝道自动驶出(入),-,●,-,-,-,-,-,-,-,-,-,-,-,●
助力类型,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,
前轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
前轮胎规格,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),360,285,360,360,360,360,360,360,360,360,360,360,360,-
前电动机最大功率(kW),160,221,160,160,160,175,175,175,160,175,175,175,160,-
前方碰撞预警,●,●,-,●,●,-,●,●,●,●,●,●,●,●
前方感知摄像头,-,,-,-,-,-,-,-,-,-,-,-,-,
前排座椅功能,,,-,,,-,,,,,,,,
前悬架类型,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,●,●,-,●,●,-,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,-,-,●,-,-,●,-,-,-,-,●,●
信号灯识别,-,●,-,-,-,-,-,-,-,-,-,-,-,●
侧窗多层隔音玻璃,,,,,,-,,,,,,,,
低速行车警告,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,,,,,,
主动闭合式进气格栅,●,●,-,●,●,-,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,-,●,●,-,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,
中控屏幕分辨率,-,-,-,-,-,-,-,-,-,-,-,-,-,
中控屏幕像素密度,-,-,-,-,-,-,-,-,-,-,,,,
上市时间,2023.06,2023.05,2023.06,2023.06,2023.06,2023.06,2023.06,2023.06,2023.08,2023.08,2024.01,2024.01,2024.01,2024.04
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●
三电首任车主质保政策,,-,-,-,,,,,-,,,,,-
三电系统质保,,,,,,,,,,,,,,
Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●
USB/Type-C接口数量,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,-
NEDC纯电续航里程(km)_y,-,500,-,-,-,-,-,-,-,-,-,-,-,-
NEDC纯电续航里程(km)_x,-,500,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,●,-,○,●,-,○,●,-,-,-,○,●,●
DOW开门预警,●,●,-,-,●,-,-,●,-,-,-,-,●,●
CLTC纯电续航里程(km)_y,735,-,525,525,603,525,525,735,735,735,650,525,735,602
CLTC纯电续航里程(km)_x,735,-,525,525,603,525,525,735,735,735,650,525,735,602
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,,
220V/230V电源,●,-,-,○,●,-,○,●,●,●,●,●,●,-
