Feature,1010589,1010590,1010591,1010592,1010593,1010594,1010595,1010596,1010597,1010598,1010599,1010600,1010601,1010602,1010603,1010604,1010605,1010606,1010607,1010608,1010609,1010610,1010611,1010612,1010613,1010614,1010615,1010616,1010617,1010618,1010619,1010620,1010621,1010622,1010623,1010624,1010625,1010626,1010627,1010628,1010629,1010630,1010631,1010632,1010633,1010634,1010635,1010636,1010637,1010638,1010639,1010640,1010641,1010642,1010643,1010644,1010645,1010646,1010647,1010648,1010649,1010650,1010651,1010652,1010653,1010654,1010655,1010656,1010657,1010658,1010659,1010660,1010661,1010662,1010663,1010664,1010665,1010666,1010670,1010671,1010672,1010673,1011979,1011980,1011981,1011983,1011985,1011987,1011988,1011989,1011991,1011992,1011994,1011995,1014819,1014820,1014821,1014822,1014823,1014824,1014825,1014826,1014827,1014828,1015770
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2933,2933,3750,3750,2933,2933,3750,3750,2933,3750,3750,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,3750,3750,3750,3750,2933,2933,2933,3750,3750,2933,3750,3750,3750,3750,3750,3750,3750,3750,2933,2933,2933,3750,3750,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,3750,3750,2933,2933,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3750
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,新世代全顺 2021款 2.2T（包）自动豪华型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T（包）自动豪华型客车Pro短轴7座低顶国VI,新世代全顺 2021款 2.2T（包）自动豪华型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动豪华型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T自动豪华型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T自动豪华型客车Pro短轴7座低顶国VI,新世代全顺 2021款 2.2T自动豪华型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T自动豪华型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro长轴15座高顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro加长轴后双胎(无侧拉门)17座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro加长轴后双胎(无侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro加长轴后双胎(带侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T（包）自动普通型客车Pro短轴11座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro长轴15座高顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro5.9米长轴后双胎15座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro5.9米长轴后双胎15座高顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro加长轴后双胎(无侧拉门)17座中顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro加长轴后双胎(无侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro加长轴后双胎(带侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T自动普通型客车Pro短轴11座中顶国VI,新世代全顺 2021款 2.2T手动豪华型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T手动豪华型客车Pro短轴7座低顶国VI,新世代全顺 2021款 2.2T手动豪华型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动豪华型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro短轴7座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro长轴15座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro长轴15座高顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro5.9米长轴后双胎15座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro5.9米长轴后双胎15座高顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro加长轴后双胎(无侧拉门)17座中顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro加长轴后双胎(无侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro加长轴后双胎(带侧拉门)17座高顶国VI,新世代全顺 2021款 2.2T手动普通型客车Pro短轴11座中顶国VI,新世代全顺 2021款 2.2T自动物流车Pro短轴6座低顶国VI,新世代全顺 2021款 2.2T自动物流车Pro短轴6座中顶国VI,新世代全顺 2021款 2.2T自动物流车Pro长轴7座中顶国VI,新世代全顺 2021款 2.2T自动物流车Pro长轴7座高顶国VI,新世代全顺 2021款 2.2T自动物流车Pro5.9米长轴后双胎6座中顶国VI,新世代全顺 2021款 2.2T自动物流车Pro5.9米长轴后双胎7座中顶国VI,新世代全顺 2021款 2.2T自动物流车Pro5.9米长轴后双胎6座高顶国VI,新世代全顺 2021款 2.2T自动物流车Pro5.9米长轴后双胎7座高顶国VI,新世代全顺 2021款 2.2T手动物流车Pro短轴6座低顶国VI,新世代全顺 2021款 2.2T手动物流车Pro短轴6座中顶国VI,新世代全顺 2021款 2.2T手动物流车Pro长轴7座中顶国VI,新世代全顺 2021款 2.2T手动物流车Pro长轴7座高顶国VI,新世代全顺 2021款 2.2T手动物流车Pro5.9米长轴后双胎6座中顶国VI,新世代全顺 2021款 2.2T手动物流车Pro5.9米长轴后双胎7座中顶国VI,新世代全顺 2021款 2.2T手动物流车Pro5.9米长轴后双胎6座高顶国VI,新世代全顺 2021款 2.2T手动物流车Pro5.9米长轴后双胎7座高顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro短轴3座低顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro短轴3座中顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro长轴3座中顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro长轴3座高顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro加长轴后双胎3座中顶国VI,新世代全顺 2021款 2.2T（包）自动厢式货车Pro加长轴后双胎3座高顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro短轴3座低顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro短轴3座中顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro长轴3座中顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro长轴3座高顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro5.9米长轴后双胎3座中顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro5.9米长轴后双胎3座高顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro加长轴后双胎3座中顶国VI,新世代全顺 2021款 2.2T自动厢式货车Pro加长轴后双胎3座高顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro短轴3座低顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro短轴3座中顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro长轴3座中顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro长轴3座高顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro5.9米长轴后双胎3座中顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro5.9米长轴后双胎3座高顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro加长轴后双胎3座中顶国VI,新世代全顺 2021款 2.2T手动厢式货车Pro加长轴后双胎3座高顶国VI,新世代全顺 2021款 2.2T（包）自动物流车Pro短轴6座低顶国VI,新世代全顺 2021款 2.2T（包）自动物流车Pro短轴6座中顶国VI,新世代全顺 2021款 2.2T（包）自动物流车Pro长轴7座中顶国VI,新世代全顺 2021款 2.2T（包）自动物流车Pro长轴7座高顶国VI,新世代全顺 2021款 2.2T自动普通型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动普通型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动普通型高级营运客车Pro5.9米带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T自动豪华型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动豪华型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T（包）自动豪华型高级营运客车Pro5.9米带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动豪华型高级营运客车Pro长轴带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T自动豪华型高级营运客车Pro5.9米后双胎带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动豪华型高级营运客车Pro5.9米后双胎带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T手动普通型高级营运客车Pro5.9米后双胎带机械踏板9座中顶国VI,新世代全顺 2021款 2.2T自动普通型高级营运客车Pro5.9米后双胎带机械踏板9座中顶国VI,新世代全顺 2022款 2.2T手动物流车Pro中轴7座中高顶,新世代全顺 2022款 2.2T手动物流车Pro中轴7座高顶,新世代全顺 2022款 2.2T自动物流车Pro中轴7座中高顶,新世代全顺 2022款 2.2T自动物流车Pro中轴7座高顶,新世代全顺 2022款 2.2T手动普通型客车Pro中轴9座中高顶,新世代全顺 2022款 2.2T手动普通型客车Pro中轴9座高顶,新世代全顺 2022款 2.2T自动普通型客车Pro中轴9座中高顶,新世代全顺 2022款 2.2T自动普通型客车Pro中轴9座高顶,新世代全顺 2022款 2.2T手动豪华型客车Pro中轴9座中高顶,新世代全顺 2022款 2.2T自动豪华型客车Pro中轴9座高顶,新世代全顺 2023款 2.2T自动普通型客车长轴后双胎10-15座高顶
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
