Feature,1013289,1013290,1013291,1013292,1013293,1013294,1013295,1013297,1013298,1013299,1013300,1013301,1013302,1013303,1013304,1013305,1013306,1013307,1013308,1013309,1013310,1013311,1015322,1015323,1016740,1016741,1016742,1016743,1016952,1017722,1017723,1017724,1017725,1017726,1017727,1017728,1017729,1017730,1017731,1017732,1017733,1017734,1017735,1017736,1017737,1017738,1017739,1017740,1017741,1017742,1017743,1017744,1017745
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2570,2570,2570,2570,2570,2570,2570,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,2570,2570,2570,3050,3050,2570,2570,2570,2570,2570,2570,2570,2570,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,2570
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
车身结构_y,货车,货车,客车,客车,货车,货车,客车,货车,货车,客车,客车,货车,货车,客车,客车,客车,客车,货车,货车,客车,货车,客车,货车,货车,货车,货车,客车,客车,客车,货车,货车,客车,客车,货车,货车,客车,客车,货车,客车,货车,货车,客车,客车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车
车身结构_x,货车,货车,客车,客车,货车,货车,客车,货车,货车,客车,客车,货车,货车,客车,客车,客车,客车,货车,货车,客车,货车,客车,货车,货车,货车,货车,客车,客车,客车,货车,货车,客车,客车,货车,货车,客车,客车,货车,客车,货车,货车,客车,客车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,风景G7 2022款 2.4L汽油商运版短轴低顶厢货2座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴低顶厢货4/5座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴低顶明窗6座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴低顶明窗10座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴高顶厢货2座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴高顶厢货4/5座4K22D4M,风景G7 2022款 2.4L汽油商运版短轴高顶明窗6座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴低顶厢货2座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴低顶厢货4/5座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴低顶明窗6座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴低顶明窗10座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴高顶厢货2座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴高顶厢货4/5座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴高顶明窗6座4K22D4M,风景G7 2022款 2.4L汽油商运版长轴高顶明窗10座4K22D4M,风景G7 2022款 2.4L汽油商旅版长轴高顶客车10/12座4K22D4M,风景G7 2022款 2.4L汽油商旅版长轴高顶营运客车10/11座4K22D4M,风景G7 2022款 2.0T柴油商运版长轴高顶厢货2座D20TCIF1,风景G7 2022款 2.0T柴油商运版长轴高顶厢货4/5座D20TCIF1,风景G7 2022款 2.0T柴油商运版长轴高顶明窗6座D20TCIF1,风景G7 2022款 2.4L汽油专业版长轴高顶厢货2座4K22D4M,风景G7 2022款 2.4L汽油专业版长轴高顶明窗10座4K22D4M,风景G7 2023款 2.4L CNG商运版长轴高顶厢货2座,风景G7 2023款 2.4L CNG商运版长轴高顶厢货5座,2023款 商运版 CNG 2.4L手动 长轴高顶 厢货5座,2023款 商运版 CNG 2.4L手动 长轴平顶 厢货5座,风景G7 2023款 2.4L 自动汽油商运版短轴高顶明窗6座,风景G7 2023款 2.4L 自动汽油商运版短轴平顶明窗6座,风景G7 2023款 2.4L 自动汽油商运版短轴低顶明窗10座4K22D4M,风景G7 2024款 商运版 CNG 2.4L手动 长轴高顶 厢货2座,风景G7 2024款 商运版 CNG 2.4L手动 长轴高顶 厢货5座,风景G7 2024款 商运版 汽油2.4L自动 短轴高顶 明窗6座,风景G7 2024款 商运版 汽油2.4L自动 短轴平顶 明窗6座,风景G7 2024款 商运版 汽油2.4L手动 短轴低顶 厢货2座,风景G7 2024款 商运版 汽油2.4L手动 短轴低顶 厢货5座,风景G7 2024款 商运版 汽油2.4L手动 短轴低顶 明窗6座,风景G7 2024款 商运版 汽油2.4L手动 短轴低顶 明窗10座,风景G7 2024款 商运版 汽油2.4L手动 短轴高顶 厢货2座,风景G7 2024款 商运版 汽油2.4L手动 短轴高顶 明窗6座,风景G7 2024款 商运版 汽油2.4L手动 长轴低顶 厢货2座,风景G7 2024款 商运版 汽油2.4L手动 长轴低顶 厢货5座,风景G7 2024款 商运版 汽油2.4L手动 长轴低顶 明窗6座,风景G7 2024款 商运版 汽油2.4L手动 长轴低顶 明窗10座,风景G7 2024款 商运版 汽油2.4L手动 长轴高顶 厢货2座,风景G7 2024款 商运版 汽油2.4L手动 长轴高顶 厢货5座,风景G7 2024款 商运版 汽油2.4L手动 长轴高顶 明窗6座,风景G7 2024款 商运版 汽油2.4L手动 长轴高顶 明窗10座,风景G7 2024款 商旅版 汽油2.4L手动 长轴高顶 营运客车10/11座,风景G7 2024款 商旅版 汽油2.4L手动 长轴高顶 客车10/12座,风景G7 2024款 商运版 柴油2.0T手动 长轴高顶 厢货2座,风景G7 2024款 商运版 柴油2.0T手动 长轴高顶 厢货5座,风景G7 2024款 柴油2.0T手动 长轴高顶 明窗6座,风景G7 2024款 商运版 汽油2.4L自动 短轴低顶 明窗10座
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,○,○,○,○
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝,铝,铝合金,铝合金,铝合金,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铁,铁,铁,铁,铸铁,铸铁,铸铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁,铁
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,6挡自动,5挡手动,5挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,80,80,80,65,65,15,15,15,15,65,65,65,15,15,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,80,80,80,80
气罐容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,120,150,150,-,-,-,120,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,125,125,125,150,150,120,120,120,120,150,150,150,120,120,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,150,125,125,125,150
最小转弯半径(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.25,6.25,-,-,5.5,5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,126,126,126,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,126,126,126,160
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,1600-2400,1600-2400,1600-2400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,4000-4400,1600-2400,1600-2400,1600-2400,4000-4400
最大扭矩(N·m)_y,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,340,340,340,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,340,340,340,230
最大扭矩(N·m)_x,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,340,340,340,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,340,340,340,230
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,3200,3200,3200,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,3200,3200,3200,5500
最大功率(kW)_y,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,93,93,93,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,93,93,93,118
最大功率(kW)_x,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,93,93,93,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,93,93,93,118
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,1999,1999,1999,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,1999,1999,1999,2378
