Feature,1013618,1013802,1013826,1013878,1013879,1013880,1013881,1013882,1013883,1016451,1016850,1016851,1016852,1016853,1016854,1016855,1016856,1016857,1016858,1016859,1016860,1016861,1016862,1016863,1016864,1018069,1018070,1018071,1018072,1018387,1018389,1018391,1018393,1018395,1018397,1018399,1018401,1018403,1018404,1018405,1018406
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,,
车型名称,铃拓 2022款 2.0T四驱自动汽油领臻版JX4G20A6L,铃拓 2022款 2.0T四驱自动汽油至臻版JX4G20A6L,铃拓 2022款 2.0T两驱自动汽油领尚版JX4G20A6L,铃拓 2022款 2.0T四驱自动汽油领尊版JX4G20A6L,铃拓 2022款 2.0T四驱自动汽油领耀版JX4G20A6L,铃拓 2022款 2.0T四驱自动汽油领尚版JX4G20A6L,铃拓 2022款 2.0T两驱自动汽油领臻版JX4G20A6L,铃拓 2022款 2.0T两驱自动汽油领尊版JX4G20A6L,铃拓 2022款 2.0T两驱自动汽油领耀版JX4G20A6L,铃拓 2023款 2.5T手动四驱柴油领航版长轴,铃拓 2023款 2.5T手动两驱柴油领航版标轴,铃拓 2023款 2.5T手动四驱柴油领航版标轴,铃拓 2023款 2.5T自动两驱柴油领航版标轴,铃拓 2023款 2.5T自动四驱柴油领航版标轴,铃拓 2023款 2.5T手动两驱柴油旗舰版标轴,铃拓 2023款 2.5T手动四驱柴油旗舰版标轴,铃拓 2023款 2.5T自动两驱柴油旗舰版标轴,铃拓 2023款 2.5T自动四驱柴油旗舰版标轴,铃拓 2023款 2.5T手动两驱柴油领航版长轴,铃拓 2023款 2.5T自动两驱柴油领航版长轴,铃拓 2023款 2.5T自动四驱柴油领航版长轴,铃拓 2023款 2.5T手动两驱柴油旗舰版长轴,铃拓 2023款 2.5T手动四驱柴油旗舰版长轴,铃拓 2023款 2.5T自动两驱柴油旗舰版长轴,铃拓 2023款 2.5T自动四驱柴油旗舰版长轴,铃拓 2024款 2.5T自动四驱柴油领英版,铃拓 2024款 2.0T自动四驱汽油领英版,铃拓 2024款 2.0T自动四驱汽油领英版厢式车,铃拓 2024款 2.0T自动四驱汽油领英版多用途乘用车,铃拓 2024款 2.5T手动两驱柴油领辉版标轴,铃拓 2024款 2.5T手动四驱柴油领辉版标轴,铃拓 2024款 2.5T手动两驱柴油领辉版标轴厢式货车,铃拓 2024款 2.5T手动四驱柴油领辉版标轴厢式货车,铃拓 2024款 2.5T自动两驱柴油领辉版标轴,铃拓 2024款 2.5T自动四驱柴油领辉版标轴,铃拓 2024款 2.5T自动两驱柴油领辉版标轴厢式货车,铃拓 2024款 2.5T自动四驱柴油领辉版标轴厢式货车,铃拓 2024款 2.0T自动两驱汽油领辉版,铃拓 2024款 2.0T自动四驱汽油领辉版,铃拓 2024款 2.0T自动两驱汽油领辉版厢式货车,铃拓 2024款 2.0T自动四驱汽油领辉版厢式货车
车前雾灯,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480,1820x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1820x1530x490,1820x1530x490,1820x1530x490,1820x1530x490,1820x1530x490,1820x1530x490,1820x1530x490,1495x1530x490,1480x1530x480,1480x1530x480,-,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1495x1530x490,1480x1530x480,1480x1530x480,1480x1530x480,1480x1530x480
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,-,-,-,●,●,-,-,●,●,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●
自动头灯,●,-,-,●,●,-,●,●,●,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
胎压监测功能,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,铸铁,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,-,-,-,-,22,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,-,-,-,-,25,25,25,25,25,25,25,25,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,0号,0号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
油箱容积(L),74,76,74,74,74,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,74,74,74,76,76,76,76,76,76,76,76,74,74,74,74
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,175,175,-,-,-,-,-,-,-,-,175,175,175,175
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,-,-,-,-,230,230,230,230,230,230,230,230,-,-,-,-
最大马力(Ps),220,220,220,220,220,220,220,220,220,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,220,220,220,150,150,150,150,150,150,150,150,220,220,220,220
最大载重质量(kg),-,485,-,-,-,-,-,-,-,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485,-,-,-,485,485,485,485,485,485,485,485,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2860,2740,-,2610,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-3500,2000-3500,2000-3500,-,-,-,-,-,-,-,-,2000-3500,2000-3500,2000-3500,2000-3500
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,385,385,385,400,400,385,385,400,400,385,400,400,385,385,400,400,400,350,350,350,385,385,385,385,400,400,400,400,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,350,385,385,385,400,400,385,385,400,400,385,400,400,385,385,400,400,400,350,350,350,385,385,385,385,400,400,400,400,350,350,350,350
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,5500,5500,-,-,-,-,-,-,-,-,5500,5500,5500,5500
最大功率(kW)_y,162,162,162,162,162,162,162,162,162,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,162,162,162,110,110,110,110,110,110,110,110,162,162,162,162
最大功率(kW)_x,162,162,162,162,162,162,162,162,162,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,162,162,162,110,110,110,110,110,110,110,110,162,162,162,162
最大净功率(kW),-,-,-,-,-,-,-,-,-,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,-,-,-,107,107,107,107,107,107,107,107,-,-,-,-
无钥匙进入功能,,-,,,,,,,,-,-,-,-,-,,,,,-,-,-,,,,,-,,,,,,,,,,,,,,,
无钥匙启动系统,●,-,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,1930,-,2005,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),-,-,-,-,-,-,-,-,-,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,-,-,-,-,28,28,28,28,28,28,28,28,-,-,-,-
排量(mL),1997,1997,1997,1997,1997,1997,1997,1997,1997,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,1997,1997,1997,2499,2499,2499,2499,2499,2499,2499,2499,1997,1997,1997,1997
挡位个数,8,8,8,8,8,8,8,8,8,6,6,6,8,8,6,6,8,8,6,8,8,6,6,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
感应雨刷功能,,-,-,,,-,,,,-,-,-,-,-,,,,,-,-,-,,,,,-,-,-,-,,,,,,,,,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,●,-,-,●,○,-,●,●,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860,1860,1870,1870,1870,1870,1870,1870,1870,1870,1860,1860,1860,1860
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
备胎放置方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,,-,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●
