Feature,1010273,1011505,1011507,1011514,1011515,1012059,1012061,1012065,1012938,1014006,1015529,1015890,1015916,1015917,1015918,1015919,1015920,1015921,1015922,1016001,1016002,1016076,1016077,1016078,1016079,1016080,1016081,1016082,1016084,1016085,1016086,1016087,1016088,1016089,1016090,1016091,1016092,1016093,1016094,1016095,1016238,1016245,1016246,1016247,1016248,1016249,1016250,1016251,1016254,1016255,1016865,1018483,1018484,1018485,1018486,1018487,1018966,1018967,1018968,1018969,1019209,1019210,1019211,1019212
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3470,3230,2745,3470,3470,3230,3470,3230,3470,3230,3470,3230,3230,3230,3230,3230,3230,3230,3230,3470,3470,3230,3470,3230,3470,3230,3230,3470,3230,3470,3470,3230,3470,3470,3230,3470,3470,3230,3470,3470,3230,3230,3230,3230,3230,3230,3230,2745,3230,3230,3230,3230,3470,3470,3470,3230,3470,3470,3470,3470,3230,3230,3230,3230
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,-,-,●,●,-,●,-,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,●,●
车顶行李架,●,-,-,●,●,●,-,●,-,●,-,●,-,-,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,●,-,-,-,-,●,●,●,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,平开门,-,-,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,平开门,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,●,-,-,●,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,●,●,●,●
车窗防夹手功能,●,●,-,●,●,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
车型名称,炮 2021款 2.0T旅装炮自动汽油四驱豪华版GW4C20B,炮 2023款 2.0T火弹版GW4C20B,炮 2021款 2.0T火炮版GW4C20B,炮 2021款 2.0T旅装炮自动汽油四驱舒适版GW4C20B,炮 2021款 2.0T旅装炮自动汽油四驱标准版GW4C20B,炮 2021款 2.0T越野版自动柴油四驱珠峰版GW4D20M,炮 2021款 2.0T机车炮GW4C20B,炮 2021款 2.0T越野版自动汽油四驱珠峰版GW4C20B,炮 2021款 2.0T机车炮GW4D20M,炮 2022款 2.0T黑弹特别版GW4C20B,炮 2023款 2.0T商用版自动汽油四驱精英型长箱GW4C20B,炮 2023款 2.0T乘用版自动汽油四驱尊享型GW4C20B,炮 2023款 2.0T乘用版自动汽油两驱舒适型GW4C20B,炮 2023款 2.0T乘用版自动汽油四驱舒适型GW4C20B,炮 2023款 2.0T乘用版自动汽油四驱运动型GW4C20B,炮 2023款 2.0T乘用版自动柴油两驱舒适型GW4D20M,炮 2023款 2.0T乘用版自动柴油四驱舒适型GW4D20M,炮 2023款 2.0T乘用版自动柴油四驱运动型GW4D20M,炮 2023款 2.0T乘用版自动柴油四驱尊享型GW4D20M,炮 2023款 2.0T商用版手动汽油四驱精英型长箱GW4C20B,炮 2023款 2.0T商用版自动汽油两驱精英型长箱GW4C20B,炮 2023款 2.0T商用版手动汽油两驱精英型标箱GW4C20B,炮 2023款 2.0T商用版手动汽油两驱精英型长箱GW4C20B,炮 2023款 2.0T商用版手动汽油四驱精英型标箱GW4C20B,炮 2023款 2.0T商用版手动汽油四驱领航型长箱GW4C20B,炮 2023款 2.0T商用版自动汽油两驱精英型标箱GW4C20B,炮 2023款 2.0T商用版自动汽油四驱精英型标箱GW4C20B,炮 2023款 2.0T商用版自动汽油四驱领航型长箱GW4C20B,炮 2023款 2.0T商用版手动柴油两驱精英型标箱GW4D20M,炮 2023款 2.0T商用版手动柴油两驱精英型长箱GW4D20M,炮 2023款 2.0T商用版手动柴油两驱领航型长箱GW4D20M,炮 2023款 2.0T商用版手动柴油四驱精英型标箱GW4D20M,炮 2023款 2.0T商用版手动柴油四驱精英型长箱GW4D20M,炮 2023款 2.0T商用版手动柴油四驱领航型长箱GW4D20M,炮 2023款 2.0T商用版自动柴油两驱精英型标箱GW4D20M,炮 2023款 2.0T商用版自动柴油两驱精英型长箱GW4D20M,炮 2023款 2.0T商用版自动柴油两驱领航型长箱GW4D20M,炮 2023款 2.0T商用版自动柴油四驱精英型标箱GW4D20M,炮 2023款 2.0T商用版自动柴油四驱精英型长箱GW4D20M,炮 2023款 2.0T商用版自动柴油四驱领航型长箱GW4D20M,炮 2023款 2.0T 龙弹版,炮 2023款 2.0T越野版自动汽油四驱进阶版,炮 2023款 2.0T越野版自动汽油四驱高阶版,炮 2023款 2.0T越野版自动柴油四驱进阶版,炮 2023款 2.0T越野版自动柴油四驱高阶版,炮 2023款 2.0T越野版自动汽油四驱限量版,炮 2023款 2.0T越野版自动柴油四驱限量版,炮 2023款 2.0T火炮版,炮 2023款 2.0T越野版自动汽油四驱珠峰版,炮 2023款 2.0T越野版自动柴油四驱珠峰版,炮 2023款 2.0T 黑弹版,炮 2024款 2.4T乘用版自动柴油四驱舒适型,炮 2024款 2.4T商用版手动柴油四驱精英型,炮 2024款 2.4T商用版自动柴油两驱精英型,炮 2024款 2.4T商用版自动柴油四驱精英型,炮 2024款 2.4T乘用版自动柴油四驱尊享型,炮 2023款 2.0T 商用版自动汽油四驱长箱商务型,炮 2023款 2.0T 商用版自动柴油四驱长箱商务型,炮 2023款 2.0T 商用版自动汽油四驱长箱公务型,炮 2023款 2.0T 商用版自动柴油四驱长箱公务型,炮 2024款 2.4T越野版自动柴油四驱进阶版,炮 2024款 2.4T越野版自动柴油四驱高阶版,炮 2024款 2.4T乘用版自动柴油四驱运动型,炮 2024款 2.4T乘用版自动柴油两驱舒适型
车前雾灯,,-,-,,,-,,-,,-,-,,,,,,,,,-,-,-,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,-,,,,,,,,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,,,,,-,-,-,,-,-,-,-,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,1520x1520x540,1760x1520x540,-,-,-,2475x1520x540,-,2475x1520x540,1520x1520x540,1760x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1520x1520x540,1520x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1760x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1760x1520x540,1760x1520x540,1760x1520x540,1760x1520x540,1520x1520x540,1520x1520x540,1520x1520x540,1520x1520x540
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,
蠕行模式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,●,●,-,●,●,-,-,-,-,-,●,-,-,-,-,-,●,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
自动头灯,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,汽油,柴油,汽油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油
能源类型_x,汽油,汽油,汽油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,柴油,汽油,柴油,汽油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,柴油,汽油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
绞盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
纵向通过角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,9挡手自一体,6挡手动,9挡手自一体,9挡手自一体,9挡手自一体,8挡自动,8挡自动,8挡自动,8挡自动,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),-,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),-,22,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,-,-,-,-,-,-,22,-,-,21,25,25,25,25,25,25,25,25,25,26,26,25,25
