Feature,56440,56441,56646,56647,59192,59218,59917,60114,60119,61386,61387,61388,61389,63618,63619,63620,63621,63622,63623,63625,63626,63627
最大满载质量(kg),1964,1964,2050,2050,2010,1940,2154,1964,1940,1964,2154,1964,2010,-,-,1964,2035,2050,2050,-,2010,2154
最大扭矩(N·m),210,210,210,210,210,210,310,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
最大功率(kW),120,120,120,120,120,120,170,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
无钥匙进入功能,,,,,-,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,
整车质保,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里,四年或12万公里
整备质量(kg),1589,1589,1675,1675,1630,1565,1779,1589,1565,1589,1779,1589,1635,-,-,1589,1660,1675,1675,-,1635,1779
摄像头数量,-,-,-,-,-,-,,-,-,-,-,,,,,,,,,,,
接近角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
换电,-,-,-,-,支持,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
换挡形式,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,,,,,
慢充时间(小时)_y,7,7,7,7,-,8.5,10.5,8.5,7,7,7,7,8.5,7,7,7,7,7,7,8.5,8.5,8.5
慢充时间(小时)_x,7,7,7,7,-,8.5,10.5,8.5,7,7,7,7,8.5,7,7,7,7,7,7,8.5,8.5,8.5
感应雨刷功能,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,,,-,,
感应后备厢,-,-,-,-,-,-,●,-,-,-,-,-,●,-,-,-,-,●,●,-,●,●
快充电量百分比,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
循迹倒车,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
座椅材质,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
巡航系统,,,,,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
官方0-100km/h加速(s),9.5,9.5,9.5,9.5,9.5,9.5,7,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,,-,,-,-,,-,-,-,-,,,-,-,,,,,-,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,,,,,-,-,-,,-,-,-,-,,,-,,
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,
备胎规格,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具
地图品牌,,,,,-,,,,,,,,,,,,,,,,,
四驱形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
后轮胎规格,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/65 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18
后方碰撞预警,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,●,●,●,●,-,-,-,●,-,-,-,-,●,●,-,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),12.38万,12.78万,12.38万,12.78万,15.88万,15.58万,16.58万,15.58万,15.58万,16.18万,17.68万,17.08万,18.58万,11.88万,11.88万,12.58万,12.58万,13.28万,13.28万,13.18万,14.28万,14.28万
厂商,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车,合众汽车
卫星导航系统,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
单踏板模式,-,-,-,-,-,-,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580,-,-,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580,1580
前轮胎规格,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/65 R17,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18
前电动机最大扭矩(N·m),210,210,210,210,210,210,310,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
前电动机最大功率(kW),120,120,120,120,120,120,170,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
前方碰撞预警,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,○,○,-,○,○
前排座椅功能,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,,,-,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,前○&nbsp;/&nbsp;后○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
