Feature,64374,64376,64377,69158,69159,69160,69161,69541,69542,69543,69544,69545,69546,69547,69548,69549,69550,69551,69552,69553,69554,69555,69645,69646,69886,70881,70882,70883,70884,70885,70886,71248,71249
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,●,●,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门7座MPV,4门9座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门2座MPV,4门7座MPV,4门6座MPV,4门7座MPV,4门6座MPV,4门7座MPV,4门7座MPV,4门9座MPV
车身稳定控制(ESC/ESP/DSC等),-,●,●,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-
车型名称,王牌M7新能源 2023款 长轴·创享版国轩7座 65kWh,王牌M7新能源 2023款 长轴·豪华营运版国轩7座 65kWh,王牌M7新能源 2023款 长轴·豪华营运版国轩9座 65kWh,锐胜王牌M7新能源 2024款 长轴·创富版鹏辉2座 41.47kWh,锐胜王牌M7新能源 2024款 长轴·创业版鹏辉7座 41.47kWh,锐胜王牌M7新能源 2024款 长轴·创业版鹏辉7座 56kWh,锐胜王牌M7新能源 2024款 长轴·创富版鹏辉7座 56kWh,锐胜王牌M7新能源 2025款 320KM 豪华型 7座,锐胜王牌M7新能源 2025款 320KM 豪华型 9座,锐胜王牌M7新能源 2025款 320KM 豪华型中级营运 7座,锐胜王牌M7新能源 2025款 320KM 豪华型中级营运 8座,锐胜王牌M7新能源 2025款 320KM 豪华型中级营运 9座,锐胜王牌M7新能源 2025款 401KM 豪华型 7座,锐胜王牌M7新能源 2025款 401KM 尊贵型 7座,锐胜王牌M7新能源 2025款 401KM 尊贵型 9座,锐胜王牌M7新能源 2025款 401KM 尊贵型中级营运 7座,锐胜王牌M7新能源 2025款 401KM 尊贵型中级营运 8座,锐胜王牌M7新能源 2025款 401KM 尊贵型中级营运 9座,锐胜王牌M7新能源 2025款 505KM 尊贵型 7座,锐胜王牌M7新能源 2025款 505KM 尊贵型 9座,锐胜王牌M7新能源 2025款 505KM 尊贵型中级营运 7座,锐胜王牌M7新能源 2025款 505KM 尊贵型中级营运 9座,锐胜王牌M7新能源 2025款 505KM 尊贵型高级营运 7座,锐胜王牌M7新能源 2025款 505KM 尊贵型高级营运 9座,锐胜王牌M7新能源 2025款 505KM 至尊版 7座,锐胜王牌M7新能源 2025款 242KM 创富版 2座,锐胜王牌M7新能源 2025款 270KM 创业版 7座,锐胜王牌M7新能源 2025款 270KM 创业版 6座,锐胜王牌M7新能源 2025款 365KM 创业版 7座,锐胜王牌M7新能源 2025款 365KM 创业版 6座,锐胜王牌M7新能源 2025款 365KM 创富版 7座,锐胜王牌M7新能源 2025款 401KM 商务版 7座,锐胜王牌M7新能源 2025款 401KM 商务版 9座
车前雾灯,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
语音识别控制系统,-,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,-,-,-,-,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
自动头灯,-,-,-,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
能量回收系统,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,-,-,-,●,●,-,●,-,-,●,●,-,●,-,-,●,-,●,-,●,-,●,-,-,-,-,-,-,●,-
第二排座椅调节,,,,-,,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,
空载最小离地间隙(mm),150,150,150,150,150,150,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百公里耗电量(kWh/100km),17.2,17.2,17.2,17.9,17.6,17.9,17.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.9,17.6,17.6,17.9,17.9,17.9,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,1.99,1.99,2.02,2.02,2.02,-,-
电池能量密度(Wh/kg),140.6,140.6,140.6,123,123,121,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),65,65,65,41.47,41.47,56,56,50,50,50,50,50,65,65,65,65,65,65,81,81,81,81,81,81,81,41.47,41.47,41.47,56,56,56,65,65
电池组质保,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池慢充时间(小时)_y,8,8,8,-,-,-,-,5.75,5.75,5.75,5.75,5.75,8,8,8,8,8,8,9.2,9.2,9.2,9.2,9.2,9.2,9.2,8,8,8,8,8,8,8,8
电池慢充时间(小时)_x,8,8,8,-,-,-,-,5.75,5.75,5.75,5.75,5.75,8,8,8,8,8,8,9.2,9.2,9.2,9.2,9.2,9.2,9.2,8,8,8,8,8,8,8,8
电池快充电量范围(%)_y,0-80,0-80,0-80,0-80,0-80,0-80,0-80,20-90,20-90,20-90,20-90,20-90,0-80,0-80,0-80,0-80,0-80,0-80,20-90,20-90,20-90,20-90,20-90,20-90,20-90,-,-,-,-,-,-,0-80,0-80
电池快充电量范围(%)_x,0-80,0-80,0-80,0-80,0-80,0-80,0-80,20-90,20-90,20-90,20-90,20-90,0-80,0-80,0-80,0-80,0-80,0-80,20-90,20-90,20-90,20-90,20-90,20-90,20-90,-,-,-,-,-,-,0-80,0-80
电池快充时间(小时)_y,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.9,0.9,0.9,0.9,0.9,0.9,1,1
电池快充时间(小时)_x,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.9,0.9,0.9,0.9,0.9,0.9,1,1
电池冷却方式,液冷,液冷,液冷,-,液冷,液冷,液冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,-,液冷,-,液冷,-,液冷,风冷,风冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),122,122,122,82,82,82,82,82,82,82,82,82,122,122,122,122,122,122,231,231,231,231,231,231,231,82,82,82,82,82,82,122,122
电动机总扭矩(N·m),270,270,270,220,220,220,220,220,220,220,220,220,270,270,270,270,270,270,310,310,310,310,310,310,310,220,220,220,220,220,220,270,270
电动机总功率(kW),90,90,90,60,60,60,60,60,60,60,60,60,90,90,90,90,90,90,170,170,170,170,170,170,170,60,60,60,60,60,60,90,90
电动机(Ps),122,122,122,82,82,82,82,82,82,82,82,82,122,122,122,122,122,122,231,231,231,231,231,231,231,82,82,82,82,82,82,122,122
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,●,●,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
满载最小离地间隙(mm),-,-,-,-,-,-,-,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,-,-,-,150,150
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,,,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
最高车速(km/h),100,100,100,80,100,100,100,100,100,100,100,100,110,110,110,100,100,100,140,140,100,100,100,100,140,80,100,100,100,100,100,110,110
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,150,150,-,-
最大满载质量(kg),-,-,-,-,-,-,-,2555,2555,2555,2555,2555,2745,2745,2745,2745,2745,2745,2885,2885,2885,2885,2885,2885,2885,3030,2270,2270,2420,2420,2420,2745,2745
最大扭矩(N·m),270,270,270,220,220,220,220,220,220,220,220,220,270,270,270,270,270,270,310,310,310,310,310,310,310,220,220,220,220,220,220,270,270
最大功率(kW),90,90,90,60,60,60,60,60,60,60,60,60,90,90,90,90,90,90,170,170,170,170,170,170,170,60,60,60,60,60,60,90,90
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,,
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),-,-,-,-,-,-,-,1880,1880,1880,1880,1880,2060,2060,2060,2060,2060,2060,2210,2210,2210,2210,2210,2210,2210,1700,1745,1745,1895,1895,1895,2060,2060
摄像头数量,-,,,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,,
手机互联/映射,-,,,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
慢充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充接口位置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座椅布局,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
对外放电,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-
宽度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
外后视镜功能,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,-,-,-,-,-,-,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1618,1620,1620,1610,1611,1614,1617,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后电动机最大扭矩(N·m),270,270,270,220,220,220,220,220,220,220,220,220,270,270,270,270,270,270,310,310,310,310,310,310,310,220,220,220,220,220,220,270,270
后电动机最大功率(kW),90,90,90,60,60,60,60,60,60,60,60,60,90,90,90,90,90,90,170,170,170,170,170,170,170,60,60,60,60,60,60,90,90
后排独立空调,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,-,,,,,,-,,,,,-,,-,,-,,-,,,,,,,-
后排侧隐私玻璃,-,-,-,-,-,-,-,○,○,-,-,-,○,●,●,-,-,-,●,●,-,-,-,-,●,-,-,-,-,-,-,●,●
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),15.98万,16.98万,17.28万,13.68万,13.98万,15.18万,15.48万,12.98万,13.28万,13.98万,14.28万,14.28万,14.98万,15.98万,16.28万,16.98万,17.28万,17.28万,17.98万,18.28万,18.98万,19.28万,19.98万,20.28万,24.98万,8.28万,8.58万,8.58万,9.98万,9.98万,10.98万,18.38万,18.68万
厂商,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前方碰撞预警,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
前方感知摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
