Feature,63589,63590,63591,63592,63593,63594,63595,63596,63597,66215,66216,66217,66218,66219,66654,66655,68013,68014,68015,68164,68165,68655,68710,68711,68884,68885,69653,69654,69655,69656,69657,69658,69659,69660
车型名称,大家9 2024款 长续航 高山旗舰版,大家9 2024款 长续航 行政七座版,大家9 2024款 标准续航 行政七座版,大家9 2024款 标准续航 草原七座版,大家9 2024款 长续航 草原七座版,大家9 2024款 长续航 森林七座版,大家9 2024款 长续航 森林六座版,大家9 2024款 长续航 高山七座版,大家9 2024款 长续航 高山六座版,大家9 2024款 长续航 福捷版(单侧福捷座椅),大家9 2024款 长续航 福捷版(双侧福捷座椅),大家9 2024款 长续航 高山星辰版,大家9 2024款 长续航 山峰七座版,大家9 2024款 长续航 山峰六座版,大家9 2024款 超混 超长续航高山版 六座,大家9 2024款 超混 超长续航高山版 七座,大家9 2024款 超混 超长续航草原版 七座,大家9 2024款 超混 长续航草原版 七座,大家9 2024款 超混 长续航高山版 六座,大家9 2024款 超混 长续航森林版 七座,大家9 2024款 超混 超长续航森林版 七座,大家9 2024款 超混 长续航高山版 七座,大家9 2024款 超混 长续航行政版 七座,大家9 2024款 超混 超长续航行政版 七座,大家9 2024款 长续航 山河七座版,大家9 2024款 长续航 山河六座版,大家9 2025款 标准续航 行政七座版,大家9 2025款 标准续航 草原七座版,大家9 2025款 长续航 行政七座版,大家9 2025款 长续航 草原七座版,大家9 2025款 长续航 森林七座版,大家9 2025款 长续航 森林六座版,大家9 2025款 长续航 高山七座版,大家9 2025款 长续航 高山六座版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内生物监测系统,●,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●,-,-,●,-,-,●,●,-,-,-,-,-,-,●,●
车内环境氛围灯,,-,-,-,-,,,,,-,-,-,,,,,-,-,,,,,-,-,,,-,-,-,-,,,,
车内摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
语音识别控制系统,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
语音助手唤醒词,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
语音分区域唤醒识别,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
芯片总算力,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
能源类型_x,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,●,○,○,○,○,○,○,●,●,-,-,-,○,○,●,●,○,○,●,○,○,●,○,○,○,○,-,○,-,○,○,○,●,●
缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二排座椅电动调节,●,-,-,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,●,-,●,●,●,●,●
第二排座椅功能,,-,-,-,-,,,,,-,-,-,,,,,-,-,,,,,-,-,,,-,-,-,-,,,,
第三排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第三排座椅电动调节,●,-,-,-,-,-,●,-,●,-,-,-,-,●,●,-,-,-,●,-,-,-,-,-,-,●,-,-,-,-,-,●,-,●
第三排座椅功能,,-,-,-,-,-,,-,,-,-,-,-,,,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,,-,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空气质量监测,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18
福祉座椅,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),17.8,17.1,17.6,17.6,17.1,17.1,17.1,17.8,17.8,17.1,17.1,17.1,17.1,17.1,21.7,21.7,21.7,18.7,18.8,18.7,21.7,18.8,18.7,21.7,17.1,17.1,17.6,17.6,17.1,17.1,17.1,17.1,17.8,17.8
疲劳驾驶提示,●,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,-,-,-,-,●,●,●,●
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.45,2.45,2.45,2.11,2.13,2.11,2.45,2.13,2.11,2.45,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),195,195,180,180,195,195,195,195,195,195,195,195,195,195,-,-,-,-,-,-,-,-,-,-,195,195,180,180,195,195,195,195,195,195
电池能量(kWh),90,90,77,77,90,90,90,90,90,90,90,90,90,90,39.7,39.7,39.7,24.7,24.7,24.7,39.7,24.7,24.7,39.7,90,90,77,77,90,90,90,90,90,90
电池类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池慢充时间(小时)_y,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,-,-,-,-,-,-,-,-,-,-,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
电池慢充时间(小时)_x,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,-,-,-,-,-,-,-,-,-,-,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80,80,80,80,80,80,80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,80,80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,80,80,80,80,80,80,80,80,80,80,80,80,80,80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,80,80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,直冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),245,245,245,245,245,245,245,245,245,245,245,245,245,245,239,239,239,239,239,239,239,239,239,239,245,245,245,245,245,245,245,245,245,245
电动机总扭矩(N·m),350,350,350,350,350,350,350,350,350,350,350,350,350,350,390,390,390,390,390,390,390,390,390,390,350,350,350,350,350,350,350,350,350,350
电动机总功率(kW),180,180,180,180,180,180,180,180,180,180,180,180,180,180,176,176,176,176,176,176,176,176,176,176,180,180,180,180,180,180,180,180,180,180
电动机(Ps),245,245,245,245,245,245,245,245,245,245,245,245,245,245,239,239,239,239,239,239,239,239,239,239,245,245,245,245,245,245,245,245,245,245
电动座椅记忆功能,,-,-,-,-,,,,,-,-,-,,,,,-,-,,,,,-,-,,,-,-,-,-,,,,
电动后备厢位置记忆,●,○,○,○,○,●,●,●,●,-,-,-,●,●,●,●,○,○,●,●,●,●,-,-,●,●,○,○,○,○,●,●,●,●
电动后备厢,●,○,○,○,○,●,●,●,●,-,-,-,●,●,●,●,○,○,●,●,●,●,-,-,●,●,○,○,○,○,●,●,●,●
环保标准_y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-
环保标准_x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-
热泵空调,●,○,○,○,○,○,○,●,●,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,62,62,62,62,62,62,62,62,62,-,-,-,-,-,-,-,-,-,-
气缸数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-
气缸排列形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L,L,L,L,L,L,L,L,L,L,-,-,-,-,-,-,-,-,-,-
毫米波雷达数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每缸气门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
最大马力(Ps),245,245,245,245,245,245,245,245,245,245,245,245,245,245,150,150,150,150,150,150,150,150,150,150,245,245,245,245,245,245,245,245,245,245
最大满载质量(kg),3095,2860,2815,2815,2970,2970,2970,3095,3095,2970,2970,2970,2970,2970,3070,3070,2990,2970,3055,2970,2990,3055,2970,2990,2970,2970,2815,2815,2860,2970,2970,2970,3095,3095
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,350,350,350,350,350,235,235,235,235,235,235,235,235,235,235,350,350,350,350,350,350,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350,350,350,350,350,350,350,350,350,350,350,-,-,-,-,-,-,-,-,-,-,350,350,350,350,350,350,350,350,350,350
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,180,180,180,180,180,180,180,180,180,180,180,180,180,180,110,110,110,110,110,110,110,110,110,110,180,180,180,180,180,180,180,180,180,180
最大功率(kW)_x,180,180,180,180,180,180,180,180,180,180,180,180,180,180,-,-,-,-,-,-,-,-,-,-,180,180,180,180,180,180,180,180,180,180
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,108,108,108,108,108,108,108,108,108,-,-,-,-,-,-,-,-,-,-
最低荷电状态油耗(L/100km)WLTC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,6.9,6.7,6.7,6.9,6.7,6.7,6.9,6.7,6.7,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,●,-,-,-,-,-,-,●,●,-,-,-,-,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),2570,2310,2265,2265,2410,2410,2410,2570,2570,2410,2410,2410,2570,2570,2520,2520,2440,2420,2505,2420,2440,2505,2420,2440,2410,2410,2265,2265,2310,2410,2410,2410,2570,2570
摄像头数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接近角(°),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,-,-,-,-,-,-,-,-,-,-
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,,-,-,-,-,,,,,-,-,-,,,,,-,-,,,,,-,-,,,-,-,-,-,,,,
手机无线充电功能,,-,-,,,,,,,-,-,-,,,,,-,-,,,,,-,-,,,-,-,-,-,,,,
手机无线充电功率,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,,,-,-,-,-,-,-,-,-,,,,
手机互联/映射,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-
手机APP远程功能,,-,-,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
手势控制,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,
