Feature,53177,53219,53265,53266,53267,53268,56676,57576,57577,57610,58216,58217,59054,59067,59068,59069,60767,61020,62373,69138,69140,71954,71955,72008,72009,72010,72011
系统综合功率(Ps),-,-,-,-,-,-,203,-,-,-,203,203,-,203,203,-,-,-,-,-,203,-,-,-,203,203,203
简称,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,19,19,19,19,19,19,18,19,19,18,18,19,18,18,19,18,18,18,19,19,19
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池类型,-,-,-,-,-,-,,-,-,-,,,-,,,-,-,-,-,-,,-,-,-,,,
电机类型,-,-,-,-,-,-,永磁/同步,-,-,-,永磁/同步,永磁/同步,-,永磁/同步,永磁/同步,-,-,-,-,-,永磁/同步,-,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,-,-,前置,-,-,-,前置,前置,-,前置,前置,-,-,-,-,-,前置,-,-,-,前置,前置,前置
电动机总马力(Ps),-,-,-,-,-,-,184,-,-,-,184,184,-,184,184,-,-,-,-,-,184,-,-,-,184,184,184
电动机总扭矩(N·m),-,-,-,-,-,-,315,-,-,-,315,315,-,315,315,-,-,-,-,-,315,-,-,-,315,315,315
电动机总功率(kW),-,-,-,-,-,-,135,-,-,-,135,135,-,135,135,-,-,-,-,-,135,-,-,-,135,135,135
电动机(Ps),-,-,-,-,-,-,184,-,-,-,184,184,-,184,184,-,-,-,-,-,184,-,-,-,184,184,184
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
灯光特色功能,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),47,47,47,47,47,47,40,47,47,47,40,40,47,40,40,47,47,47,47,47,40,47,47,47,40,40,40
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,200,180,200,208,200,180,180,200,180,180,200,200,200,200,200,180,200,200,200,180,180,180
最小转弯半径(m),5.35,5.35,5.35,5.35,5.35,5.35,5.65,5.65,5.65,5.35,5.35,5.65,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.65,5.35,5.35,5.65
最大马力(Ps),182,182,129,129,182,182,143,182,182,182,143,143,182,143,143,182,182,182,182,182,143,182,129,182,143,143,143
最大满载质量(kg),1800,1800,1740,1740,1800,1800,1935,1840,1840,1840,1935,1935,1800,1935,1935,1800,1800,1840,1800,1800,1935,1800,1740,1800,1935,1935,1935
最大扭矩转速(rpm),1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,4500,1700-4500,1700-4500,1700-4500,4500,4500,1700-4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,4500,1700-4500,1700-4500,1700-4500,4500,4500,4500
最大扭矩(N·m)_y,240,240,180,180,240,240,182,240,240,240,182,182,240,182,182,240,240,240,240,240,182,240,180,240,182,182,182
最大扭矩(N·m)_x,240,240,180,180,240,240,-,240,240,240,-,-,240,-,-,240,240,240,240,240,-,240,180,240,-,-,-
最大功率转速(rpm),6000,6000,5500-6000,5500-6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5500-6000,6000,6000,6000,6000
最大功率(kW)_y,134,134,95,95,134,134,105,134,134,134,105,105,134,105,105,134,134,134,134,134,105,134,95,134,105,105,105
最大功率(kW)_x,134,134,95,95,134,134,149,134,134,134,149,149,134,149,149,134,134,134,134,134,149,134,95,134,149,149,149
最大净功率(kW),134,134,95,95,134,134,105,134,134,134,105,105,134,105,105,134,134,134,134,134,105,134,95,134,105,105,105
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1398,1353,1315,1323,1370,1397,1501,1425,1373,1394,1473,1478,1353,1467,1468,1397,1353,1381,1353,1356,1451,1370,1315,1403,1467,1468,1501
摄像头数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
排量(mL),1498,1498,1498,1498,1498,1498,1993,1498,1498,1498,1993,1993,1498,1993,1993,1498,1498,1498,1498,1498,1993,1498,1498,1498,1993,1993,1993
换挡形式,,,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
手机无线充电功能,,-,-,-,-,,,,-,-,-,,-,-,,,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,-,,,,,,,,,,,,,,,,,,,,,,,,
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,●,●,-,-,-,●,●,●,-,●,-,●,●,-,●,●,-,-,-,●,-,-,-,●,-,●,●
巡航系统,,,-,,,,,,,,,,,,,,,,,,-,,-,,,,
导航路况信息显示,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,,-,-,-,,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,-,,
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,-,-,●,-,●,●,●,●,●,●,●,-,-,-,●,-,●,-,-,-,-,-,●,-,-,●
后排座椅放倒形式,,-,-,,-,,,,,,,,-,-,-,,-,,-,-,-,-,-,,-,-,
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,-,-,-,-,●,●,●,-,-,-,●,-,-,●,●,-,-,-,●,-,●,-,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,阿特金森循环,VTEC TURBO,阿特金森循环,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,VTEC TURBO,VTEC TURBO,VTEC TURBO,阿特金森循环,阿特金森循环,阿特金森循环
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,L15C8,L15C8,L15C7,L15C7,L15C8,L15C8,LFB15,L15C8,L15C8,L15C8,LFB15,LFB15,L15C8,LFB15,LFB15,L15C8,L15C8,L15C8,L15C8,L15C8,LFB15,L15C8,L15C7,L15C8,LFB15,LFB15,LFB15
发动机启停技术,●,●,●,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,-,-,-
发动机,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 129马力 L4,1.5T 129马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 129马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4
压缩比,10.3,10.3,10.3,10.3,10.3,10.3,13.9,10.3,10.3,10.3,13.9,13.9,10.3,13.9,13.9,10.3,10.3,10.3,10.3,10.3,13.9,10.3,10.3,10.3,13.9,13.9,13.9
厂商指导价(元),16.39万,14.29万,12.99万,13.69万,14.99万,15.89万,18.79万,16.99万,15.99万,15.39万,16.99万,17.99万,14.49万,15.99万,17.39万,16.09万,13.99万,14.59万,14.19万,13.99万,13.99万,14.59万,12.99万,15.99万,14.99万,16.39万,17.79万
厂商,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田,东风本田
卫星导航系统,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),-,-,-,-,-,-,315,-,-,-,315,315,-,315,315,-,-,-,-,-,315,-,-,-,315,315,315
前电动机最大功率(kW),-,-,-,-,-,-,135,-,-,-,135,135,-,135,135,-,-,-,-,-,135,-,-,-,135,135,135
前方碰撞预警,●,●,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,●,●,-,●,-,●,-,●,●
前方感知摄像头,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,,
前排座椅功能,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,-,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
