Feature,1016868,1016869,1016870,1016871,1016873,1016874,1016875,1016876,1019125,1019126,1019127,1019128,1019129,1019130,1019145,1019146,1019147,1019148,1019149,1019150,1019151,1019152,1019153,1019154,1019155,1019156,1019157,1019158,1019159,1019160,1019161,1019162,1019163,1019164,1019165,1019166,1019167,1019168,1019169,1019170,1019542,1019543,1019544,1019545,1019546,1019547,1019548,1019549,1019550,1020812,1020814,1020815,1020816,1020817,1020818,1020819,1020820,1020821,1020822,1020823,1020831,1020832,1020833,1020851,1020852
长*宽*高(mm),5535*2055*1920,5535*2055*1920,5535*2055*1920,5535*2055*1920,5535*2055*1920,5565*2055*1920,5535*2055*1920,5565*2055*1920,5535*1935*1872,5775*1935*1872,5535*1935*1872,5775*1935*1872,5535*1935*1872,5775*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5450*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5685*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5705*1935*1872,5450*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5450*1935*1872,5450*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1945,5435*1935*1945,5435*1935*1872,5435*1935*1872,5435*1935*1872,5435*1935*1945,5435*1935*1945
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,-,-,●,●,●,-,-,-,-,-,-,-
道路交通标识识别,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,●,-,-
透明底盘/540度影像,●,●,●,●,-,-,-,-,-,-,-,-,-,-,○,○,○,●,○,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,○,○,●,-,-,○,○,●,-,-
远程启动功能,,,,,-,-,-,-,,,,,,,,,,,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,,,,,,,,,,-,,,,-,-,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,-,-,-,-,,-,-
辅助变道,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,●,-,-
轴距(mm),3270,3270,3270,3270,3270,3270,3270,3270,3270,3470,3270,3470,3270,3470,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3470,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,-,-,○,○,○,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-
车道偏离预警系统,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,●,-,-
车道保持辅助系统,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,-,-,-,-,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,-,-,-,-,○,○,●,●,○,○,●,●,●,●,●,●,●,●,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,○,○,○,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,-,-,-,-,-,-,,,-,-,,,,,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,,,,-,-,,,,-,-,,,,-,-
车机智能芯片,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,,,-,-,-,-,-,-,-
车型名称,大道 2024款 敢探者 2.3T汽油自动四驱无界款,大道 2024款 敢探者 2.3T汽油自动四驱极境款,大道 2024款 敢探者 2.3T柴油自动四驱无界款,大道 2024款 敢探者 2.3T柴油自动四驱极境款,大道 2023款 飞将 2.3T柴油自动四驱无界款,大道 2023款 飞将 2.3T柴油自动四驱极境款,大道 2023款 飞将 2.3T汽油自动四驱无界款,大道 2023款 飞将 2.3T汽油自动四驱极境款,大道 2024款 山地版 2.3T柴油手动四驱标轴舒享款,大道 2024款 山地版 2.3T柴油手动四驱长轴舒享款,大道 2024款 山地版 2.3T柴油手动四驱标轴悦享款,大道 2024款 山地版 2.3T柴油手动四驱长轴悦享款,大道 2024款 山地版 2.3T柴油自动四驱标轴舒享款,大道 2024款 山地版 2.3T柴油自动四驱长轴舒享款,大道 2024款 追光者 2.3T柴油自动两驱标轴悦享款,大道 2024款 追光者 2.3T柴油自动四驱标轴悦享款,大道 2024款 追光者 2.3T柴油自动四驱标轴尊享款,大道 2024款 追光者 2.3T柴油自动四驱标轴至尊款,大道 2024款 追光者 2.3T汽油自动两驱标轴悦享款,大道 2024款 追光者 2.3T汽油自动四驱标轴悦享款,大道 2024款 追光者 2.3T汽油自动四驱标轴尊享款,大道 2024款 追光者 2.3T汽油自动四驱标轴至尊款	,大道 2024款 全能者 2.3T汽油手动两驱标轴舒享款,大道 2024款 全能者 2.3T汽油手动四驱标轴舒享款,大道 2024款 全能者 2.3T汽油自动两驱标轴舒享款,大道 2024款 全能者 2.3T汽油自动四驱标轴舒享款,大道 2024款 全能者 2.3T柴油手动两驱标轴舒享款	,大道 2024款 全能者 2.3T柴油手动四驱标轴舒享款,大道 2024款 全能者 2.3T柴油手动四驱标轴悦享款,大道 2024款 全能者 2.3T柴油自动两驱标轴舒享款,大道 2024款 全能者 2.3T柴油自动四驱标轴舒享款,大道 2024款 全能者 2.3T汽油手动两驱长轴舒享款,大道 2024款 全能者 2.3T汽油手动四驱长轴舒享款,大道 2024款 全能者 2.3T汽油自动两驱长轴舒享款,大道 2024款 全能者 2.3T汽油自动四驱长轴舒享款,大道 2024款 全能者 2.3T柴油手动两驱长轴舒享款	,大道 2024款 全能者 2.3T柴油手动四驱长轴舒享款,大道 2024款 全能者 2.3T柴油手动四驱长轴悦享款,大道 2024款 全能者 2.3T柴油自动两驱长轴舒享款,大道 2024款 全能者 2.3T柴油自动四驱长轴舒享款,大道 2024款 全能者 2.3T 汽油手动两驱舒享款平底货箱,大道 2024款 全能者 2.3T 汽油手动四驱舒享款平底货箱,大道 2024款 全能者 2.3T 汽油自动两驱舒享款平底货箱,大道 2024款 全能者 2.3T 汽油自动四驱舒享款平底货箱,大道 2024款 全能者 2.3T 柴油手动两驱舒享款平底货箱,大道 2024款 全能者 2.3T 柴油手动四驱舒享款平底货箱,大道 2024款 全能者 2.3T 柴油手动四驱悦享款平底货箱,大道 2024款 全能者 2.3T 柴油自动两驱舒享款平底货箱,大道 2024款 全能者 2.3T 柴油自动四驱舒享款平底货箱,大道 2024款 全能者 2.3T汽油自动四驱标轴臻享版,大道 2024款 追光者 2.3T汽油自动四驱标轴悦享性能版,大道 2024款 追光者 2.3T汽油自动四驱标轴尊享性能版,大道 2024款 追光者 2.3T汽油自动四驱标轴至尊性能版,大道 2025款 全能者 2.3T 汽油自动四驱舒享款工程车,大道 2025款 全能者 2.3T 汽油自动四驱臻享款工程车,大道 2024款 追光者 2.3T汽油自动四驱标轴悦享性能版工程车,大道 2024款 追光者 2.3T汽油自动四驱标轴尊享性能版工程车,大道 2024款 追光者 2.3T汽油自动四驱标轴至尊性能版工程车,大道 2024款 2.3T 汽油自动四驱运动型悦享工程车,大道 2024款 2.3T 汽油自动四驱运动型尊享工程车,大道 2025款 追光者 2.3T 柴油自动四驱悦享款工程车,大道 2025款 追光者 2.3T 柴油自动四驱尊享款工程车,大道 2025款 追光者 2.3T 柴油自动四驱至尊款工程车,大道 2024款 2.3T 汽油自动两驱运动型悦享工程车,大道 2024款 2.3T 汽油自动两驱运动型尊享工程车
车前雾灯,-,-,-,-,,,,,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内生物监测系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
车内环境氛围灯,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,-,-,-,-,,,,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
超声波雷达数量,,,,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,-,-
货箱尺寸(mm),1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1545×1595×546,1785×1595×546,1545×1595×546,1785×1595×546,1545×1595×546,1785×1595×546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1785x1595x546,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1830×1595×460,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,1546x1595x546,-,-,-,-,-,1546x1595x546,1546x1595x546,1546x1595x546,-,-
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,-,-,○,○,○,-,-,○,○,○,-,-
语音识别控制系统,,,,,-,-,-,-,-,-,,,-,-,,,,,,,,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,,,,-,-,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,-,●,-,●,-,●,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,●,●,-,●,-,●,●,-,●
自动驻车,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,-,●,●,-,-,●,●,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,-,-,-,●,●
能源类型_y,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油
能源类型_x,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),-,-,-,-,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
