Feature,1019013,1019014,1019015,1019016,1019017,1019018,1019019,1019020,1019022,1019023,1019024,1019025,1019026
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,橙仕X5 2024款 4.2米厢式货车高顶,橙仕X5 2024款 4.4米厢式货车高顶,橙仕X5 2024款 4.75米厢式货车高顶,橙仕X5 2024款 4.96米厢式货车高顶,橙仕X5 2024款 4.2米厢式货车低顶,橙仕X5 2024款 4.4米厢式货车低顶,橙仕X5 2024款 4.75米厢式货车低顶,橙仕X5 2024款 4.96米厢式货车低顶,橙仕X5 2024款 4.2米栏板车低配,橙仕X5 2024款 4.2米栏板车高配,橙仕X5 2024款 4.4米栏板车,橙仕X5 2024款 4.75米栏板车,橙仕X5 2024款 4.96米栏板车
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,-,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),2305*1490*1610,2505*1490*1610,2855*1490*1610,3050*1490*1610,2305*1490*1270,2505*1490*1270,2855*1490*1270,3050*1490*1270,2305*1490*360,2305*1490*360,2505*1490*360,2855*1490*360,3050*1490*360
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,-,,,,
离去角(°),18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,17
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量(kWh),17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305,17.305
电池类型,,,,,,,,,,,,,
电池快充电量范围(%)_y,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电池快充时间(小时)_x,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),41,41,41,41,41,41,41,41,41,41,41,41,41
电动机总扭矩(N·m),140,140,140,140,140,140,140,140,140,140,140,140,140
电动机总功率(kW),30,30,30,30,30,30,30,30,30,30,30,30,30
电动机(Ps),41,41,41,41,41,41,41,41,41,41,41,41,41
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-
最小转弯半径(m),11,12,13,13,11,12,13,13,11,11,12,13,13
最小离地间隙(mm),125,125,125,125,125,125,125,125,125,125,125,125,125
最大载重质量(kg),955,930,905,870,975,955,920,880,1030,1030,1015,990,970
最大爬坡角度(°),20,20,20,20,20,20,20,20,20,20,20,20,20
最大满载质量(kg),2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
最大扭矩(N·m),140,140,140,140,140,140,140,140,140,140,140,140,140
最大功率(kW),30,30,30,30,30,30,30,30,30,30,30,30,30
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,,,,,,,,,,,,,
整备质量(kg),1115,1140,1165,1200,1095,1115,1150,1190,1040,1040,1055,1080,1100
接近角(°),28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8
换挡形式,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310
后轮胎规格,,,,,,,,,,,,,
后电动机最大扭矩(N·m),140,140,140,140,140,140,140,140,140,140,140,140,140
后电动机最大功率(kW),30,30,30,30,30,30,30,30,30,30,30,30,30
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),6.43万,6.48万,6.53万,6.58万,6.33万,6.38万,6.43万,6.48万,5.48万,6.08万,6.13万,6.18万,6.23万
厂商,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车,橙仕汽车
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,
副座椅调节方式,-,-,-,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
前轮胎规格,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,
前/后驻车雷达,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅调节方式,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,,,,,,,,,-,,,,
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,,,,,,
USB/Type-C接口数量,,,,,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-
CLTC纯电续航里程(km)_y,130,130,130,130,130,130,130,130,130,130,130,130,130
CLTC纯电续航里程(km)_x,130,130,130,130,130,130,130,130,130,130,130,130,130
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
