Feature,1007969,1007970,1007971,1007972,1007973,1007974,1007975,1007976,1009955,1009956,1009957,1009958,1012770,1012771,1012772,1012773,1013523,1013524,1013525,1013526,1013527,1013528,1013529,1013531,1013539,1013540,1013541,1013542,1015455,1015937,1015938,1015939,1015940
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,威虎 2019款 1.5T越野版汽油国VI两驱标准型标双,威虎 2019款 1.5T越野版汽油国VI两驱标准型大双,威虎 2019款 1.5T越野版汽油国VI四驱标准型标双,威虎 2019款 1.5T越野版汽油国VI四驱标准型大双,威虎 2019款 1.5T越野版汽油国VI两驱豪华型标双,威虎 2019款 1.5T越野版汽油国VI两驱豪华型大双,威虎 2019款 1.5T越野版汽油国VI四驱豪华型标双,威虎 2019款 1.5T越野版汽油国VI四驱豪华型大双,威虎 2020款 1.5T越野版汽油国VI平底货箱四驱豪华型大双,威虎 2020款 1.5T越野版汽油国VI平底货箱两驱豪华型大双,威虎 2020款 1.5T越野版汽油国VI平底货箱四驱标准型大双,威虎 2020款 1.5T越野版汽油国VI平底货箱两驱标准型大双,威虎 2022款 2.8T柴油四驱豪华型大双JE493ZLQ6E,威虎 2022款 2.8T柴油四驱豪华型大双平底货箱JE493ZLQ6E,威虎 2022款 2.8T柴油两驱豪华型大双JE493ZLQ6E,威虎 2022款 2.8T柴油两驱豪华型大双平底货箱JE493ZLQ6E,威虎 2022款 2.4L经典版汽油四驱标准型中双,威虎 2022款 2.4L经典版汽油四驱标准型大双,威虎 2022款 2.4L经典版汽油四驱大双平底货箱,威虎 2022款 2.4L经典版汽油两驱标准型中双,威虎 2022款 2.4L经典版汽油两驱标准型大双,威虎 2022款 2.4L经典版汽油两驱标准型大双平底货箱,威虎 2022款 2.8T柴油四驱豪华型中双JE493ZLQ6E,威虎 2022款 2.8T柴油两驱豪华型中双JE493ZLQ6E,威虎 2022款 2.8T经典版柴油四驱标准型中双,威虎 2022款 2.8T经典版柴油四驱标准型大双平底货箱,威虎 2022款 2.8T经典版柴油两驱标准型中双,威虎 2022款 2.8T经典版柴油两驱标准型大双平底货箱,威虎 2023款 2.4L汽油两驱豪华型大双4K22D4M,威虎 2023款 2.4L公务版汽油两驱中双,威虎 2023款 2.4L公务版汽油四驱中双,威虎 2023款 2.4L公务版汽油两驱大双,威虎 2023款 2.4L公务版汽油四驱大双
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1600x1505x480,1895x1505x480,1600x1505x480,1895x1505x480,1600x1505x480,1895x1505x480,1600x1505x480,1895x1505x480,1895x1505x400,1895x1505x400,1895x1505x400,1895x1505x400,1895x1505x480,1895x1505x400,1895x1505x480,1895x1505x400,1600x1505x480,1895x1505x480,1895x1505x400,1600x1505x480,1895x1505x480,1895x1505x400,1600x1505x480,1600x1505x480,1600x1505x480,1895x1505x400/480,1600x1505x480,1895x1505x400/480,1895x1505x480,1600x1505x480,1600x1505x480,1895x1505x480,1895x1505x480
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,-,-,-,-,未知,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),140,140,140,140,140,140,140,140,140,140,140,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,140,140,140
最大马力(Ps),163,163,163,163,163,163,163,163,163,163,163,163,120,120,120,120,160,160,160,160,160,160,120,120,120,120,120,120,160,160,160,160,160
最大载重质量(kg),480,480,480,480,480,480,480,480,480,480,495,480,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,-,-,-,-,4000,4000,4000,4000,4000,4000,-,-,-,-,-,-,-,4000,4000,4000,4000
最大扭矩(N·m)_y,230,230,230,230,230,230,230,230,230,230,230,230,-,-,-,-,230,230,230,230,230,230,-,-,-,-,-,-,-,230,230,230,230
最大扭矩(N·m)_x,230,230,230,230,230,230,230,230,230,230,230,230,-,-,-,-,230,230,230,230,230,230,-,-,-,-,-,-,-,230,230,230,230
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,-,-,-,-,5500,5500,5500,5500,5500,5500,-,-,-,-,-,-,-,5500,5500,5500,5500
最大功率(kW)_y,120,120,120,120,120,120,120,120,120,120,120,120,88,88,88,88,118,118,118,118,118,118,88,88,88,88,88,88,118,118,118,118,118
最大功率(kW)_x,120,120,120,120,120,120,120,120,120,120,120,120,88,88,88,88,118,118,118,118,118,118,88,88,88,88,88,88,118,118,118,118,118
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1665,1695,1755,1785,1665,1695,1755,1785,1785,1695,1785,1695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
推荐燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,2771,2771,2771,2771,2378,2378,2378,2378,2378,2378,2771,2771,2771,2771,2771,2771,2378,2378,2378,2378,2378
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1825,1812,1800,1800,1800,1800,1812,1812,1812,1812,1812,1812,1800,1800,1812,1812,1812,1812,1800,1812,1812,1812,1812
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,-,-,-,-,-,-,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,JE493ZLQ6E,4K22D4M,-,-,-,-
发动机,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,1.5T 163马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.8T 120马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4,2.4L 160马力 L4
厂商指导价(元),6.98万,7.08万,7.98万,8.08万,7.28万,7.38万,8.28万,8.38万,8.48万,7.48万,8.18万,7.18万,9.68万,9.73万,8.48万,8.53万,8.18万,8.28万,8.38万,7.18万,7.28万,7.38万,9.58万,8.38万,9.18万,9.28万,7.98万,8.08万,8.58万,7.68万,8.68万,7.78万,8.78万
厂商,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车,中兴汽车
卫星导航系统,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1532,1532,1532,1532,1532,1532,1532,1532,1532,1532,1550,1532,1550,1550,1550,1550,1532,1532,1532,1532,1532,1532,1550,1550,1550,1550,1550,1550,1550,1532,1532,1532,1532
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,-,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
