Feature,58525,59115,59116,60862,64637,64638,64639,64650,66373
行车电脑显示屏幕,,,,,,,,,
行程(mm),86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7,86.7
行李厢12V电源接口,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
简称,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
第二排独立座椅,●,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,,
空调温度控制方式,,,,,,,,,
疲劳驾驶提示,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,,,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●
电动可调踏板,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
灯光特色功能,,,,,,,,,
满载最小离地间隙(mm),204,200,200,200,200,200,204,200,200
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,
油箱容积(L),114,93.5,93.5,93.5,93.5,93.5,114,93.5,93.5
气缸数(个),6,6,6,6,6,6,6,6,6
气缸排列形式,V,V,V,V,V,V,V,V,V
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),197,197,197,197,197,197,197,197,197
最大马力(Ps),415,415,415,415,415,415,415,415,415
最大满载质量(kg),3500,3425,3425,3425,3425,3425,3500,3425,3425
最大扭矩转速(rpm),3400,3400,3400,3400,3400,3400,3400,3400,3400
最大扭矩(N·m)_y,670,670,670,670,670,670,670,670,670
最大扭矩(N·m)_x,670,670,670,670,670,670,670,670,670
最大功率转速(rpm),5900,5900,5900,5900,5900,5900,5900,5900,5900
最大功率(kW)_y,305,305,305,305,305,305,305,305,305
最大功率(kW)_x,305,305,305,305,305,305,305,305,305
最大净功率(kW),305,305,305,305,305,305,305,305,305
无钥匙进入功能,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●,●,●,●
方向盘材质,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●
方向盘加热,●,●,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),2837,2792,2799,2792,2792,2799,2837,2792,2792
排量(mL),3497,3497,3497,3497,3497,3497,3497,3497,3497
换挡形式,,,,,,,,,
挡位个数,10,10,10,10,10,10,10,10,10
扬声器数量,,,,,,,,,
扬声器品牌名称,,,,,,,,,
手机无线充电功能,,,,,,,,,
手机互联/映射,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,
感应雨刷功能,,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●,●
座椅材质,,,,,,,,,
座椅布局,,,,,,,,,
座位数(个),,,,,,,,,
并线辅助,●,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,
尾门玻璃独立开启,●,●,●,●,●,●,●,●,●
导航路况信息显示,●,●,●,●,●,●,●,●,●
宽度(mm),2073,2073,2073,2073,2073,2073,2073,2073,2073
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,
天窗类型,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,,
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,
备胎规格,,,,,,,,,
四驱形式,,,,,,,,,
后雨刷,●,●,●,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,,
后排独立空调,●,●,●,●,●,●,●,●,●
后排液晶屏幕,,-,,-,-,,,-,-
后排杯架,●,●,●,●,●,●,●,●,●
后排控制多媒体,●,●,●,●,●,●,●,●,●
后排座椅电动放倒,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●
后备厢容积(L),772-2947,343-2479,343-2479,343-2479,343-2479,343-2479,722-2947,343-2479,343-2479
后制动器类型,,,,,,,,,
可变悬架功能,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,T,T,T,T,T,T,T,T,T
发动机启停技术,●,●,●,●,●,●,●,●,●
发动机,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6,3.5T 415马力 V6
压缩比,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
厂商指导价(元),125.80万,100.80万,111.80万,102.86万,100.80万,111.80万,125.80万,102.86万,100.80万
厂商,林肯(进口),林肯(进口),林肯(进口),林肯(进口),林肯(进口),林肯(进口),林肯(进口),林肯(进口),林肯(进口)
卫星导航系统,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,
副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●
副座椅调节方式,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,,
前方碰撞预警,●,●,●,●,●,●,●,●,●
前排座椅功能,,,,,,,,,
前悬架类型,,,,,,,,,
前制动器类型,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,●,●,●,●,●,●
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,
主动降噪,●,●,●,●,●,●,●,●,●
主动闭合式进气格栅,●,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,
中控屏幕尺寸,,,,,,,,,
中央差速器结构,,,,,,,,,
上市时间,2022.07,2022.08,2022.08,2022.12,2023.09,2023.09,2023.09,2023.09,2024.01
上坡辅助,●,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),11.99,11.97,11.97,11.97,11.97,11.97,11.99,11.97,11.97
USB/Type-C接口数量,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,
220V/230V电源,●,●,●,●,●,●,●,●,●
