Feature,59429,59439,59440,59441,60897,60898,60905,60906,63578,63579,63580,64568,64569,64570,64571,64573,64574,64575,68613,68614,68615,68616,68617,68626,68627,68628,68629,68630,68774,68775,68776,68777,68778,68779,68780,68781,68782,68783,69821,69822,69823,69824,69825,69826,71028,71029,71030,71031,71282,71283,71284,71285
长*宽*高(mm),4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708,4738*1968*1708
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,●,●,-,●,-,●
道路交通标识识别,-,●,●,●,-,●,●,○,-,-,●,-,-,○,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,●,-,●
远程启动功能,-,,,,-,,,,-,-,,-,-,,,,,,-,,,,,-,,,,,,,,,,,,,,,-,,,-,,,-,-,,,-,,-,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,,,,-,,,,-,-,,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,○,●,●,●,○,●,●,●,●,●,●,○,○,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,●,●,●,-,●,●,○,-,-,●,-,-,○,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,●,●,-,●,-,●
车窗防夹手功能,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,-,,,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,凯翼昆仑 2023款 昆仑 300 高原版,凯翼昆仑 2023款 昆仑 500 天际版,凯翼昆仑 2023款 昆仑 300 星空版,凯翼昆仑 2023款 昆仑 500 银河版,凯翼昆仑 2023款 昆仑 300 山峰版,凯翼昆仑 2023款 昆仑 500 星空版,凯翼昆仑 2023款 昆仑 300 行政版,凯翼昆仑 2023款 昆仑 300 天际版,凯翼昆仑 2023款 昆仑 300 高原R版,凯翼昆仑 2023款 昆仑 300 山峰R版,凯翼昆仑 2023款 昆仑 300 天际R版,凯翼昆仑 2023款 昆仑 300 高原专供版,凯翼昆仑 2023款 昆仑 300 山峰专供版,凯翼昆仑 2023款 昆仑 300 天际专供版,凯翼昆仑 2023款 昆仑 300 星空专供版,凯翼昆仑 2023款 昆仑 500 天际专供版,凯翼昆仑 2023款 昆仑 500 星空专供版,凯翼昆仑 2023款 昆仑 500 银河专供版,凯翼昆仑 2024款 1.6T 高原版 5座,凯翼昆仑 2024款 1.6T 山峰版 5座,凯翼昆仑 2024款 1.6T 天际版 5座,凯翼昆仑 2024款 2.0T 天际版 5座,凯翼昆仑 2024款 2.0T 星空版 5座,凯翼昆仑 2024款 1.6T 高原版 7座,凯翼昆仑 2024款 1.6T 山峰版 7座,凯翼昆仑 2024款 1.6T 天际版 7座,凯翼昆仑 2024款 2.0T 天际版 7座,凯翼昆仑 2024款 2.0T 星空版 7座,凯翼昆仑 2024款 C系 1.6T 山峰版 5座,凯翼昆仑 2024款 C系 1.6T 山峰版 7座,凯翼昆仑 2024款 C系 1.6T 天际版 5座,凯翼昆仑 2024款 C系 1.6T 天际版 7座,凯翼昆仑 2024款 C系 1.6T 星空版 5座,凯翼昆仑 2024款 C系 1.6T 星空版 7座,凯翼昆仑 2024款 C系 2.0T 星空版 5座,凯翼昆仑 2024款 C系 2.0T 星空版 7座,凯翼昆仑 2024款 C系 2.0T 银河版 5座,凯翼昆仑 2024款 C系 2.0T 银河版 7座,凯翼昆仑 2024款 1.6T 高原R版 7座,凯翼昆仑 2024款 1.6T 山峰R版 7座,凯翼昆仑 2024款 1.6T 天际R版 7座,凯翼昆仑 2024款 1.6T 高原R版 5座,凯翼昆仑 2024款 1.6T 山峰R版 5座,凯翼昆仑 2024款 1.6T 天际R版 5座,凯翼昆仑 2025款 1.5T 高原版 5座,凯翼昆仑 2025款 1.5T 高原版 7座,凯翼昆仑 2025款 1.5T 山峰版 5座,凯翼昆仑 2025款 1.5T 山峰版 7座,凯翼昆仑 2025款 1.5T 高原行政版 5座,凯翼昆仑 2025款 1.5T 山峰行政版 5座,凯翼昆仑 2025款 1.5T 高原行政版 7座,凯翼昆仑 2025款 1.5T 山峰行政版 7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-
车内生物监测系统,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,,-,,,,-,-,,-,-,,,,,,-,-,,-,,-,-,,-,,-,-,,,,,,,,,-,-,,-,-,,-,-,-,-,-,-,-,-
车内摄像头数量,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,-,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,,,,,,,,-,,,-,,,,,,,-,,,,,-,,,,,,,,,,,,,,,-,,,-,,,-,-,,,-,,-,
负离子发生器,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音连续识别,-,●,●,●,-,●,-,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,●,●,-,●,-,●
语音识别控制系统,-,,,,-,,,,-,-,,-,-,,,,,,-,,,,,-,,,,,,,,,,,,,,,-,,,-,,,-,-,,,-,,-,
语音分区域唤醒识别,-,,,,-,,-,,-,-,,-,-,,,,,,-,,,,,-,,,,,,,,,,,,,,,-,,,-,,,-,-,,,-,,-,
语音免唤醒词,-,●,●,●,-,●,-,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,●,●,-,●,-,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,●,-,●,●,-,-,-,-,-,-,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,-,-,●,-,●,-,-,●,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
第二排座椅调节,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,,-,,-,,-,,-,,,,,-,-,-,-,,-,,-,-,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),20,19,20,19,20,19,20,20,20,20,20,20,20,20,20,19,19,19,21,21,21,21,21,20,20,20,19,19,21,20,21,20,21,20,21,19,21,19,20,20,20,20,20,20,21,19,21,19,21,21,20,20
疲劳驾驶提示,-,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,-,-,,,-,,,-,-,-,-,-,-,-,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-
电动后备厢,-,●,●,●,-,●,●,●,-,-,●,-,-,●,●,●,●,●,-,●,●,●,●,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
灯光特色功能,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),196,200,196,200,196,200,196,196,196,196,196,196,196,196,196,200,200,200,196,196,196,200,200,196,196,196,200,200,196,196,196,196,196,196,200,200,200,200,196,196,196,196,196,196,176,176,176,176,176,176,176,176
最大马力(Ps),197,254,197,254,197,254,197,197,197,197,197,197,197,197,197,254,254,254,197,197,197,254,254,197,197,197,254,254,197,197,197,197,197,197,254,254,254,254,197,197,197,197,197,197,156,156,156,156,156,156,156,156
最大满载质量(kg),1975,2075,1975,2075,1975,2075,2185,1975,1975,1975,1975,1975,1975,1975,1975,2075,2075,2075,1975,1975,1975,2075,2075,2185,2185,2185,2275,2275,1975,2185,1975,2185,1975,2185,2075,2275,2075,2275,2185,2185,2185,1975,1975,1975,2155,2155,2155,2155,2155,2155,2155,2155
最大扭矩转速(rpm),2000-4000,1750-4000,2000-4000,1750-4000,2000-4000,1750-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
最大扭矩(N·m)_y,290,390,290,390,290,390,290,290,290,290,290,290,290,290,290,390,390,390,290,290,290,390,390,290,290,290,390,390,290,290,290,290,290,290,390,390,390,390,290,290,290,290,290,290,230,230,230,230,230,230,230,230
最大扭矩(N·m)_x,290,390,290,390,290,390,290,290,290,290,290,290,290,290,290,390,390,390,290,290,290,390,390,290,290,290,390,390,290,290,290,290,290,290,390,390,390,390,290,290,290,290,290,290,230,230,230,230,230,230,230,230
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,145,187,145,187,145,187,145,145,145,145,145,145,145,145,145,187,187,187,145,145,145,187,187,145,145,145,187,187,145,145,145,145,145,145,187,187,187,187,145,145,145,145,145,145,115,115,115,115,115,115,115,115
