Feature,62120,62121,62122,62123,62124,62125,62126,62127,62128,62129,65247,65248,65883,65884,65902,65903,65904,65905
负离子发生器,-,-,○,○,○,-,-,○,○,○,-,-,-,-,-,-,-,-
语音连续识别,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,,,,,
语音免唤醒词,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,○,●,○,○,○,●,○,●,●,●,●,●,●,○,○
自动驾驶辅助路段,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,-,-,-,-,●,●,○,○,●,●,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,,,,,,,,,,,,,
缺气保用轮胎,○,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,-,-,-,,,-,-,-,,,,,-,-,,,-,-
第二排座椅电动调节,-,-,-,●,●,-,-,-,●,●,●,●,-,-,○,○,-,-
第二排座椅功能,,,,,,,,,,,,,-,-,,,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,
离去角(°),17,18,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,-,-,,,,-,-,,,,,,-,-,,,-,-
电动后备厢,-,-,●,●,●,-,-,●,●,●,●,●,○,○,●,●,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,,,,,,,,,,,,,-,-,,,,
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,-,-
油箱容积(L),66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
杜比全景声(Dolby Atmos),-,-,-,-,-,-,-,-,-,-,●,●,○,○,○,○,-,-
最高车速(km/h),227,224,240,240,240,227,224,240,240,240,245,245,233,233,245,245,230,230
最大马力(Ps),197,197,258,258,258,197,197,258,258,258,258,258,204,204,258,258,204,204
最大满载质量(kg),2350,2440,2350,2350,2350,2350,2440,2350,2350,2350,2520,2520,2470,2470,2520,2520,2540,2540
最大扭矩转速(rpm),1650-4000,1650-4000,1800-4000,1800-4000,1800-4000,1650-4000,1650-4000,1800-4000,1800-4000,1800-4000,2000-3200,2000-3200,1600-4000,1600-4000,2000-3200,2000-3200,2000-4000,2000-4000
最大扭矩(N·m)_y,320,320,370,370,370,320,320,370,370,370,400,400,320,320,400,400,320,320
最大扭矩(N·m)_x,320,320,370,370,370,320,320,370,370,370,400,400,320,320,400,400,320,320
最大功率转速(rpm),6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,5800,5800,5800,5800,5800,5800,6100,6100
最大功率(kW)_y,145,145,190,190,190,145,145,190,190,190,190,190,150,150,190,190,150,150
最大功率(kW)_x,145,145,190,190,190,145,145,190,190,190,190,190,150,150,190,190,150,150
最大净功率(kW),145,145,190,190,190,145,145,190,190,190,190,190,150,150,190,190,150,150
无钥匙进入功能,-,-,,,,-,-,,,,,,,,,,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,●,●,●,-,-,●,●,●,●,●,-,-,●,●,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
方向盘加热,-,-,○,○,○,-,-,○,○,○,○,○,-,-,○,○,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),1780,1810,1800,1800,1800,1780,1810,1800,1800,1800,1920,1920,1880,1880,1920,1920,1950,1950
摄像头数量,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-
接近角(°),18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15
排量(mL),1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1999,1999,1999,1999,1999,1999,1999,1999
换挡形式,,,,,,,,,,,,,,,,,,
挡位个数,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,,,,,,,,,,,,,,,,,,
手机无线充电功能,,,,,,,,,,,,,,,,,,
手机互联/映射,,,,,,,,,,,,,,,,,-,-
手机APP远程功能,,,,,,,,,,,,,,,,,,
手势控制,-,-,○,○,○,-,-,○,○,○,○,○,-,-,○,○,-,-
感应雨刷功能,,,,,,,,,,,,,,,,,,
感应后备厢,-,-,●,●,●,-,-,●,●,●,●,●,○,○,●,●,-,-
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,,,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
宽度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1880,1880,1880,1880,1880,1880,1880,1880
官方0-100km/h加速(s),7.7,7.8,6.9,6.9,6.9,7.7,7.8,6.9,6.9,6.9,6.6,6.6,7.7,7.7,6.6,6.6,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多层隔音玻璃,-,-,-,-,-,-,-,-,-,-,,,-,-,,,-,-
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
地图品牌,,,,,,,,,,,,,,,,,,
四驱形式,-,全时四驱,-,-,-,-,全时四驱,-,-,-,-,-,-,-,-,-,全时四驱,全时四驱
后风挡遮阳帘,-,-,-,●,●,-,-,-,●,●,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1600,1578,1600,1600,1600,1600,1578,1600,1600,1600,1604,1604,1641,1641,1604,1604,1641,1641
后轮胎规格,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,275/40 R19,275/40 R19,225/55 R18,225/55 R18,275/40 R19,275/40 R19,245/45 R18,245/45 R18
后排独立空调,-,-,-,-,●,-,-,-,●,-,○,○,-,-,○,○,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,○,-,-,-,○,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,,,-,-,-,,,-,-,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可见即可说,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可变悬架功能,,,,,,,,,,,,,,,,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,264 920,264 920,264 920,264 920,264 920,264 920,264 920,264 920,264 920,264 920,254 920,254 920,254 920,254 920,254 920,254 920,254 920,254 920
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 197马力 L4,2.0T 197马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 204马力 L4,2.0T 204马力 L4,2.0T 258马力 L4,2.0T 258马力 L4,2.0T 204马力 L4,2.0T 204马力 L4
厂商指导价(元),44.01万,46.21万,48.41万,50.41万,56.95万,44.01万,46.21万,48.41万,56.95万,50.41万,52.98万,52.98万,44.90万,44.90万,49.98万,49.98万,44.90万,44.90万
厂商,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰,北京奔驰
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
匝道自动驶出(入),-,-,-,-,-,-,-,-,-,-,●,●,○,○,●,●,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
副驾娱乐屏,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1596,1597,1596,1596,1596,1596,1597,1596,1596,1596,1622,1622,1628,1628,1622,1622,1628,1628
前轮胎规格,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R18,245/45 R19,245/45 R19,225/55 R18,225/55 R18,245/45 R19,245/45 R19,245/45 R18,245/45 R18
前方碰撞预警,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前排座椅功能,,,,,,,,,,,,,,,,,,
前排中间气囊,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-
前悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,
中央差速器结构,-,多片离合器,-,-,-,-,多片离合器,-,-,-,-,-,-,-,-,-,多片离合器,多片离合器
上市时间,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.12,2023.12,2023.12,2023.12,2023.12,2023.12,-,-
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),7.55,8.15,7.75,7.75,7.75,7.55,8.15,7.75,7.75,7.75,6.65,6.65,6.15,6.15,6.65,6.65,6.55,6.55
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,-,-,○,○,●,-,-,○,●,○,○,○,-,-,○,○,-,-
